,Cosmic Nugget,Goddess Of War,Three Putt Par,Eyes On Gold,Mr Banner,Mothers Clone,Bad Habits,Paisan
04-01-2023 11:53:36.696610,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:37.725727,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:38.706850,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:39.718982,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:40.705918,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:41.732160,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:42.775375,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:43.797212,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:44.817018,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:45.815720,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:46.862305,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:47.893942,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:48.912593,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:49.921130,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:50.954583,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:52.025581,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:53.011499,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:54.020744,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:55.025728,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:56.045503,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:57.086985,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:58.094275,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:59.225803,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:00.278118,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:01.348433,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:02.389693,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:03.460366,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:04.503255,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:05.554619,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:06.562089,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:07.629923,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:08.674355,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:09.750177,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:10.757628,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:11.794664,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:12.811137,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:13.888165,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:15.027522,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:16.054090,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:17.018791,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:17.999098,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:19.151807,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:20.276692,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:21.336978,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:22.447386,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:23.606073,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:24.652971,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:25.701169,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:26.801612,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:27.963893,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:29.111093,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:30.135840,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:31.273258,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:32.439186,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:33.548055,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:34.681643,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:35.809159,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:36.910739,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:38.018880,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:39.144917,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:40.257662,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:41.324648,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:42.382278,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:43.519730,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:44.605127,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:54:45.670525,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
