,Great Fantasy Nz,Winsome Ruby,Orlandos Gift,Meet Michaelangelo,Lovelorn,My Bad Habits,Scenic Sky,Muscletonian,Barhoon,Super Angus
12-01-2023 14:38:09.123853,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:10.528934,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:11.970313,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:13.346879,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:14.693938,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:16.054544,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:17.405954,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:18.731146,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:20.115600,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:21.538095,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.8177419354838715)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:22.909235,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:24.366082,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:25.682136,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:27.021119,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:28.380392,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:29.775745,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:31.351812,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:32.892092,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:34.508886,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:35.956811,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:37.454664,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:38.830389,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:40.206318,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:41.666556,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:43.052128,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:44.434753,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:45.797499,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:47.133640,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:48.574506,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:49.955180,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:51.365848,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:52.801511,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:54.220435,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:55.614502,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:56.869192,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:58.287273,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:59.645540,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:01.061184,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:02.424867,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:03.842774,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:05.119277,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:06.576816,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:08.212569,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:09.905681,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:11.374852,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:12.858770,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:14.325061,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:15.501079,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:16.726346,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:18.028125,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:19.375363,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:20.837381,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:22.289254,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:23.591611,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:24.890343,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:26.254832,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:27.485963,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:28.774858,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:30.159114,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:39:31.540294,"(10.0, 99999, 99990)","(21.0, 50.0, 30.666666666666664)","(4.2, 6.0, 4.545454545454545)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.639473684210527)","(6.0, 9.2, 8.488888888888887)"
