,Heart Of The Arts,My Precious Mama,Caribbean Times,Sweet Suzi,Heart Of Sahara,Times Tickin,Torrevean Veloce,Mata Ole Le Afa,Goldngalaxy
10,"[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 19, 886906), 10.0, 17.5]"
11,"[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 21, 122635), 10.0, 17.5]"
12,"[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 22, 338680), 10.0, 17.5]"
13,"[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 23, 583459), 10.0, 17.5]"
14,"[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 24, 840272), 10.0, 17.5]"
15,"[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 26, 65286), 10.0, 17.5]"
16,"[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 27, 280110), 10.0, 17.5]"
17,"[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 28, 499828), 10.0, 17.5]"
18,"[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 29, 722072), 10.0, 17.5]"
19,"[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 30, 947615), 10.0, 17.5]"
20,"[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 32, 175046), 10.0, 17.5]"
21,"[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 33, 400793), 10.0, 17.5]"
22,"[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 34, 632806), 10.0, 17.5]"
23,"[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 35, 875984), 10.0, 17.5]"
24,"[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 37, 123286), 10.0, 17.5]"
25,"[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 38, 344017), 10.0, 17.5]"
26,"[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 39, 572956), 10.0, 17.5]"
27,"[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 40, 796107), 10.0, 17.5]"
28,"[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 42, 40542), 10.0, 17.5]"
29,"[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 43, 265092), 10.0, 17.5]"
30,"[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 44, 501200), 10.0, 17.5]"
31,"[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 45, 744480), 10.0, 17.5]"
32,"[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 46, 961667), 10.0, 17.5]"
33,"[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 48, 231483), 10.0, 17.5]"
34,"[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 49, 463575), 10.0, 17.5]"
35,"[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 50, 741902), 10.0, 17.5]"
