,Master Copy,Portnoy,Winter Thorn,Oakfield Redgum,Isla,Allthehills,Thailand,My Naughty Boy,Every Effort
14-12-2022 13:05:20.492095,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.483870967741936)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.843137254901961)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:21.705050,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.483870967741936)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.843137254901961)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:22.958685,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.483870967741936)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 11.11046511627907)","(41.0, 170.0, 150.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:24.145474,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.483870967741936)","(17.0, 27.0, 24.333333333333332)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(81.0, 240.0, 179.04761904761904)","(7.5, 12.0, 11.11046511627907)","(41.0, 170.0, 150.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:25.295942,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.483870967741936)","(17.0, 27.0, 24.333333333333332)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(81.0, 240.0, 179.04761904761904)","(7.5, 12.0, 11.11046511627907)","(41.0, 170.0, 150.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:26.501087,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(81.0, 240.0, 179.04761904761904)","(7.5, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:27.691758,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(81.0, 240.0, 179.04761904761904)","(7.5, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:28.888838,"(1.65, 1.78, 1.7755944055944055)","(6.0, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(81.0, 240.0, 179.04761904761904)","(7.5, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:30.088847,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:31.302628,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.618181818181817)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:32.348577,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.468253968253968)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.625641025641025)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:33.537035,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.620408163265306)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:34.805782,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.620408163265306)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:05:36.325402,"(1.65, 1.78, 1.7755944055944055)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.159340659340659)","(41.0, 170.0, 146.0)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:05:37.541887,"(1.65, 1.78, 1.77625)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 179.04761904761904)","(8.0, 12.0, 11.159340659340659)","(41.0, 170.0, 146.0)","(41.0, 130.0, 259.5238095238095)"
14-12-2022 13:05:39.061480,"(1.65, 1.78, 1.7790972222222223)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 240.0, 218.33333333333331)","(8.0, 12.0, 11.159340659340659)","(41.0, 170.0, 146.0)","(41.0, 280.0, 259.5238095238095)"
14-12-2022 13:05:40.707859,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 230.0, 202.85714285714286)","(8.0, 12.0, 11.159340659340659)","(41.0, 170.0, 146.0)","(41.0, 270.0, 250.47619047619048)"
14-12-2022 13:05:42.297637,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 220.0, 202.85714285714286)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 270.0, 250.47619047619048)"
14-12-2022 13:05:43.751486,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 220.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 270.0, 231.25)"
14-12-2022 13:05:45.055371,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:46.339350,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:47.895171,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:49.213256,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 25.0)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.948979591836734)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:50.567410,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.0)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:51.761380,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.0)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:52.936870,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 231.25)"
14-12-2022 13:05:54.100593,"(1.65, 1.79, 1.7784040404040404)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 240.0, 214.28571428571428)"
14-12-2022 13:05:55.272432,"(1.6, 1.79, 1.7778301886792454)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 230.0, 214.28571428571428)"
14-12-2022 13:05:56.454277,"(1.6, 1.79, 1.7778301886792454)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.11046511627907)","(41.0, 170.0, 146.0)","(41.0, 230.0, 205.23809523809524)"
14-12-2022 13:05:58.077173,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.070652173913043)","(41.0, 170.0, 146.0)","(41.0, 220.0, 198.86363636363637)"
14-12-2022 13:05:59.404650,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 25.4)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.070652173913043)","(41.0, 170.0, 146.0)","(41.0, 220.0, 198.86363636363637)"
14-12-2022 13:06:00.771773,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 26.0, 24.333333333333332)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.070652173913043)","(41.0, 170.0, 146.0)","(41.0, 220.0, 198.86363636363637)"
14-12-2022 13:06:02.244722,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.118556701030927)","(41.0, 170.0, 146.0)","(41.0, 220.0, 130.0)"
14-12-2022 13:06:03.758766,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.818840579710145)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 11.118556701030927)","(41.0, 170.0, 146.0)","(41.0, 220.0, 140.0)"
14-12-2022 13:06:05.205824,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 12.0, 10.965116279069768)","(41.0, 170.0, 146.0)","(41.0, 210.0, 135.0)"
14-12-2022 13:06:06.582809,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.965116279069768)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:07.985936,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.965116279069768)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:09.298713,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:10.545135,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:11.788796,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:13.035706,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 200.0, 135.0)"
14-12-2022 13:06:14.294678,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 200.0, 170.0)"
14-12-2022 13:06:15.801339,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 220.0, 170.0)"
14-12-2022 13:06:17.056803,"(1.6, 1.79, 1.7815686274509803)","(6.5, 11.5, 11.46551724137931)","(17.0, 27.0, 24.79310344827586)","(7.5, 9.8, 9.676923076923076)","(10.0, 13.0, 12.695121951219512)","(91.0, 210.0, 193.33333333333334)","(8.0, 11.5, 10.932098765432098)","(41.0, 170.0, 146.0)","(41.0, 220.0, 170.0)"
