,Ebony Riot,Fast Milkman,Acclaimed,Barbara Ann,Town Rocker,Coach Beard,Mohinga Chase
07-12-2022 13:20:43.550492,"(3.5, 4.3, 4.2015625000000005)","(2.0, 2.42, 2.4136363636363636)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 39.0)","(3.9, 4.9, 4.648571428571429)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:44.680989,"(3.5, 4.3, 4.208695652173914)","(2.0, 2.42, 2.413913043478261)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 39.0)","(3.9, 4.9, 4.648571428571429)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:45.826837,"(3.5, 4.3, 4.2012820512820515)","(2.0, 2.44, 2.3787499999999997)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 38.926829268292686)","(3.9, 4.8, 4.692)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:46.887572,"(3.5, 4.3, 4.2012820512820515)","(2.0, 2.44, 2.328)","(7.5, 12.5, 12.270491803278688)","(21.0, 42.0, 38.25)","(3.9, 4.8, 4.619047619047619)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:47.910320,"(3.5, 4.3, 4.2012820512820515)","(2.0, 2.44, 2.328)","(7.5, 12.5, 12.270491803278688)","(21.0, 42.0, 38.18181818181818)","(3.9, 4.8, 4.619047619047619)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:48.835118,"(3.5, 4.3, 4.20722891566265)","(2.0, 2.42, 2.3866666666666667)","(7.5, 12.5, 12.166666666666666)","(21.0, 42.0, 36.27272727272727)","(3.9, 4.8, 4.619047619047619)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:49.832036,"(3.5, 4.3, 4.20722891566265)","(2.0, 2.4, 2.3957894736842102)","(7.5, 12.5, 12.1875)","(21.0, 42.0, 32.476190476190474)","(3.9, 4.8, 4.61)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:50.803305,"(3.6, 4.3, 4.2012820512820515)","(2.0, 2.4, 2.3899999999999997)","(7.5, 12.5, 12.1875)","(21.0, 40.0, 38.0)","(3.9, 4.8, 4.61)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:51.804987,"(3.6, 4.3, 4.120930232558139)","(2.0, 2.44, 2.4323076923076923)","(7.5, 12.5, 12.36111111111111)","(21.0, 40.0, 38.0)","(3.9, 4.8, 4.5346153846153845)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:52.845786,"(3.6, 4.3, 4.120930232558139)","(2.0, 2.44, 2.413846153846154)","(7.5, 12.5, 12.410714285714286)","(21.0, 40.0, 38.0)","(3.9, 4.8, 4.5346153846153845)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:53.882235,"(3.6, 4.3, 4.139583333333333)","(2.0, 2.42, 2.4139999999999997)","(7.5, 12.5, 12.959183673469388)","(21.0, 40.0, 34.4)","(3.9, 4.8, 4.5346153846153845)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:54.974453,"(3.6, 4.3, 4.112195121951219)","(2.0, 2.44, 2.4346666666666668)","(7.5, 13.0, 12.959183673469388)","(21.0, 40.0, 34.4)","(3.9, 4.8, 4.5346153846153845)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:56.006202,"(3.6, 4.3, 4.112195121951219)","(2.0, 2.44, 2.416)","(7.5, 13.5, 13.35576923076923)","(21.0, 40.0, 33.84615384615385)","(3.9, 4.8, 4.475)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:57.061362,"(3.6, 4.3, 4.120930232558139)","(2.0, 2.42, 2.41625)","(7.5, 13.5, 13.281818181818181)","(21.0, 40.0, 35.0)","(3.9, 4.5, 4.475)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:58.105818,"(3.6, 4.3, 4.120930232558139)","(2.0, 2.42, 2.41625)","(7.5, 13.5, 13.281818181818181)","(21.0, 40.0, 33.84615384615385)","(3.9, 4.5, 4.45)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:59.185863,"(3.6, 4.3, 4.109876543209876)","(2.0, 2.42, 2.4066666666666667)","(7.5, 13.5, 13.293103448275861)","(21.0, 40.0, 36.666666666666664)","(3.9, 4.5, 4.445454545454545)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:00.283828,"(3.6, 4.3, 4.109876543209876)","(2.0, 2.42, 2.4066666666666667)","(7.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.9, 4.5, 4.45)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:01.364140,"(3.6, 4.2, 4.081818181818182)","(2.0, 2.42, 2.4066666666666667)","(7.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.9, 4.7, 4.370588235294117)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:02.322520,"(3.6, 4.2, 4.102857142857143)","(2.0, 2.42, 2.415)","(7.5, 13.5, 13.31578947368421)","(21.0, 40.0, 36.57142857142857)","(3.9, 4.7, 4.370588235294117)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:03.389459,"(3.6, 4.2, 4.049350649350649)","(2.0, 2.48, 2.4383333333333335)","(7.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.9, 4.5, 4.433333333333334)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:04.427574,"(3.6, 4.2, 4.049350649350649)","(2.0, 2.48, 2.4383333333333335)","(8.0, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.8, 4.5, 4.433333333333334)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:05.474726,"(3.6, 4.2, 4.049350649350649)","(2.0, 2.48, 2.4085714285714284)","(8.0, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.8, 4.5, 4.45)","(26.0, 65.0, 61.25)","(41.0, 300.0, 200.0)"
07-12-2022 13:21:06.542652,"(3.5, 4.2, 4.049350649350649)","(2.0, 2.48, 2.4085714285714284)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.8, 4.5, 4.45)","(31.0, 65.0, 61.25)","(61.0, 300.0, 200.0)"
07-12-2022 13:21:07.525348,"(3.5, 4.2, 4.049350649350649)","(2.0, 2.5, 2.4994117647058824)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.8, 4.4, 4.375)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:08.461584,"(3.5, 4.2, 4.049350649350649)","(2.0, 2.5, 2.4994117647058824)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 38.0)","(3.8, 4.4, 4.375)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:09.417088,"(3.5, 4.2, 4.026865671641791)","(2.0, 2.56, 2.5214285714285714)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 36.57142857142857)","(3.8, 4.4, 4.236363636363636)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:10.423496,"(3.5, 4.2, 4.026865671641791)","(2.0, 2.56, 2.5214285714285714)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 36.57142857142857)","(3.8, 4.4, 4.236363636363636)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:11.380382,"(3.5, 4.2, 4.026865671641791)","(2.0, 2.56, 2.5214285714285714)","(8.5, 13.5, 13.293103448275861)","(21.0, 40.0, 36.57142857142857)","(3.8, 4.4, 4.236363636363636)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:12.391563,"(3.5, 4.2, 4.026865671641791)","(2.0, 2.56, 2.5214285714285714)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 38.5)","(3.8, 4.4, 4.22)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:13.345777,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.514516129032258)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 37.714285714285715)","(3.7, 4.3, 4.26)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:14.312143,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 37.333333333333336)","(3.7, 4.3, 4.199999999999999)","(31.0, 65.0, 61.25)","(61.0, 150.0, 140.0)"
07-12-2022 13:21:15.254505,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.863636363636363)","(21.0, 40.0, 37.333333333333336)","(3.7, 4.3, 4.233333333333333)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:16.281209,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 36.72727272727273)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:17.233503,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 36.72727272727273)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:18.150689,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.833333333333334)","(21.0, 40.0, 37.333333333333336)","(3.7, 4.3, 4.233333333333333)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:19.107554,"(3.5, 4.2, 4.0318840579710145)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.807692307692308)","(21.0, 40.0, 37.714285714285715)","(3.7, 4.3, 4.211111111111111)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:20.051511,"(3.5, 4.2, 4.061904761904762)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 12.863636363636363)","(21.0, 40.0, 37.0)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:21.027728,"(3.5, 4.2, 4.061904761904762)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 13.108695652173914)","(21.0, 40.0, 37.714285714285715)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:22.044130,"(3.5, 4.2, 4.061904761904762)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 13.108695652173914)","(21.0, 40.0, 37.0)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:23.054033,"(3.5, 4.2, 4.059770114942529)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 13.166666666666666)","(21.0, 40.0, 37.714285714285715)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:23.998166,"(3.5, 4.2, 4.059770114942529)","(2.0, 2.56, 2.5140625)","(8.5, 13.5, 13.166666666666666)","(21.0, 40.0, 37.0)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.25)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:25.002971,"(3.5, 4.2, 4.067391304347826)","(2.0, 2.56, 2.517391304347826)","(8.5, 13.5, 13.0)","(21.0, 38.0, 36.36363636363637)","(3.7, 4.3, 4.211111111111111)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 135.71428571428572)"
07-12-2022 13:21:26.108229,"(3.5, 4.2, 4.067391304347826)","(2.0, 2.56, 2.517391304347826)","(8.5, 13.5, 13.0)","(21.0, 38.0, 37.111111111111114)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:27.101485,"(3.5, 4.2, 4.072916666666667)","(2.0, 2.56, 2.5014925373134327)","(8.5, 13.5, 13.033333333333333)","(21.0, 38.0, 34.266666666666666)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:28.112128,"(3.5, 4.2, 4.072916666666667)","(2.0, 2.54, 2.536842105263158)","(8.5, 13.5, 13.033333333333333)","(21.0, 38.0, 34.266666666666666)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:29.071427,"(3.5, 4.2, 4.072916666666667)","(2.0, 2.54, 2.536842105263158)","(8.5, 13.5, 13.214285714285714)","(21.0, 38.0, 34.266666666666666)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:29.964263,"(3.5, 4.2, 4.085365853658537)","(2.0, 2.54, 2.537272727272727)","(8.5, 13.5, 13.071428571428571)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:30.892982,"(3.5, 4.2, 4.085365853658537)","(2.0, 2.56, 2.5533333333333332)","(8.5, 13.0, 12.961538461538462)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:32.384609,"(3.5, 4.2, 4.085365853658537)","(2.0, 2.6, 2.5733333333333333)","(8.5, 13.5, 12.961538461538462)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:33.408862,"(3.5, 4.2, 4.085365853658537)","(2.0, 2.6, 2.55)","(8.5, 13.0, 12.961538461538462)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.266666666666667)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:34.350145,"(3.5, 4.2, 4.088679245283019)","(2.0, 2.6, 2.592)","(8.5, 13.5, 13.029411764705882)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 133.33333333333334)"
07-12-2022 13:21:35.302127,"(3.5, 4.2, 4.088679245283019)","(2.0, 2.6, 2.596923076923077)","(8.5, 13.5, 12.884615384615385)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.144444444444444)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:36.253086,"(3.5, 4.2, 4.088679245283019)","(2.0, 2.6, 2.5885714285714285)","(8.5, 13.0, 12.954545454545455)","(21.0, 38.0, 34.23529411764706)","(3.7, 4.3, 4.144444444444444)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:37.537418,"(3.5, 4.2, 4.073118279569893)","(2.0, 2.6, 2.578181818181818)","(8.5, 13.0, 12.954545454545455)","(21.0, 38.0, 35.23076923076923)","(3.7, 4.3, 4.144444444444444)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:38.639868,"(3.5, 4.2, 4.073118279569893)","(2.0, 2.6, 2.578181818181818)","(8.5, 13.0, 12.954545454545455)","(21.0, 38.0, 36.57142857142857)","(3.7, 4.3, 4.144444444444444)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:39.701497,"(3.5, 4.2, 4.088679245283019)","(2.0, 2.6, 2.5753846153846154)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 36.44444444444444)","(3.7, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:40.732902,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.581538461538462)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 36.44444444444444)","(3.7, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:41.772733,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 36.285714285714285)","(3.7, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:42.791077,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 36.285714285714285)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:43.726021,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.58, 2.5784615384615384)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:44.708784,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:45.759401,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:46.770093,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:47.803724,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.5, 12.844827586206897)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:48.790014,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.5, 12.844827586206897)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.155555555555555)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:49.840013,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 134.0)"
07-12-2022 13:21:51.045319,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 36.285714285714285)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 135.0)"
07-12-2022 13:21:52.324512,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.0, 12.884615384615385)","(21.0, 40.0, 36.285714285714285)","(3.6, 4.3, 4.152631578947368)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 135.0)"
07-12-2022 13:21:53.421975,"(3.5, 4.2, 4.088679245283019)","(2.05, 2.6, 2.586666666666667)","(8.5, 13.5, 12.884615384615385)","(21.0, 40.0, 36.285714285714285)","(3.6, 4.3, 4.12)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 142.5)"
07-12-2022 13:21:54.509496,"(3.5, 4.1, 4.067391304347826)","(2.05, 2.64, 2.6352)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.1)","(31.0, 65.0, 61.52173913043478)","(61.0, 150.0, 152.10526315789474)"
07-12-2022 13:21:55.518951,"(3.5, 4.1, 4.093478260869565)","(2.05, 2.64, 2.638)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.1)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
07-12-2022 13:21:56.554365,"(3.5, 4.2, 4.084313725490196)","(2.05, 2.66, 2.6411764705882352)","(8.5, 13.5, 12.794117647058824)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.1)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
07-12-2022 13:21:57.593819,"(3.5, 4.2, 4.084313725490196)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.5, 12.794117647058824)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.1)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
07-12-2022 13:21:58.548202,"(3.5, 4.2, 4.084313725490196)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
