,Shes Our Cruze,Piazza Farnese,Urana Lot,Cry Wolf,Shanes Pick,Perfect Pacific,Tarantula
07-12-2022 19:55:40.115149,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:41.286140,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:42.433755,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:43.548479,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:44.649823,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:45.902190,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:47.082061,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.0)"
07-12-2022 19:55:48.391328,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.0)"
07-12-2022 19:55:49.660843,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.0)"
07-12-2022 19:55:50.807029,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.0)"
07-12-2022 19:55:52.025895,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.0)"
07-12-2022 19:55:53.145247,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
