,Snowy Rose,Udella Bale,Never Sweet,Julipa Bale,Zipping Newman
09-01-2023 15:27:42.131490,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:43.081840,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:43.980656,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:45.012577,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:46.021354,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:46.958831,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:48.008529,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:49.068398,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:49.946787,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:50.891738,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:51.814236,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:52.635135,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:53.626883,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:54.670194,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:55.570920,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:56.567542,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:57.537395,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:58.469720,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:59.428296,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:00.431763,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:01.348165,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:02.314712,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:03.300615,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:04.231632,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:05.105382,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:06.044448,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:06.971434,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:08.057231,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:09.453415,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:10.433839,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:11.487135,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:12.565674,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:13.629189,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:14.609864,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:15.655471,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:16.721021,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:17.646449,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:18.578461,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:19.522928,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:20.458529,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:21.434038,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:22.343873,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:23.234501,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:24.342125,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:25.516627,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:26.669584,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:27.628609,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:28.589171,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:29.527501,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:30.720451,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:31.668983,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:32.670373,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:33.636935,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:34.596442,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:35.694954,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:36.694497,"(5.0, 9.8, 6.2)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:37.714777,"(5.0, 9.8, 8.278048780487806)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:38.722307,"(5.0, 9.8, 5.092307692307693)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:39.740218,"(5.0, 9.8, 5.092307692307693)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:40.683290,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:41.612272,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:42.564118,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:43.501943,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:44.550377,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:45.554198,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:46.504895,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:47.485621,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:48.589834,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:49.580416,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:50.587468,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:51.538434,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:52.543289,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:53.612959,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:54.561161,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:55.497801,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:56.492529,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:57.541515,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:58.560221,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:28:59.440832,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:00.394493,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:01.437696,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:02.378240,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:03.338139,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:04.321365,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:05.315599,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:06.344922,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:07.392041,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:08.408060,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:09.483982,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:10.525774,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:11.656097,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:12.665112,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:13.860389,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:14.977311,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:16.132439,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:17.081568,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:18.076401,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:19.103768,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:20.090645,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:21.119321,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:22.105957,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:29:23.023878,"(5.0, 9.8, 6.98)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
