,Filly Thirteen,Back To Betoota,Gwyneth P Nz,Reds Star Deal,Hurrikane King,Swooping Eagle,Blue Bloodz,Moonan Nina,Nineteenthirtyfour,Sarasun
06-01-2023 12:18:46.327269,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:48.033246,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:50.600347,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:52.664587,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:54.249658,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:55.886637,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:57.433634,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:59.093322,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:00.518798,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:02.056894,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
