,Barry Bowler,Big Time Audi,Goldstar Phoenix,Big Time Girly,Phantom Pixie,Shaun The Chaser,Elite Bubble
11-01-2023 13:10:01.575645,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:02.749331,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:03.775015,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:04.839262,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:05.861091,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:06.847558,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:07.789625,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.927272727272727)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:08.773687,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:09.753033,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:10.690942,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:11.625132,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:12.643372,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:13.602094,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:14.641597,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:15.857594,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:16.837650,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:17.876001,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:18.890142,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 7.199999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:19.975329,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 16.5, 10.92)","(4.8, 8.4, 7.166666666666667)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:20.901616,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 16.5, 10.92)","(4.8, 8.4, 7.166666666666667)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:21.877418,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 16.5, 10.92)","(4.8, 8.4, 7.166666666666667)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:22.803476,"(2.5, 3.6, 3.3434782608695652)","(3.1, 7.2, 4.341176470588236)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.92)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:23.915948,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:24.846664,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:25.847745,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:26.755222,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:27.640166,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:28.553879,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:29.455975,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:30.419836,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:31.392821,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:32.344912,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:33.311667,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:34.234295,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:35.131452,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:36.064996,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:37.043161,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:37.973438,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:38.879594,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 6.514285714285714)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:39.798696,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 5.438461538461539)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:40.682330,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.365)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 5.438461538461539)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:41.564800,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:42.498258,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 10.92)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:43.412807,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.375)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:44.311977,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.375)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:45.247650,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.075)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:46.207234,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:47.153050,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:48.076709,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:49.036616,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:49.956989,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:50.890966,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:51.788107,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:52.689736,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:53.576692,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:54.477694,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:55.406020,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:56.327070,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:57.315133,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.075)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:58.263219,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 14.215384615384615)","(4.8, 8.4, 5.76)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:59.183318,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:00.096291,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:01.191925,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:02.126756,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:03.054462,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:03.995772,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:05.001936,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:06.076389,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:06.997487,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:07.941401,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.675)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:08.969179,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 14.01818181818182)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:09.868768,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:10.767861,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:11.716341,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:12.615503,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:13.529308,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:14.444857,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:15.443602,"(2.5, 3.6, 2.6333333333333333)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.854545454545454)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:16.431571,"(2.5, 3.6, 3.2266666666666666)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 13.266666666666666)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:17.406993,"(2.5, 3.6, 3.3454545454545457)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.825)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:18.372954,"(2.5, 3.6, 3.3454545454545457)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.825)","(4.8, 8.4, 6.315789473684211)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:19.382129,"(2.5, 3.6, 2.6833333333333336)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 14.215384615384615)","(4.8, 8.2, 6.892307692307692)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:20.342161,"(2.5, 3.6, 2.6833333333333336)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.825)","(4.8, 8.2, 6.892307692307692)","(26.0, 290.0, 170.0)"
11-01-2023 13:11:21.383314,"(2.5, 3.6, 2.6833333333333336)","(3.1, 7.2, 4.307142857142857)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.6, 6.775)","(8.0, 16.5, 9.825)","(4.8, 8.2, 6.892307692307692)","(26.0, 290.0, 170.0)"
