,Good Chat Sam,Kouta Marjen,Hearts Denied,Echo Chamber,Sun Ace,Golden Coast
09-01-2023 14:29:03.279958,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:04.255005,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:05.259817,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:06.271795,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:07.261771,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:08.217208,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:09.311803,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:10.463743,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:11.464544,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:12.397727,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:13.402045,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:14.504787,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:15.575839,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:16.575351,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:17.626515,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:18.621724,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:19.716306,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:20.727850,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:21.662149,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:22.826372,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:23.956501,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:25.083528,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:26.299785,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:27.447528,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:28.627865,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:29.762486,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:30.920644,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:32.030621,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:33.098921,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:34.181318,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:35.219972,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:36.295792,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:37.371442,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:38.360786,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:39.386259,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:40.626977,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:41.867332,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:43.058758,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:44.164724,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:45.124784,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:46.225194,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:47.417204,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:48.543882,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:49.673565,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:50.667441,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:51.678149,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:52.649721,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:53.621271,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:54.583261,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:55.595401,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:56.581089,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:57.602611,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:58.500595,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:59.506417,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:00.540021,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:01.567702,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:02.603989,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:03.494892,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:04.417719,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:05.458876,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:06.516756,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:07.551029,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:08.571782,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:09.426952,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:10.378487,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:11.410266,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:12.411480,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:13.389840,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:14.395114,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:15.277603,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:16.238690,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:17.216293,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:18.163959,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:19.086887,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 43.86363636363637)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:20.013214,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:20.989510,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:21.912629,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:22.897480,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 38.611111111111114)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:23.959988,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:24.989377,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:25.978017,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:27.002124,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:27.944925,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:28.877311,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:29.865617,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:30.886229,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:32.005279,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:33.024234,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:34.229039,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:30:35.209789,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
