,Lincoln River,Midfrew Lucre,Ohoka Creed,Malaka Miss,Neptune,Tugawar,Acushla Machree
16-12-2022 15:42:09.948223,"(2.8, 4.0, 3.390625)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.4, 6.050000000000001)","(15.0, 55.0, 29.666666666666664)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:11.014924,"(2.8, 4.0, 3.390625)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.4, 5.733333333333333)","(15.0, 55.0, 29.666666666666664)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:12.023757,"(2.8, 4.0, 3.390625)","(2.9, 4.5, 4.011111111111111)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.4, 5.733333333333333)","(15.0, 55.0, 29.666666666666664)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:13.081571,"(2.8, 4.0, 3.5125)","(2.9, 3.75, 3.357142857142857)","(4.0, 6.0, 5.68)","(11.0, 21.0, 15.666666666666666)","(6.0, 6.4, 6.339130434782609)","(15.0, 55.0, 45.625)","(18.0, 120.0, 105.71428571428572)"
16-12-2022 15:42:14.120122,"(2.8, 4.0, 3.82)","(2.9, 3.75, 3.55)","(4.0, 6.0, 5.896296296296296)","(11.0, 21.0, 19.5)","(6.0, 6.4, 6.346153846153847)","(15.0, 55.0, 45.625)","(18.0, 120.0, 105.71428571428572)"
16-12-2022 15:42:15.160671,"(2.8, 4.0, 3.830188679245283)","(2.9, 3.75, 3.66)","(4.0, 6.0, 5.896296296296296)","(11.0, 21.0, 19.5)","(6.0, 6.4, 6.346153846153847)","(15.0, 55.0, 45.625)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:16.193450,"(2.8, 4.0, 3.830188679245283)","(2.9, 3.75, 3.607142857142857)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 15.666666666666666)","(6.0, 6.4, 6.346153846153847)","(15.0, 55.0, 29.666666666666664)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:17.207929,"(2.8, 4.0, 3.6052631578947367)","(2.9, 4.3, 3.976470588235294)","(4.0, 6.0, 5.927586206896551)","(11.0, 21.0, 15.0)","(6.0, 6.4, 6.265384615384615)","(15.0, 55.0, 46.66666666666667)","(18.0, 120.0, 105.71428571428572)"
16-12-2022 15:42:18.217974,"(2.8, 4.0, 3.6052631578947367)","(2.9, 4.3, 3.976470588235294)","(4.0, 6.0, 5.927586206896551)","(11.0, 21.0, 16.333333333333332)","(6.0, 6.4, 6.132352941176471)","(15.0, 55.0, 46.66666666666667)","(18.0, 120.0, 105.71428571428572)"
16-12-2022 15:42:19.321693,"(2.8, 4.0, 3.6052631578947367)","(2.9, 4.3, 3.981818181818182)","(4.0, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(6.0, 6.4, 5.793333333333334)","(15.0, 55.0, 36.0)","(18.0, 120.0, 105.71428571428572)"
16-12-2022 15:42:20.373694,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 3.981818181818182)","(4.0, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(6.0, 6.4, 5.793333333333334)","(15.0, 55.0, 36.0)","(18.0, 120.0, 86.5)"
16-12-2022 15:42:21.296966,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 3.981818181818182)","(4.0, 6.0, 5.65)","(11.0, 21.0, 15.0)","(6.0, 6.4, 5.793333333333334)","(15.0, 55.0, 36.0)","(18.0, 120.0, 86.5)"
16-12-2022 15:42:22.248568,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 4.0375)","(4.0, 6.0, 5.65)","(11.0, 21.0, 15.0)","(6.0, 6.4, 5.9)","(15.0, 55.0, 36.0)","(18.0, 120.0, 86.5)"
16-12-2022 15:42:23.301113,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 4.16875)","(4.0, 6.0, 5.65)","(11.0, 21.0, 15.0)","(6.0, 6.4, 5.9)","(15.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:24.210787,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 3.8625)","(4.2, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(5.5, 6.4, 5.9)","(16.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:25.168498,"(2.8, 4.0, 3.602941176470588)","(2.9, 3.95, 3.875)","(4.2, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(5.5, 6.4, 5.9)","(16.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:26.229199,"(2.8, 4.0, 3.6192307692307693)","(2.9, 3.95, 3.808333333333333)","(4.2, 6.0, 5.65)","(11.0, 21.0, 15.0)","(5.5, 6.4, 5.9)","(16.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:27.301845,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.3, 3.8416666666666663)","(4.2, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(5.0, 6.4, 5.9)","(17.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:28.394915,"(2.8, 4.0, 3.602941176470588)","(2.9, 4.0, 3.8499999999999996)","(4.2, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(5.0, 6.4, 6.114285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:29.461567,"(2.8, 3.95, 3.75)","(2.9, 3.95, 3.8093749999999997)","(4.2, 6.0, 5.65)","(11.0, 21.0, 16.333333333333332)","(5.0, 6.4, 6.114285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 86.5)"
16-12-2022 15:42:30.529729,"(2.9, 3.95, 3.75)","(2.9, 4.3, 3.8416666666666663)","(4.2, 6.0, 5.65)","(12.0, 21.0, 16.333333333333332)","(5.0, 6.4, 6.114285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 69.0)"
16-12-2022 15:42:31.610639,"(2.9, 3.95, 3.75)","(2.9, 4.3, 4.055555555555555)","(4.2, 6.0, 5.65)","(12.0, 21.0, 16.333333333333332)","(5.0, 6.4, 6.114285714285715)","(17.0, 55.0, 28.666666666666664)","(19.0, 120.0, 69.0)"
16-12-2022 15:42:32.659956,"(2.9, 3.95, 3.75)","(2.9, 3.95, 3.915909090909091)","(4.2, 6.0, 5.65)","(12.0, 21.0, 16.333333333333332)","(5.0, 6.4, 6.114285714285715)","(17.0, 55.0, 28.666666666666664)","(19.0, 120.0, 69.0)"
16-12-2022 15:42:33.627828,"(2.9, 3.95, 3.75)","(2.9, 3.85, 3.7)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 6.15)","(17.0, 55.0, 28.666666666666664)","(19.0, 120.0, 69.0)"
16-12-2022 15:42:34.656555,"(2.9, 3.95, 3.75)","(2.9, 3.85, 3.65)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 6.265384615384615)","(17.0, 55.0, 47.2)","(19.0, 120.0, 107.3125)"
16-12-2022 15:42:35.649401,"(2.9, 3.95, 3.75)","(2.9, 3.85, 3.65)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 107.3125)"
16-12-2022 15:42:36.575466,"(2.9, 3.95, 3.75)","(2.9, 3.9, 3.80625)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 107.3125)"
16-12-2022 15:42:37.661617,"(2.9, 4.1, 3.605)","(2.9, 3.9, 3.853125)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 48.09090909090909)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:38.670290,"(2.9, 4.1, 3.595833333333333)","(2.9, 4.3, 3.8966666666666665)","(4.2, 6.0, 5.65)","(12.0, 25.0, 19.5)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 48.09090909090909)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:39.731819,"(2.9, 4.1, 3.7318181818181815)","(2.9, 4.3, 3.9499999999999997)","(4.2, 6.0, 5.7)","(12.0, 25.0, 18.75)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:40.752551,"(2.9, 4.1, 3.7318181818181815)","(2.9, 4.3, 3.90625)","(4.2, 6.0, 5.7)","(12.0, 25.0, 18.75)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 26.5)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:41.819748,"(2.9, 4.1, 3.7318181818181815)","(2.9, 3.95, 3.792105263157895)","(4.2, 6.0, 5.7)","(12.0, 25.0, 18.75)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 26.5)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:42.911319,"(2.9, 4.1, 3.719230769230769)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.7)","(12.0, 25.0, 18.75)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:43.960463,"(2.9, 4.1, 3.719230769230769)","(2.9, 4.3, 3.9944444444444445)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:44.896294,"(2.9, 4.1, 3.719230769230769)","(2.9, 4.3, 3.9944444444444445)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 5.9714285714285715)","(17.0, 55.0, 36.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:45.925408,"(2.9, 4.0, 3.8833333333333333)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 6.066666666666666)","(17.0, 55.0, 39.4)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:46.974112,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 6.066666666666666)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:47.892604,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 6.066666666666666)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:48.937106,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 6.050000000000001)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:50.008346,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 6.050000000000001)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:51.083351,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 5.894444444444445)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:52.125938,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 5.894444444444445)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:53.186197,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 23.214285714285715)","(5.0, 6.4, 5.88)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:54.309293,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 18.75)","(5.0, 6.4, 5.88)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:55.408632,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 25.0, 16.333333333333332)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 29.0)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:56.474762,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.05)","(4.2, 6.0, 5.58)","(12.0, 24.0, 14.142857142857142)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 38.07142857142857)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:57.449766,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.133333333333333)","(4.2, 6.0, 5.58)","(12.0, 24.0, 14.142857142857142)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 38.07142857142857)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:58.500512,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.133333333333333)","(4.2, 6.0, 5.58)","(12.0, 24.0, 14.142857142857142)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 38.07142857142857)","(19.0, 120.0, 35.0)"
16-12-2022 15:42:59.516204,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.154838709677419)","(4.2, 6.0, 5.58)","(12.0, 24.0, 14.142857142857142)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 38.07142857142857)","(19.0, 120.0, 35.0)"
16-12-2022 15:43:00.472868,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.154838709677419)","(4.2, 6.0, 5.58)","(12.0, 24.0, 14.142857142857142)","(5.0, 6.4, 5.892307692307692)","(17.0, 55.0, 38.66666666666667)","(19.0, 120.0, 52.0)"
16-12-2022 15:43:01.425604,"(2.9, 4.0, 3.8055555555555554)","(2.9, 4.3, 4.154838709677419)","(4.2, 6.0, 5.58)","(12.0, 23.0, 17.75)","(5.0, 6.4, 5.825)","(17.0, 50.0, 38.66666666666667)","(19.0, 120.0, 52.0)"
16-12-2022 15:43:02.460247,"(2.9, 4.0, 3.8833333333333333)","(2.9, 4.3, 4.154838709677419)","(4.2, 7.0, 5.800000000000001)","(12.0, 22.0, 14.4)","(5.0, 6.2, 5.7555555555555555)","(17.0, 50.0, 35.42857142857143)","(19.0, 120.0, 76.28571428571428)"
16-12-2022 15:43:03.545508,"(2.9, 4.0, 3.9)","(2.9, 4.3, 4.1453125)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 13.555555555555555)","(5.0, 6.2, 5.4)","(17.0, 50.0, 35.42857142857143)","(19.0, 120.0, 76.28571428571428)"
16-12-2022 15:43:04.566624,"(2.9, 4.0, 3.022222222222222)","(2.9, 4.3, 4.1453125)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 14.4)","(5.0, 6.2, 6.08)","(17.0, 50.0, 35.64285714285714)","(19.0, 120.0, 52.666666666666664)"
16-12-2022 15:43:05.644349,"(2.9, 4.0, 3.8166037735849057)","(2.9, 4.3, 4.1125)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 19.23076923076923)","(5.0, 6.2, 6.08)","(17.0, 50.0, 35.64285714285714)","(19.0, 120.0, 52.666666666666664)"
16-12-2022 15:43:06.983621,"(2.9, 4.0, 3.364)","(2.9, 4.3, 3.925)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 14.4)","(5.0, 6.2, 6.08)","(17.0, 50.0, 35.64285714285714)","(19.0, 120.0, 69.75)"
16-12-2022 15:43:08.403557,"(2.9, 4.0, 3.8383050847457625)","(2.9, 4.3, 3.925)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 13.555555555555555)","(5.0, 6.2, 6.090625)","(17.0, 50.0, 44.5)","(19.0, 120.0, 69.75)"
16-12-2022 15:43:09.460691,"(2.9, 4.0, 3.2199999999999998)","(2.9, 4.3, 3.925)","(4.2, 7.0, 5.8625)","(12.0, 22.0, 13.555555555555555)","(5.0, 6.4, 6.090625)","(17.0, 48.0, 32.25)","(19.0, 120.0, 65.0)"
16-12-2022 15:43:10.386677,"(2.9, 4.0, 3.3442857142857143)","(2.9, 4.3, 3.925)","(4.2, 6.8, 6.0)","(12.0, 22.0, 14.444444444444445)","(5.0, 6.4, 5.542857142857144)","(17.0, 48.0, 32.5)","(19.0, 110.0, 65.0)"
16-12-2022 15:43:11.418251,"(2.9, 4.0, 3.3442857142857143)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.8999999999999995)","(12.0, 22.0, 14.444444444444445)","(5.0, 6.4, 6.2)","(17.0, 48.0, 32.5)","(19.0, 110.0, 92.0)"
16-12-2022 15:43:12.449105,"(2.9, 4.0, 3.7579661016949153)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.8999999999999995)","(12.0, 22.0, 14.444444444444445)","(5.0, 7.0, 6.422580645161291)","(17.0, 48.0, 32.5)","(19.0, 110.0, 92.0)"
16-12-2022 15:43:13.521782,"(2.9, 4.0, 3.3)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.8999999999999995)","(12.0, 22.0, 14.444444444444445)","(5.0, 6.8, 5.6000000000000005)","(17.0, 48.0, 32.5)","(19.0, 110.0, 65.0)"
16-12-2022 15:43:14.705153,"(2.9, 3.95, 3.3886363636363637)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.8999999999999995)","(12.0, 22.0, 14.444444444444445)","(5.0, 6.8, 5.6000000000000005)","(17.0, 48.0, 32.5)","(19.0, 110.0, 65.0)"
16-12-2022 15:43:15.899936,"(2.9, 3.9, 3.7363636363636363)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.927272727272727)","(12.0, 21.0, 13.35)","(5.0, 6.6, 5.7)","(17.0, 48.0, 44.44444444444444)","(19.0, 100.0, 42.85714285714286)"
16-12-2022 15:43:17.082243,"(2.9, 3.9, 3.79375)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.927272727272727)","(12.0, 21.0, 13.8)","(5.0, 6.6, 5.55)","(17.0, 48.0, 42.75)","(19.0, 100.0, 68.46153846153845)"
16-12-2022 15:43:18.294909,"(2.9, 3.9, 3.79375)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.927272727272727)","(12.0, 21.0, 17.029411764705884)","(5.0, 6.6, 6.453333333333333)","(17.0, 48.0, 44.125)","(19.0, 100.0, 54.72222222222222)"
16-12-2022 15:43:19.557407,"(2.9, 3.9, 3.333333333333333)","(2.9, 4.3, 3.925)","(4.2, 6.8, 5.927272727272727)","(12.0, 21.0, 17.029411764705884)","(5.0, 6.8, 6.366666666666666)","(17.0, 48.0, 44.125)","(19.0, 100.0, 54.72222222222222)"
