,Meteorite,Thunder Park,True Nobility,Wanaroo,Sir Domigo,Tillotson,Bull Dust,Gold Logie,Carry On Camping,Anges
06-01-2023 15:35:52.323186,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:53.593520,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:54.860638,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:56.191893,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:57.567192,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:58.782910,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:35:59.991698,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:01.228606,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:02.467389,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:03.674691,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:04.880762,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:06.415601,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.049655172413793)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:07.725302,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.049655172413793)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:09.028476,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:10.296259,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8810344827586207)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:11.513147,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:12.727632,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:14.137356,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:15.472148,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:16.715139,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:17.903405,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:19.151826,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:20.410603,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:21.677675,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:22.859358,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:24.151116,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:25.394365,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:26.635141,"(10.0, 16.0, 13.375)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:27.968329,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.018045112781955)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:29.183183,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.018045112781955)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:30.406296,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.018045112781955)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:31.621153,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.018045112781955)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:32.956899,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.0)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.8813953488372093)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:34.368322,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:35.848394,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:37.247004,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:38.673507,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:39.989365,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:41.304559,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:42.856541,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:44.279477,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:45.680591,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:47.064661,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:48.464563,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:49.834357,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.9055555555555554)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:51.280477,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.911111111111111)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:52.721152,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.911111111111111)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:54.103659,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.911111111111111)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:55.503570,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.911111111111111)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
06-01-2023 15:36:56.929924,"(10.0, 15.5, 13.227272727272727)","(5.0, 6.2, 6.0)","(5.5, 6.2, 6.066666666666666)","(10.0, 14.5, 13.3)","(3.7, 5.4, 5.009230769230769)","(3.4, 4.0, 3.911111111111111)","(15.0, 25.0, 21.294117647058822)","(18.0, 34.0, 30.666666666666664)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)"
