,Couch King,Typhoon Tony,Wonder Woolly,Wiradjuri Queen,Rutland Bella
08-12-2022 15:46:47.476991,"(2.5, 4.2, 3.916666666666667)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.95, 3.715)"
08-12-2022 15:46:48.321443,"(2.5, 4.2, 3.9142857142857146)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.8, 3.548)"
08-12-2022 15:46:49.234677,"(2.5, 4.2, 3.769230769230769)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.8, 3.17)"
08-12-2022 15:46:50.183562,"(2.5, 4.2, 4.059459459459459)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.990322580645161)","(2.6, 3.75, 2.8030434782608697)"
08-12-2022 15:46:51.110921,"(2.5, 4.2, 4.121212121212121)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.7, 3.1566666666666667)"
08-12-2022 15:46:51.981477,"(2.5, 4.2, 4.121212121212121)","(10.0, 20.0, 14.545454545454545)","(10.0, 15.5, 13.0)","(3.8, 4.0, 3.9583333333333335)","(2.6, 3.65, 3.1566666666666667)"
08-12-2022 15:46:52.965928,"(2.5, 4.2, 4.121212121212121)","(10.0, 19.5, 17.833333333333336)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.65, 2.9669230769230768)"
08-12-2022 15:46:53.833912,"(2.5, 4.2, 4.121212121212121)","(10.0, 19.0, 16.9)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.65, 2.9669230769230768)"
08-12-2022 15:46:54.686904,"(2.5, 4.2, 4.121212121212121)","(10.0, 19.0, 15.5)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.990322580645161)","(2.6, 3.65, 2.9669230769230768)"
08-12-2022 15:46:55.645697,"(2.5, 4.2, 4.121212121212121)","(10.0, 19.0, 17.02173913043478)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.990322580645161)","(2.6, 3.65, 2.9669230769230768)"
08-12-2022 15:46:56.584554,"(2.5, 4.2, 4.121212121212121)","(10.0, 19.0, 17.02173913043478)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.65, 3.0700000000000003)"
08-12-2022 15:46:57.473944,"(2.5, 4.2, 3.9333333333333336)","(10.0, 19.0, 17.02173913043478)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.6, 3.0700000000000003)"
08-12-2022 15:46:58.416963,"(2.5, 4.2, 4.0285714285714285)","(10.0, 19.0, 17.02173913043478)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.6, 3.0700000000000003)"
08-12-2022 15:46:59.406307,"(2.5, 4.2, 4.0285714285714285)","(10.0, 19.0, 15.5)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.6, 2.781304347826087)"
08-12-2022 15:47:00.260823,"(2.5, 4.2, 4.0285714285714285)","(10.0, 19.0, 15.5)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.990322580645161)","(2.6, 3.65, 2.781304347826087)"
08-12-2022 15:47:01.182414,"(2.5, 4.2, 4.0285714285714285)","(10.0, 19.0, 15.5)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.990322580645161)","(2.6, 3.55, 2.9284615384615384)"
08-12-2022 15:47:02.107551,"(2.5, 4.2, 4.0285714285714285)","(10.0, 19.0, 15.5)","(10.0, 15.5, 13.0)","(3.7, 4.0, 3.9583333333333335)","(2.6, 3.55, 3.3933333333333335)"
08-12-2022 15:47:03.004073,"(2.5, 4.1, 4.054545454545455)","(10.0, 18.5, 17.642857142857142)","(10.0, 15.0, 14.357142857142858)","(3.7, 4.1, 3.925)","(2.6, 3.5, 3.3933333333333335)"
08-12-2022 15:47:03.903378,"(2.5, 4.1, 4.054545454545455)","(10.0, 18.5, 17.642857142857142)","(10.0, 15.0, 14.357142857142858)","(3.7, 4.1, 3.925)","(2.6, 3.5, 2.7578947368421054)"
08-12-2022 15:47:04.759933,"(2.5, 4.1, 4.02)","(10.0, 18.0, 16.166666666666668)","(10.0, 15.0, 12.954545454545455)","(3.7, 4.1, 3.983333333333333)","(2.6, 3.5, 2.7578947368421054)"
08-12-2022 15:47:05.676141,"(2.5, 4.1, 3.925)","(10.0, 17.5, 15.227272727272727)","(10.0, 14.5, 12.5)","(3.7, 4.1, 3.9499999999999997)","(2.6, 3.4, 2.7142857142857144)"
08-12-2022 15:47:06.624603,"(2.5, 4.1, 3.925)","(10.0, 17.0, 15.875)","(10.0, 14.0, 13.5)","(3.7, 4.0, 3.9)","(2.6, 3.4, 2.765714285714286)"
08-12-2022 15:47:07.551482,"(2.5, 4.1, 3.925)","(10.0, 16.5, 15.928571428571429)","(10.0, 14.0, 13.681818181818182)","(3.7, 4.0, 3.9)","(2.6, 3.4, 3.12)"
08-12-2022 15:47:08.446526,"(2.5, 4.1, 3.925)","(10.0, 16.5, 15.928571428571429)","(10.0, 14.0, 13.681818181818182)","(3.7, 4.0, 3.9)","(2.6, 3.35, 3.12)"
08-12-2022 15:47:09.340417,"(2.5, 4.1, 4.0562499999999995)","(10.0, 17.5, 16.785714285714285)","(10.0, 14.5, 13.357142857142858)","(3.7, 4.0, 3.9)","(2.6, 3.35, 3.111428571428571)"
08-12-2022 15:47:10.229251,"(2.5, 4.1, 4.073076923076923)","(10.0, 19.5, 18.5)","(10.0, 14.5, 13.357142857142858)","(3.7, 4.0, 3.9714285714285715)","(2.6, 3.3, 3.1799999999999997)"
08-12-2022 15:47:11.108024,"(2.5, 4.1, 4.073076923076923)","(10.0, 19.5, 18.5)","(10.0, 14.5, 13.357142857142858)","(3.7, 4.0, 3.9714285714285715)","(2.6, 3.3, 2.955)"
08-12-2022 15:47:12.055204,"(2.5, 4.1, 4.04)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.357142857142858)","(3.7, 4.0, 3.966666666666667)","(2.6, 3.25, 2.955)"
08-12-2022 15:47:12.882156,"(2.5, 4.2, 4.010526315789473)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 4.0, 3.966666666666667)","(2.6, 3.25, 2.955)"
08-12-2022 15:47:13.779840,"(2.5, 4.2, 4.05)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.94)","(2.6, 3.25, 2.7181818181818183)"
08-12-2022 15:47:14.703918,"(2.5, 4.2, 4.11578947368421)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.9250000000000003)","(2.6, 3.3, 2.9555555555555557)"
08-12-2022 15:47:15.619082,"(2.5, 4.2, 4.12)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.9250000000000003)","(2.6, 3.3, 2.75)"
08-12-2022 15:47:16.517980,"(2.5, 4.2, 3.92)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.9250000000000003)","(2.6, 3.3, 2.75)"
08-12-2022 15:47:17.455801,"(2.5, 4.2, 3.92)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.89375)","(2.6, 3.25, 2.95)"
08-12-2022 15:47:18.388032,"(2.5, 4.2, 3.92)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.89375)","(2.6, 3.2, 2.95)"
08-12-2022 15:47:19.359415,"(2.5, 4.2, 3.92)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 2.95)"
08-12-2022 15:47:20.204144,"(2.5, 4.2, 4.1125)","(10.0, 19.5, 16.7)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 2.95)"
08-12-2022 15:47:21.075421,"(2.5, 4.2, 4.044444444444444)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 3.146666666666667)"
08-12-2022 15:47:21.989354,"(2.5, 4.2, 4.044444444444444)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 2.97)"
08-12-2022 15:47:22.920122,"(2.5, 4.2, 4.044444444444444)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 2.97)"
08-12-2022 15:47:23.770366,"(2.5, 4.2, 4.044444444444444)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 2.97)"
08-12-2022 15:47:24.651621,"(2.5, 4.2, 4.044444444444444)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.9142857142857146)","(2.6, 3.2, 3.1233333333333335)"
08-12-2022 15:47:25.590726,"(2.5, 4.2, 4.030769230769231)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 3.151111111111111)"
08-12-2022 15:47:26.516451,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 2.99)"
08-12-2022 15:47:27.362183,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 2.99)"
08-12-2022 15:47:28.263697,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.8833333333333333)","(2.6, 3.2, 2.99)"
08-12-2022 15:47:29.214699,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 2.99)"
08-12-2022 15:47:30.196446,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.7)","(2.6, 3.2, 3.155555555555556)"
08-12-2022 15:47:31.150304,"(2.5, 4.1, 4.033333333333333)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 3.01)"
08-12-2022 15:47:32.070502,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 3.01)"
08-12-2022 15:47:33.010001,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85)","(2.6, 3.2, 3.01)"
08-12-2022 15:47:33.917109,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.875)","(2.6, 3.2, 3.01)"
08-12-2022 15:47:34.809071,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.85625)","(2.6, 3.2, 3.01)"
08-12-2022 15:47:35.812912,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.95, 3.875)","(2.6, 3.2, 3.16)"
08-12-2022 15:47:36.823449,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.0300000000000002)"
08-12-2022 15:47:37.684485,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.0300000000000002)"
08-12-2022 15:47:38.547063,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.0300000000000002)"
08-12-2022 15:47:39.516136,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.8911764705882352)","(2.6, 3.2, 3.0300000000000002)"
08-12-2022 15:47:40.564896,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.885294117647059)","(2.6, 3.2, 3.0300000000000002)"
08-12-2022 15:47:41.518672,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.885294117647059)","(2.6, 3.2, 3.1644444444444444)"
08-12-2022 15:47:42.438631,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.1644444444444444)"
08-12-2022 15:47:43.418689,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.05)"
08-12-2022 15:47:44.409993,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.875)","(2.6, 3.2, 3.05)"
08-12-2022 15:47:45.419160,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.75)","(2.6, 3.2, 3.05)"
08-12-2022 15:47:46.366591,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.9, 3.79)","(2.6, 3.2, 3.1533333333333333)"
08-12-2022 15:47:47.318701,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.85, 3.8333333333333335)","(2.6, 3.2, 3.165)"
08-12-2022 15:47:48.227780,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.85, 3.8333333333333335)","(2.6, 3.2, 3.165)"
08-12-2022 15:47:49.255099,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.85, 3.8333333333333335)","(2.6, 3.2, 3.0700000000000003)"
08-12-2022 15:47:50.247846,"(2.5, 4.1, 3.9)","(10.0, 19.5, 16.9)","(10.0, 14.5, 13.576923076923077)","(3.7, 3.85, 3.8333333333333335)","(2.6, 3.2, 3.0700000000000003)"
