,Double Thunder,Goldstar Charm,Goldstar Justice,Homebush Shadow,Opawa Andrew,Lonely Guy,Replica Rosco
06-01-2023 11:24:01.626162,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:02.655529,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:03.707743,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:04.859222,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:06.011580,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:07.135152,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:08.168590,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:09.161349,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:10.142159,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:11.193728,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:12.232415,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:13.212361,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:14.285177,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:15.422605,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 27.125)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:16.546528,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 13.45)"
06-01-2023 11:24:17.618521,"(1.8, 2.92, 2.745)","(6.5, 14.0, 12.962500000000002)","(11.0, 24.0, 21.16)","(9.0, 17.0, 14.942857142857143)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:18.715964,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:19.735268,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:20.812884,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:21.816432,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:22.850335,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:23.754039,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:24.714839,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:25.722505,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:26.793735,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:27.895513,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:28.986853,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:29.984805,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:31.030914,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:32.075877,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:33.117568,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:34.127954,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:35.206221,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:36.273451,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:37.380238,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:38.523507,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:39.638069,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:40.694906,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:41.818660,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:42.865964,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:43.984470,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:45.058760,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:46.111854,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:47.190559,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:48.325613,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:49.451120,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:50.594242,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:51.712926,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:52.735091,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:53.781252,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:54.902485,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:56.042474,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:57.163147,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:58.230965,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:24:59.286782,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:00.331433,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:01.382540,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:02.404452,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 7.37037037037037)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:03.336389,"(1.8, 2.92, 2.745)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 14.666666666666668)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.166666666666666)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:04.389638,"(1.8, 2.92, 1.96625)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.333333333333332)","(8.0, 14.0, 10.8)"
06-01-2023 11:25:05.480901,"(1.8, 2.92, 1.96625)","(6.5, 14.0, 11.266666666666666)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 27.125)","(8.0, 14.0, 9.9)"
06-01-2023 11:25:06.652928,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 27.125)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:07.770647,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:08.810644,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:09.874008,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:10.907813,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:12.033812,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:13.039929,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:14.116452,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.0)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 19.666666666666668)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:15.163323,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 27.125)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:16.271619,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 21.16)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 27.125)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:17.452915,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:18.595349,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:19.705200,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:20.693801,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:21.759988,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:22.805163,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:23.898860,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:24.947989,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:26.058266,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:27.236876,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:28.416671,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
06-01-2023 11:25:29.616540,"(1.8, 2.92, 1.96625)","(6.5, 14.5, 10.149999999999999)","(11.0, 24.0, 15.333333333333332)","(9.0, 17.0, 9.95)","(5.0, 8.0, 5.25)","(14.0, 32.0, 20.0)","(8.0, 14.5, 9.9)"
