,Electric Heidi,Claretown Ann,Aston Jasper,Smiling Quartile,Mythical Queen,Stopped Short,Aston Esme,Caesars Palace
16-12-2022 14:48:04.607778,"(4.4, 5.5, 4.94)","(2.7, 3.25, 3.2055555555555557)","(8.5, 14.5, 13.0)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.345454545454546)","(21.0, 60.0, 35.38461538461539)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:05.760409,"(4.4, 5.5, 4.94)","(2.7, 3.25, 3.2055555555555557)","(8.5, 14.5, 13.0)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.2, 8.741666666666667)","(8.5, 9.8, 9.175)","(21.0, 60.0, 39.333333333333336)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:06.924484,"(4.4, 5.5, 5.01304347826087)","(2.7, 3.25, 3.2055555555555557)","(8.5, 14.5, 13.153846153846153)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 7.036666666666667)","(8.5, 9.8, 9.175)","(21.0, 60.0, 42.35294117647059)","(5.5, 7.0, 6.4)"
16-12-2022 14:48:08.077361,"(4.4, 5.5, 4.852380952380953)","(2.7, 3.25, 3.175)","(8.5, 14.5, 13.423076923076923)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.4)"
16-12-2022 14:48:09.299452,"(4.4, 5.5, 4.852380952380953)","(2.7, 3.25, 3.175)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:10.422465,"(4.4, 5.5, 5.15)","(2.7, 3.25, 3.2214285714285715)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:11.427758,"(4.4, 5.5, 5.15)","(2.7, 3.25, 3.2214285714285715)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:12.462579,"(4.4, 5.5, 5.338461538461538)","(2.7, 3.25, 3.2214285714285715)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:13.525797,"(4.4, 5.5, 5.314705882352941)","(2.7, 3.25, 3.1357142857142857)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:14.631907,"(4.4, 5.5, 5.114285714285715)","(2.7, 3.25, 3.1954545454545453)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:15.745632,"(4.4, 5.5, 5.114285714285715)","(2.7, 3.25, 3.1954545454545453)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4590163934426235)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.4)"
16-12-2022 14:48:16.852532,"(4.4, 5.5, 5.114285714285715)","(2.7, 3.2, 3.112280701754386)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 82.94117647058823)","(4.6, 9.0, 6.4576271186440675)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.4)"
16-12-2022 14:48:17.949975,"(4.4, 5.5, 5.32)","(2.7, 3.2, 3.103846153846154)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 9.0, 6.4576271186440675)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:19.034442,"(4.4, 5.5, 5.32)","(2.7, 3.2, 3.103846153846154)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 9.0, 7.800000000000001)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:20.084625,"(4.4, 5.5, 5.23)","(2.7, 3.2, 2.9894736842105263)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 7.800000000000001)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.25)"
16-12-2022 14:48:21.165762,"(4.4, 5.5, 5.242857142857143)","(2.7, 3.2, 2.9894736842105263)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 7.800000000000001)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.373913043478261)"
16-12-2022 14:48:22.267422,"(4.4, 5.5, 5.242857142857143)","(2.7, 3.2, 2.9894736842105263)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 7.6000000000000005)","(8.5, 9.8, 9.175)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.373913043478261)"
16-12-2022 14:48:23.321015,"(4.4, 5.5, 5.345714285714286)","(2.7, 3.2, 2.9894736842105263)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 6.792727272727273)","(8.5, 9.8, 9.200000000000001)","(21.0, 60.0, 48.0)","(5.5, 7.0, 6.373913043478261)"
16-12-2022 14:48:24.343766,"(4.4, 5.5, 5.345714285714286)","(2.7, 3.2, 2.9894736842105263)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 6.792727272727273)","(8.5, 9.8, 9.200000000000001)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.242105263157895)"
16-12-2022 14:48:25.386822,"(4.4, 5.5, 5.235294117647059)","(2.7, 3.2, 3.02258064516129)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 6.792727272727273)","(8.5, 9.8, 9.200000000000001)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.266666666666667)"
16-12-2022 14:48:26.522616,"(4.4, 5.5, 5.235294117647059)","(2.7, 3.2, 3.036774193548387)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 6.792727272727273)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.266666666666667)"
16-12-2022 14:48:27.641763,"(4.4, 5.5, 5.381578947368421)","(2.7, 3.2, 3.036774193548387)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.8, 7.6375)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.580952380952381)"
16-12-2022 14:48:28.827653,"(4.4, 5.5, 5.363636363636363)","(2.7, 3.2, 3.0053846153846155)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 7.2)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.580952380952381)"
16-12-2022 14:48:29.960657,"(4.4, 5.5, 5.363636363636363)","(2.7, 3.2, 3.0053846153846155)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 6.60952380952381)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:31.067206,"(4.4, 5.5, 5.288235294117647)","(2.7, 3.2, 3.0685714285714285)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 6.60952380952381)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:32.166479,"(4.4, 5.5, 5.3)","(2.7, 3.2, 3.075675675675676)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 6.60952380952381)","(8.5, 9.8, 8.966666666666667)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:33.216109,"(4.4, 5.5, 5.405263157894737)","(2.7, 3.2, 3.075675675675676)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 6.60952380952381)","(8.5, 9.8, 9.157142857142857)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
