,Apollo Dreamz,Miki Magic,Jilliby Typhoon,Bronski Delight,Isntthatright,Captain Braveheart,Turbo Bromac Nz,Lancelot Bromac Nz,Jay Tee Tyron Nz,English Dance
10-01-2023 16:36:25.268149,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:26.601799,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:28.035510,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.45)","(9.0, 15.5, 13.166666666666666)","(4.0, 8.8, 7.6000000000000005)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:29.487711,"(1.95, 2.0, 1.9978723404255319)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.5, 12.75)","(4.0, 8.8, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:30.951636,"(1.95, 2.0, 1.9920588235294117)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:32.423970,"(1.95, 2.0, 1.9920588235294117)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:33.840842,"(1.95, 2.0, 1.9920588235294117)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:35.286031,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:36.756669,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 11.2)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:38.314954,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:39.772061,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:41.153950,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:42.552444,"(1.95, 2.0, 1.9854054054054053)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:44.016101,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:45.427585,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:46.794782,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:48.222363,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:36:49.617066,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:51.156022,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:52.567180,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:54.065124,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:55.522088,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:56.959062,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:58.440761,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:36:59.830376,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.75)","(4.0, 9.0, 7.428571428571429)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:01.261245,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.65)","(9.0, 15.0, 12.875)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:02.660985,"(1.95, 2.0, 1.984)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.05)","(9.0, 15.5, 12.875)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:04.050657,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 9.366666666666667)","(9.0, 15.5, 12.4375)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:05.452597,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 9.366666666666667)","(9.0, 15.5, 12.4375)","(4.0, 9.0, 7.9)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:06.880746,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 9.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:08.309909,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:09.737892,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:11.188513,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:12.592151,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:13.971767,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:15.433369,"(1.95, 2.0, 1.9775)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:16.881084,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:18.280547,"(1.95, 2.0, 1.9723076923076923)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:19.672701,"(1.95, 2.0, 1.9925)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:21.059159,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:22.413654,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 64.33333333333334)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:23.770480,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:25.364597,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:26.879976,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:28.514940,"(1.95, 2.0, 1.9945454545454546)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.142857142857142)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:30.076056,"(1.95, 2.0, 1.99375)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 8.0, 7.2615384615384615)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:31.686581,"(1.95, 2.0, 1.99375)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 7.8, 7.2615384615384615)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:33.068816,"(1.95, 2.0, 1.99375)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 7.8, 7.2615384615384615)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
10-01-2023 16:37:34.447729,"(1.95, 2.0, 1.9958333333333333)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 7.8, 7.2615384615384615)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 13.375)"
10-01-2023 16:37:35.850308,"(1.95, 2.0, 1.9958333333333333)","(8.5, 14.5, 13.5)","(7.0, 12.5, 10.620000000000001)","(9.0, 15.5, 12.4375)","(4.0, 7.8, 7.2615384615384615)","(31.0, 70.0, 53.0)","(101.0, 99999, 99990)","(41.0, 99999, 99990)","(61.0, 99999, 99990)","(9.0, 19.0, 15.5)"
