,Frosty Helen,Frostbite Hux,Blue Mystique,Thornbird,Emmeline Vance,Monza,Rosdue Swagman,Frankies Vision
343,"[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 30, 889481), 9.0, 17.0]"
344,"[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 32, 11786), 9.0, 17.0]"
345,"[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 33, 135092), 9.0, 17.0]"
346,"[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 34, 254181), 9.0, 17.0]"
347,"[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 35, 384095), 9.0, 17.0]"
348,"[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 36, 506076), 9.0, 17.0]"
349,"[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 37, 629867), 9.0, 17.0]"
350,"[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 38, 758577), 9.0, 17.0]"
351,"[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 39, 876958), 9.0, 17.0]"
352,"[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 32, 41, 5363), 9.0, 17.0]"
