,Luskin Hero,King Of The Desert,Buying Time,Lilli Lights Out,Single Memo
11-01-2023 14:29:44.402227,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7725)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:45.425927,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7725)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:46.409932,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7707692307692309)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:47.361371,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7782089552238807)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:48.271411,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7782089552238807)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:49.211795,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.78, 1.7782089552238807)","(26.0, 85.0, 76.45454545454545)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:50.224852,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:51.239669,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:52.242115,"(5.5, 7.6, 7.28)","(21.0, 32.0, 26.75)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:53.205872,"(5.5, 7.6, 7.28)","(21.0, 32.0, 26.75)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:54.121308,"(5.5, 7.6, 7.28)","(21.0, 32.0, 26.75)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:55.128493,"(5.5, 7.6, 7.28)","(21.0, 32.0, 26.75)","(1.7, 1.81, 1.7825)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:56.117134,"(5.5, 7.6, 7.28)","(21.0, 32.0, 26.4)","(1.7, 1.79, 1.7805714285714287)","(26.0, 85.0, 61.5)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:57.136078,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:58.125082,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:59.021077,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:29:59.961738,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:00.870615,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:01.867648,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.6)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:02.884480,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 62.5)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:03.865188,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 76.0)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:04.878096,"(5.5, 7.6, 7.28)","(21.0, 32.0, 27.333333333333332)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 76.0)","(3.1, 4.0, 3.97)"
11-01-2023 14:30:05.871743,"(5.5, 7.6, 7.576470588235294)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.79, 1.7735)","(26.0, 85.0, 75.75)","(3.1, 3.95, 3.8941176470588235)"
11-01-2023 14:30:06.861753,"(5.5, 7.8, 7.767567567567568)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.79, 1.7705882352941176)","(26.0, 85.0, 75.75)","(3.1, 3.95, 3.892857142857143)"
11-01-2023 14:30:07.876509,"(5.5, 8.0, 7.642857142857143)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.8, 1.775)","(26.0, 85.0, 75.75)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:08.866810,"(5.5, 8.0, 7.642857142857143)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.8, 1.775)","(26.0, 85.0, 75.75)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:09.818877,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 75.75)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:10.876371,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:11.857289,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:12.844954,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:13.897587,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:15.076574,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:16.085848,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:17.226253,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:18.244583,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:19.231584,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.80325)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:20.260452,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:21.240377,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:22.203439,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:23.190444,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:24.121410,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:25.026185,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:26.019464,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:26.934280,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 61.666666666666664)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:27.906842,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:28.884017,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:29.901656,"(5.5, 7.8, 7.771428571428571)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.7714285714285714)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:30.898305,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:31.837290,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:32.795458,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:33.771984,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:34.650736,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:35.502688,"(5.5, 7.8, 7.760975609756097)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.81, 1.8038356164383562)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:36.431964,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.82, 1.7739130434782608)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:37.351458,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.82, 1.7739130434782608)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:38.230966,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.82, 1.774014598540146)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:39.353595,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.82, 1.774014598540146)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:40.329010,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 25.714285714285715)","(1.7, 1.82, 1.774014598540146)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:41.285412,"(5.5, 7.8, 7.757894736842105)","(21.0, 30.0, 24.545454545454547)","(1.7, 1.82, 1.774014598540146)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8842857142857143)"
11-01-2023 14:30:42.391323,"(5.5, 8.0, 7.63448275862069)","(21.0, 29.0, 22.666666666666668)","(1.7, 1.82, 1.783103448275862)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:43.384162,"(5.5, 8.0, 7.63448275862069)","(21.0, 28.0, 26.666666666666668)","(1.7, 1.79, 1.782857142857143)","(26.0, 85.0, 76.25)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:44.509848,"(5.5, 8.0, 7.63448275862069)","(21.0, 28.0, 26.666666666666668)","(1.7, 1.79, 1.782857142857143)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:45.444115,"(5.5, 8.0, 7.63448275862069)","(21.0, 30.0, 26.4)","(1.7, 1.79, 1.782857142857143)","(26.0, 85.0, 67.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:46.388918,"(5.5, 8.0, 7.63448275862069)","(21.0, 30.0, 26.4)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 74.11111111111111)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:47.339179,"(5.5, 8.0, 7.63448275862069)","(21.0, 30.0, 26.4)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 60.5)","(3.1, 3.95, 3.8875)"
11-01-2023 14:30:48.341371,"(5.5, 8.0, 7.63448275862069)","(21.0, 29.0, 24.5)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 75.2)","(3.1, 3.95, 3.91)"
11-01-2023 14:30:49.320763,"(5.5, 8.0, 7.442105263157895)","(21.0, 29.0, 26.0)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 75.2)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:50.185008,"(5.5, 8.0, 7.442105263157895)","(21.0, 29.0, 28.142857142857142)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 75.2)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:51.037260,"(5.5, 8.0, 7.442105263157895)","(21.0, 29.0, 28.142857142857142)","(1.7, 1.79, 1.7825925925925927)","(26.0, 85.0, 75.2)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:52.040849,"(5.5, 8.0, 7.442105263157895)","(21.0, 29.0, 28.142857142857142)","(1.7, 1.78, 1.7787692307692309)","(26.0, 85.0, 74.11111111111111)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:53.075507,"(5.5, 8.0, 7.442105263157895)","(21.0, 29.0, 28.142857142857142)","(1.7, 1.78, 1.7787692307692309)","(26.0, 85.0, 71.63636363636363)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:54.017883,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 28.18181818181818)","(1.7, 1.78, 1.7787692307692309)","(26.0, 80.0, 70.8)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:54.986530,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 28.18181818181818)","(1.7, 1.78, 1.7787692307692309)","(26.0, 80.0, 66.8)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:55.903246,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 28.18181818181818)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 66.8)","(3.1, 4.0, 3.91)"
11-01-2023 14:30:56.820296,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 28.18181818181818)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 67.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:30:57.742124,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 25.0)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 67.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:30:58.677715,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 27.933333333333334)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 67.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:30:59.559564,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 25.0)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 67.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:00.414292,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 26.714285714285715)","(1.7, 1.78, 1.7787692307692309)","(26.0, 75.0, 66.33333333333333)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:01.357237,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 27.933333333333334)","(1.7, 1.81, 1.80765625)","(26.0, 75.0, 55.5)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:02.297370,"(5.5, 7.8, 7.628571428571429)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.81, 1.80765625)","(26.0, 75.0, 66.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:03.198082,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.81, 1.7975)","(26.0, 70.0, 66.9090909090909)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:04.091659,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.81, 1.7975)","(26.0, 70.0, 64.33333333333334)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:04.937406,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.81, 1.7975)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:05.921202,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:06.877107,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:07.736312,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:08.747404,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:09.687511,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:10.499409,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:11.371887,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:12.247335,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.79, 1.7770967741935484)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:13.092897,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.8, 1.7901234567901234)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
11-01-2023 14:31:13.959037,"(5.5, 7.8, 7.545454545454546)","(21.0, 29.0, 24.333333333333332)","(1.7, 1.8, 1.7901234567901234)","(26.0, 65.0, 60.166666666666664)","(3.1, 4.0, 3.9181818181818184)"
