,Luvtoo,Flying Banyula,R N R Beach Nz,Call Me Dragon,Shez Bettors Babe,Imperious,Esther Rising,Desmond,Shooin
06-01-2023 15:18:16.559767,"(4.4, 99999, 99990)","(2.8, 4.2, 3.3665116279069767)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 86.0)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:17.888770,"(4.4, 99999, 99990)","(2.8, 4.2, 2.983448275862069)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 86.0)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:19.151474,"(4.4, 99999, 99990)","(2.8, 4.2, 2.983448275862069)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 86.0)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:20.319825,"(4.4, 99999, 99990)","(2.8, 4.1, 3.23)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 86.0)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:21.612770,"(4.4, 99999, 99990)","(2.8, 4.0, 3.8868750000000003)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:22.893052,"(4.4, 99999, 99990)","(2.8, 3.95, 3.846875)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:24.236475,"(4.4, 99999, 99990)","(2.8, 3.9, 3.846875)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:25.458204,"(4.4, 99999, 99990)","(2.8, 3.85, 3.8333333333333335)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:26.686314,"(4.4, 99999, 99990)","(2.8, 3.8, 3.753125)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:28.067859,"(4.4, 99999, 99990)","(2.8, 4.0, 3.775)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:29.382806,"(4.4, 99999, 99990)","(2.8, 4.0, 3.19)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:30.732473,"(4.4, 99999, 99990)","(2.8, 4.0, 3.9375)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 30.5)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:32.071706,"(4.4, 99999, 99990)","(2.8, 4.0, 3.993333333333333)","(1.95, 99999, 99990)","(15.0, 30.0, 21.5)","(81.0, 200.0, 176.0)","(17.0, 44.0, 31.727272727272727)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 81.14285714285714)"
06-01-2023 15:18:33.457403,"(4.4, 99999, 99990)","(2.8, 3.85, 3.9705882352941178)","(1.95, 99999, 99990)","(15.0, 30.0, 21.0)","(81.0, 200.0, 176.0)","(17.0, 44.0, 31.727272727272727)","(51.0, 95.0, 85.6)","(41.0, 150.0, 113.33333333333333)","(41.0, 100.0, 77.57142857142857)"
06-01-2023 15:18:34.880449,"(4.4, 99999, 99990)","(2.8, 4.0, 3.0742857142857143)","(1.95, 99999, 99990)","(15.0, 29.0, 19.4)","(81.0, 200.0, 113.75)","(17.0, 44.0, 33.83333333333333)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 52.85714285714286)"
06-01-2023 15:18:36.240137,"(4.4, 99999, 99990)","(2.8, 4.0, 3.896875)","(1.95, 99999, 99990)","(15.0, 29.0, 18.0)","(81.0, 200.0, 113.75)","(17.0, 42.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:37.667922,"(4.4, 99999, 99990)","(2.8, 3.9, 3.263333333333333)","(1.95, 99999, 99990)","(15.0, 28.0, 18.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 52.85714285714286)"
06-01-2023 15:18:38.950812,"(4.4, 99999, 99990)","(2.8, 3.95, 3.851923076923077)","(1.95, 99999, 99990)","(15.0, 28.0, 20.5)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:40.248173,"(4.4, 99999, 99990)","(2.8, 3.95, 3.867741935483871)","(1.95, 99999, 99990)","(15.0, 28.0, 20.5)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:41.542388,"(4.4, 99999, 99990)","(2.8, 3.95, 3.867741935483871)","(1.95, 99999, 99990)","(15.0, 28.0, 20.5)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:42.857180,"(4.4, 99999, 99990)","(2.8, 3.95, 3.867741935483871)","(1.95, 99999, 99990)","(15.0, 28.0, 16.75)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 60.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:44.175381,"(4.4, 99999, 99990)","(2.8, 3.95, 2.977222222222222)","(1.95, 99999, 99990)","(15.0, 28.0, 20.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 150.0, 56.666666666666664)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:45.474052,"(4.4, 99999, 99990)","(2.8, 3.95, 3.9000000000000004)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 28.75)","(51.0, 95.0, 68.0)","(41.0, 130.0, 90.0)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:46.750121,"(4.4, 99999, 99990)","(2.8, 3.9, 3.88)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 35.0)","(51.0, 95.0, 68.0)","(41.0, 130.0, 76.25)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:48.073458,"(4.4, 99999, 99990)","(2.8, 4.0, 3.95)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 31.200000000000003)","(51.0, 95.0, 68.0)","(41.0, 130.0, 76.25)","(41.0, 95.0, 59.6)"
06-01-2023 15:18:49.429352,"(4.4, 99999, 99990)","(2.8, 4.0, 3.95)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 113.75)","(17.0, 40.0, 31.200000000000003)","(51.0, 95.0, 68.0)","(41.0, 130.0, 89.6)","(41.0, 95.0, 63.0)"
06-01-2023 15:18:50.786514,"(4.4, 99999, 99990)","(2.8, 4.1, 4.012499999999999)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 40.0, 31.200000000000003)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:52.142195,"(4.4, 99999, 99990)","(2.8, 4.1, 4.012499999999999)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 40.0, 36.0)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:53.580148,"(4.4, 99999, 99990)","(2.8, 4.1, 4.012499999999999)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 48.0, 36.0)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:54.975793,"(4.4, 99999, 99990)","(2.8, 4.1, 4.012499999999999)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 48.0, 36.0)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:56.413937,"(4.4, 99999, 99990)","(2.8, 4.1, 4.012499999999999)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 48.0, 32.75)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:57.749328,"(4.4, 99999, 99990)","(2.8, 4.1, 4.0204545454545455)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 48.0, 35.8)","(51.0, 95.0, 72.5)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:18:59.352890,"(4.4, 99999, 99990)","(2.8, 4.1, 3.85)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 48.0, 33.4)","(51.0, 95.0, 80.0)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:00.873296,"(4.4, 99999, 99990)","(2.8, 4.1, 3.85)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 44.0, 33.4)","(51.0, 90.0, 80.0)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:02.831065,"(4.4, 99999, 99990)","(2.8, 4.1, 3.85)","(1.95, 99999, 99990)","(15.0, 27.0, 20.0)","(81.0, 200.0, 123.33333333333334)","(17.0, 44.0, 33.4)","(51.0, 90.0, 80.0)","(41.0, 120.0, 89.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:04.828553,"(4.4, 99999, 99990)","(2.8, 4.1, 3.8375)","(1.95, 99999, 99990)","(15.0, 27.0, 21.0)","(81.0, 200.0, 142.5)","(17.0, 42.0, 34.0)","(51.0, 90.0, 80.0)","(41.0, 120.0, 70.66666666666667)","(41.0, 90.0, 60.0)"
06-01-2023 15:19:06.414305,"(4.4, 99999, 99990)","(2.8, 4.1, 3.8214285714285716)","(1.95, 99999, 99990)","(15.0, 27.0, 24.2)","(81.0, 200.0, 113.75)","(17.0, 42.0, 34.0)","(51.0, 90.0, 80.0)","(41.0, 120.0, 70.66666666666667)","(41.0, 90.0, 51.42857142857143)"
06-01-2023 15:19:07.915038,"(4.4, 99999, 99990)","(2.8, 4.0, 3.8214285714285716)","(1.95, 99999, 99990)","(15.0, 27.0, 24.2)","(81.0, 200.0, 113.75)","(17.0, 42.0, 34.0)","(51.0, 90.0, 80.0)","(41.0, 120.0, 70.66666666666667)","(41.0, 90.0, 51.42857142857143)"
06-01-2023 15:19:09.323749,"(4.4, 99999, 99990)","(2.8, 4.0, 3.857142857142857)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 90.0, 80.0)","(41.0, 120.0, 70.66666666666667)","(41.0, 90.0, 51.42857142857143)"
06-01-2023 15:19:10.636548,"(4.4, 99999, 99990)","(2.8, 4.0, 3.857142857142857)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 90.0, 76.42857142857143)","(41.0, 120.0, 58.8)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:11.950967,"(4.4, 99999, 99990)","(2.8, 4.0, 3.976470588235294)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 85.0, 76.42857142857143)","(41.0, 110.0, 89.33333333333334)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:13.373329,"(4.4, 99999, 99990)","(2.8, 4.0, 3.875)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 85.0, 75.0)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:14.845260,"(4.4, 99999, 99990)","(2.8, 4.0, 3.8055555555555554)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 85.0, 75.0)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:16.276331,"(4.4, 99999, 99990)","(2.8, 4.0, 3.8055555555555554)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 85.0, 75.0)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:17.662930,"(4.4, 99999, 99990)","(2.8, 4.0, 3.8866666666666667)","(1.95, 99999, 99990)","(15.0, 27.0, 16.5)","(81.0, 200.0, 170.0)","(17.0, 42.0, 34.0)","(51.0, 85.0, 75.0)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:19.016284,"(4.4, 99999, 99990)","(2.8, 4.0, 3.6666666666666665)","(1.95, 99999, 99990)","(15.0, 27.0, 17.0)","(81.0, 200.0, 178.0)","(17.0, 42.0, 26.666666666666664)","(51.0, 85.0, 75.0)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:20.359322,"(4.4, 99999, 99990)","(2.8, 4.0, 3.4)","(1.95, 99999, 99990)","(15.0, 27.0, 17.0)","(81.0, 200.0, 178.0)","(17.0, 44.0, 26.666666666666664)","(51.0, 85.0, 73.28571428571428)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:21.767457,"(4.4, 99999, 99990)","(2.8, 4.0, 3.3333333333333335)","(1.95, 99999, 99990)","(15.0, 27.0, 17.0)","(81.0, 200.0, 178.0)","(17.0, 44.0, 26.666666666666664)","(51.0, 85.0, 73.85714285714286)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:23.161861,"(4.4, 99999, 99990)","(2.8, 4.0, 3.3333333333333335)","(1.95, 99999, 99990)","(15.0, 27.0, 19.5)","(81.0, 200.0, 178.0)","(17.0, 44.0, 30.0)","(51.0, 85.0, 73.85714285714286)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:24.511222,"(4.4, 99999, 99990)","(2.8, 4.0, 3.7125000000000004)","(1.95, 99999, 99990)","(15.0, 26.0, 19.5)","(81.0, 200.0, 178.0)","(17.0, 42.0, 26.0)","(51.0, 85.0, 73.85714285714286)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:25.868718,"(4.4, 99999, 99990)","(2.8, 3.95, 3.8142857142857145)","(1.95, 99999, 99990)","(15.0, 26.0, 19.5)","(81.0, 200.0, 168.57142857142856)","(17.0, 42.0, 26.0)","(51.0, 85.0, 73.85714285714286)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:27.285984,"(4.4, 99999, 99990)","(2.8, 3.95, 3.4450000000000003)","(1.95, 99999, 99990)","(15.0, 26.0, 19.5)","(81.0, 200.0, 168.57142857142856)","(17.0, 42.0, 26.0)","(51.0, 85.0, 73.85714285714286)","(41.0, 110.0, 97.6)","(41.0, 90.0, 63.0)"
06-01-2023 15:19:28.738669,"(4.4, 99999, 99990)","(2.8, 3.95, 3.4450000000000003)","(1.95, 99999, 99990)","(15.0, 26.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 42.0, 25.333333333333332)","(51.0, 85.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 90.0, 60.5)"
06-01-2023 15:19:30.152619,"(4.4, 99999, 99990)","(2.8, 3.95, 3.42)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.333333333333332)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 60.5)"
06-01-2023 15:19:31.548446,"(4.4, 99999, 99990)","(2.8, 3.9, 3.665)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.333333333333332)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 60.5)"
06-01-2023 15:19:32.910293,"(4.4, 99999, 99990)","(2.8, 3.9, 3.6275)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 29.0)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 60.5)"
06-01-2023 15:19:34.352608,"(4.4, 99999, 99990)","(2.8, 3.85, 3.845)","(1.95, 99999, 99990)","(15.0, 25.0, 20.666666666666664)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.0)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:36.005028,"(4.4, 99999, 99990)","(2.8, 3.85, 3.6275)","(1.95, 99999, 99990)","(15.0, 25.0, 22.22222222222222)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.0)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:37.630056,"(4.4, 99999, 99990)","(2.8, 3.85, 3.8464285714285715)","(1.95, 99999, 99990)","(15.0, 25.0, 22.22222222222222)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.0)","(51.0, 80.0, 64.88888888888889)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:39.034435,"(4.4, 99999, 99990)","(2.8, 3.85, 3.44)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 25.0)","(51.0, 80.0, 70.28571428571428)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:41.033321,"(4.4, 99999, 99990)","(2.8, 3.9, 3.44)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 70.28571428571428)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:42.634915,"(4.4, 99999, 99990)","(2.8, 3.9, 3.3)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 178.0)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 70.28571428571428)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:43.855916,"(4.4, 99999, 99990)","(2.8, 3.9, 3.3)","(1.95, 99999, 99990)","(15.0, 25.0, 19.0)","(81.0, 200.0, 178.0)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 70.28571428571428)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:45.238788,"(4.4, 99999, 99990)","(2.8, 3.9, 3.8941176470588235)","(1.95, 99999, 99990)","(14.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:46.649517,"(4.4, 99999, 99990)","(2.8, 3.9, 3.3200000000000003)","(1.95, 99999, 99990)","(14.0, 25.0, 19.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:48.012255,"(4.4, 99999, 99990)","(2.8, 3.9, 3.3200000000000003)","(1.95, 99999, 99990)","(14.0, 25.0, 20.666666666666664)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:49.360013,"(4.4, 99999, 99990)","(2.8, 3.9, 3.8768000000000002)","(1.95, 99999, 99990)","(14.0, 25.0, 21.875)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:50.784141,"(4.4, 99999, 99990)","(2.8, 3.9, 3.7575)","(1.95, 99999, 99990)","(14.0, 25.0, 21.875)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:52.282405,"(4.4, 99999, 99990)","(2.8, 3.9, 3.85)","(1.95, 99999, 99990)","(14.0, 25.0, 21.875)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:53.716168,"(4.4, 99999, 99990)","(2.8, 3.95, 3.85)","(1.95, 99999, 99990)","(14.0, 25.0, 17.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:55.112126,"(4.4, 99999, 99990)","(2.8, 4.0, 3.742857142857143)","(1.95, 99999, 99990)","(14.0, 25.0, 17.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
06-01-2023 15:19:56.449516,"(4.4, 99999, 99990)","(2.8, 4.0, 2.971428571428571)","(1.95, 99999, 99990)","(14.0, 25.0, 17.0)","(81.0, 200.0, 168.57142857142856)","(17.0, 40.0, 23.666666666666664)","(51.0, 80.0, 68.0)","(41.0, 110.0, 97.6)","(41.0, 85.0, 70.42857142857143)"
