,Influencer,Kanga Lights,Helmet Giblet,Spring Bonnie,Escape Inn,Crazy Dream,Entice,Pyrotechnic
07-12-2022 13:21:11.284541,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:12.335648,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:13.356295,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:14.377516,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:15.394292,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:16.510920,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:17.608988,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:18.650060,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:19.720778,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:20.779978,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:21.837812,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:22.937970,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:23.929118,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:25.012020,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:26.180888,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:27.221283,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:28.343174,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:29.347908,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:30.400172,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:31.464203,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:32.741011,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.2)","(6.5, 15.5, 10.707692307692307)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:33.906138,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 15.083333333333334)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:34.929105,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:36.016475,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:37.425026,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:38.569625,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:39.695160,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:40.779278,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
07-12-2022 13:21:41.897914,"(3.8, 6.2, 5.151041666666667)","(16.0, 55.0, 38.75)","(9.0, 16.5, 14.128571428571428)","(3.0, 3.85, 3.616923076923077)","(21.0, 100.0, 60.5)","(5.0, 8.4, 7.985185185185186)","(6.5, 15.5, 7.7124999999999995)","(7.0, 15.0, 7.824999999999999)"
