,Knights Cross,Urana Fernando,Mcivor Jack,Cookie Delight,Lala Santa,Prussian Spirit,Birdbrook,Red Hot Lady
11-01-2023 14:27:34.282201,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:35.694247,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:37.250640,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:38.709368,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:40.187276,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:41.768305,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:43.372308,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5407407407407407)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:44.795043,"(9.0, 22.0, 14.666666666666668)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5096153846153846)","(4.0, 6.8, 5.06)","(10.0, 20.0, 11.600000000000001)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.23076923076923)"
11-01-2023 14:27:46.519237,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5096153846153846)","(4.0, 6.8, 5.06)","(10.0, 20.0, 15.2)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 7.038461538461538)"
11-01-2023 14:27:48.153272,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 15.0)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5096153846153846)","(4.0, 6.8, 5.06)","(10.0, 20.0, 15.2)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:49.901951,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.4653846153846155)","(4.0, 6.8, 5.06)","(10.0, 20.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:51.277542,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.4653846153846155)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:52.700196,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5538461538461537)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:54.073012,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5538461538461537)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:55.448479,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5538461538461537)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 9.932432432432432)"
11-01-2023 14:27:56.777820,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5538461538461537)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 7.038461538461538)"
11-01-2023 14:27:58.174227,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.4653846153846155)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 6.884615384615385)"
11-01-2023 14:27:59.564285,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5220000000000002)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 7.038461538461538)"
11-01-2023 14:28:00.912520,"(9.0, 22.0, 14.777777777777779)","(9.0, 18.0, 16.773333333333333)","(18.0, 65.0, 31.42857142857143)","(2.9, 5.5, 3.5220000000000002)","(4.0, 6.8, 5.06)","(10.0, 21.0, 14.222222222222221)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 6.884615384615385)"
11-01-2023 14:28:02.279718,"(9.0, 22.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 65.0, 187.3)","(2.9, 5.5, 3.6535714285714285)","(4.0, 6.8, 6.171428571428571)","(10.0, 21.0, 23.36)","(6.0, 10.5, 10.076470588235294)","(5.5, 11.5, 10.3)"
11-01-2023 14:28:03.666184,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.6, 3.6535714285714285)","(4.0, 9.2, 6.171428571428571)","(10.0, 27.0, 23.36)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 10.219999999999999)"
11-01-2023 14:28:05.090796,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.6, 4.3125)","(4.0, 9.2, 6.171428571428571)","(10.0, 27.0, 25.2)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:06.422679,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 6.171428571428571)","(10.0, 27.0, 22.55)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:07.832715,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.55)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:09.207424,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.55)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:10.509198,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.55)","(6.0, 10.5, 10.076470588235294)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:11.861140,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.55)","(6.0, 10.5, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:13.223896,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.3125)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.55)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:14.865956,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.6)","(4.0, 9.2, 5.7)","(10.0, 27.0, 17.9)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:16.433878,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 4.92)","(4.0, 9.2, 5.7)","(10.0, 27.0, 17.9)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:17.946360,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.390000000000001)","(4.0, 9.2, 5.7)","(10.0, 27.0, 25.345454545454547)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:19.626711,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.390000000000001)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:21.448443,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.390000000000001)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:23.191550,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.390000000000001)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:24.797997,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.390000000000001)","(4.0, 9.2, 5.7)","(10.0, 27.0, 17.9)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:26.243730,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 17.9)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:27.699541,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 11.4)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:29.092807,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 11.4)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:30.571170,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 11.4)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:31.903606,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 17.9)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:33.109751,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 25.345454545454547)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:34.383408,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:35.598603,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:36.800379,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
11-01-2023 14:28:38.467322,"(9.0, 26.0, 22.6)","(9.0, 18.0, 16.4)","(18.0, 230.0, 187.3)","(2.9, 7.2, 6.057142857142857)","(4.0, 9.2, 5.7)","(10.0, 27.0, 22.5)","(6.0, 10.0, 9.865625)","(5.5, 13.5, 12.23846153846154)"
