,River Rouge,Goldstar Randal,Adobe Kid,Lets Party,Know Expense,Opawa Warrior,Opawa Hugo,Goldstar Kenzie
06-01-2023 10:12:00.785119,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:01.827702,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:02.867946,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:03.940270,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:04.992362,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:06.052232,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:07.129042,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:08.182272,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:09.227230,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:10.275871,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:11.284977,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:12.339269,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:13.398709,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:14.508236,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:15.598622,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:16.649329,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:17.743278,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:18.782980,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:19.827339,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:20.858228,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:21.920025,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:22.943139,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 3.7347169811320757)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:23.986092,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:25.033225,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:26.124190,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:27.224048,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:28.311212,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:29.418356,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:30.511680,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:31.618230,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:32.641150,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:33.743053,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:34.788784,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:35.834423,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 4.771891891891892)","(2.35, 5.7, 4.684901960784313)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:36.888128,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.4, 5.324444444444445)","(2.35, 5.7, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:37.951697,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:39.005197,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:40.032722,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:41.148927,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:42.234832,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:43.294058,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:44.382425,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:45.443724,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:46.491677,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:47.520133,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:48.523876,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:49.566360,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 25.071428571428573)","(7.5, 25.0, 19.833333333333336)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 210.41666666666669)"
06-01-2023 10:12:50.641015,"(10.0, 36.0, 26.357142857142858)","(13.0, 55.0, 49.5625)","(8.5, 32.0, 24.3125)","(10.0, 34.0, 30.214285714285715)","(7.5, 25.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 340.0, 251.25)"
06-01-2023 10:12:51.708461,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:52.788557,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 3.535333333333333)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:53.889009,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 4.791898734177215)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:54.965808,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 4.791898734177215)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:56.040512,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 4.791898734177215)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:57.090588,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 4.791898734177215)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:58.126374,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.2, 5.324444444444445)","(2.35, 5.6, 4.455384615384615)","(31.0, 410.0, 251.25)"
06-01-2023 10:12:59.163216,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.389450549450549)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:00.214819,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.389450549450549)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:01.236252,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.389450549450549)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:02.332297,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.389450549450549)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:03.395107,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.389450549450549)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:04.440192,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.5, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:05.511567,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.3, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:06.594207,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.3, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:07.721549,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.3, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:08.762995,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.3, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:09.803112,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 4.60972972972973)","(2.35, 5.3, 4.564050632911393)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:10.848328,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:11.878014,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:12.939300,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:14.007287,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:15.076796,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
06-01-2023 10:13:16.234155,"(10.0, 44.0, 31.5)","(13.0, 70.0, 62.6875)","(8.5, 38.0, 28.4375)","(10.0, 42.0, 30.214285714285715)","(7.5, 28.0, 22.0)","(3.0, 7.0, 3.950344827586207)","(2.35, 5.3, 3.4126666666666665)","(31.0, 410.0, 251.25)"
