,Somebodys Girl,Wongalea Meg,Glenrock,Jilliby Jive,Sarah Jo,Ideal Heaven,Full Of Wisdom,Freskos Art,Miss Hermes,Zoshady
09-01-2023 12:42:17.870387,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:19.046196,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:20.260023,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:21.530294,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:22.756318,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:24.054321,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:25.296812,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:26.492597,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:27.763000,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:28.964985,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:30.195266,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:31.482397,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:32.720386,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:34.023615,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:35.257029,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:36.471114,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:37.687402,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:38.885463,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:40.080973,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:41.356842,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:42.635943,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:43.896969,"(8.5, 20.0, 13.8)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:45.169997,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:46.362029,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:47.547953,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:48.749661,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:49.924809,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:51.116269,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:52.312825,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:53.580273,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 55.57142857142857)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:54.830484,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:56.119343,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:57.307004,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:58.528853,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:42:59.680379,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:00.833180,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:02.007759,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:03.214427,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:04.464958,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:05.720431,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:06.962742,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:08.199048,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:09.415978,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:10.629042,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:11.832790,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:13.016911,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:14.224351,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:15.423853,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
09-01-2023 12:43:16.622378,"(8.5, 20.0, 15.04)","(14.0, 30.0, 18.333333333333332)","(51.0, 220.0, 170.28571428571428)","(10.0, 19.5, 15.059999999999999)","(21.0, 70.0, 40.541666666666664)","(6.0, 10.0, 8.914285714285715)","(21.0, 99999, 99990)","(1.75, 2.62, 2.3200000000000003)","(5.5, 13.0, 10.866666666666667)","(61.0, 220.0, 172.85714285714286)"
