,Antarctic Ocean,Ashim,Shalaga,Beagle,Coastal Town,Belthil,Rich Memories,Trust Rusty,Rock Dee Jay,Navy Black,Pammy Joy,Pistachio,Tonys Kick
06-01-2023 15:01:24.918237,"(16.0, 18.5, 18.181818181818183)","(8.5, 9.6, 9.442857142857143)","(8.0, 9.4, 9.361073825503356)","(11.0, 12.5, 12.258333333333333)","(6.5, 7.6, 7.570845481049562)","(5.5, 6.2, 6.164410480349345)","(41.0, 55.0, 54.178082191780824)","(11.0, 13.0, 12.805555555555555)","(10.0, 11.5, 11.152173913043478)","(26.0, 34.0, 33.45)","(20.0, 26.0, 25.555555555555557)","(10.0, 11.0, 10.883802816901408)","(101.0, 340.0, 304.44444444444446)"
06-01-2023 15:01:26.544436,"(16.0, 18.5, 18.198924731182796)","(8.5, 9.6, 9.439583333333333)","(8.0, 9.4, 9.363291139240506)","(11.0, 12.5, 12.261806981519507)","(6.5, 7.6, 7.5717514124293785)","(5.5, 6.2, 6.165695792880259)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.17479674796748)","(26.0, 34.0, 33.476190476190474)","(20.0, 26.0, 25.21875)","(10.0, 11.0, 10.890728476821192)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:28.091826,"(16.0, 18.5, 18.198924731182796)","(8.0, 9.6, 9.439583333333333)","(8.0, 9.4, 9.362091503267974)","(11.0, 12.5, 12.261806981519507)","(6.5, 7.6, 7.5717514124293785)","(5.5, 6.2, 6.165695792880259)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.17479674796748)","(26.0, 34.0, 33.61904761904762)","(20.0, 26.0, 25.342105263157894)","(10.0, 11.0, 10.945652173913043)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:29.656808,"(16.0, 18.5, 18.192307692307693)","(8.0, 9.4, 9.336708860759494)","(8.0, 9.4, 9.362091503267974)","(11.0, 12.5, 12.261806981519507)","(6.5, 7.6, 7.5717514124293785)","(5.5, 6.2, 6.167138193688793)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.17479674796748)","(26.0, 34.0, 33.61904761904762)","(20.0, 26.0, 25.342105263157894)","(10.0, 11.0, 11.175862068965518)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:31.915467,"(16.0, 18.5, 18.192307692307693)","(8.0, 9.4, 9.336708860759494)","(8.0, 9.4, 9.362091503267974)","(11.0, 12.5, 12.279411764705882)","(6.5, 7.6, 7.570501474926253)","(5.5, 6.2, 6.167066521264995)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.17479674796748)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 25.342105263157894)","(10.0, 11.0, 10.813664596273291)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:33.905206,"(16.0, 18.5, 18.192307692307693)","(8.0, 9.4, 9.331506849315069)","(8.0, 9.4, 9.34335260115607)","(11.0, 12.5, 12.26027397260274)","(6.5, 7.6, 7.570501474926253)","(5.5, 6.2, 6.167066521264995)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.183760683760683)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 25.342105263157894)","(10.0, 11.0, 10.802395209580839)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:35.858250,"(16.0, 18.5, 18.192307692307693)","(8.0, 9.4, 9.331506849315069)","(8.0, 9.4, 9.34335260115607)","(11.0, 12.5, 12.26551724137931)","(6.5, 7.6, 7.568553459119497)","(5.5, 6.2, 6.165952649379933)","(41.0, 55.0, 54.2)","(11.0, 13.0, 12.814569536423841)","(10.0, 11.5, 11.183760683760683)","(26.0, 34.0, 33.567567567567565)","(19.0, 26.0, 25.242424242424242)","(9.0, 11.0, 10.798780487804878)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:37.521837,"(16.0, 18.5, 18.208333333333332)","(8.5, 9.4, 9.331506849315069)","(8.0, 9.4, 9.3645390070922)","(11.0, 12.5, 12.26551724137931)","(6.5, 7.6, 7.568354430379746)","(5.5, 6.2, 6.1665909090909095)","(41.0, 55.0, 52.5)","(11.0, 13.0, 12.87109375)","(10.0, 11.5, 11.183760683760683)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 25.242424242424242)","(9.0, 11.0, 10.798780487804878)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:39.156177,"(16.0, 18.5, 18.208333333333332)","(8.5, 9.4, 9.331506849315069)","(8.0, 9.4, 9.34421768707483)","(11.0, 12.5, 12.26551724137931)","(6.5, 7.6, 7.568354430379746)","(5.5, 6.2, 6.1665909090909095)","(41.0, 55.0, 52.5)","(11.0, 13.0, 12.8125)","(10.0, 11.5, 11.183760683760683)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 25.242424242424242)","(9.0, 11.0, 10.804347826086957)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:40.692088,"(16.0, 18.5, 18.208333333333332)","(8.5, 9.4, 9.261016949152543)","(8.0, 9.4, 9.33109243697479)","(11.0, 12.5, 12.279859484777518)","(6.5, 7.6, 7.539393939393939)","(5.5, 6.2, 6.166476624857469)","(41.0, 55.0, 52.5)","(11.0, 13.0, 12.869047619047619)","(10.0, 11.5, 11.20873786407767)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 25.242424242424242)","(9.0, 11.0, 10.927835051546392)","(101.0, 340.0, 306.3157894736842)"
06-01-2023 15:01:42.339670,"(16.0, 18.5, 18.192307692307693)","(8.5, 9.4, 9.23934426229508)","(8.0, 9.4, 9.33109243697479)","(11.0, 12.5, 12.279859484777518)","(6.5, 7.6, 7.539393939393939)","(5.5, 6.2, 6.166476624857469)","(41.0, 55.0, 52.5)","(11.0, 13.0, 12.869047619047619)","(10.0, 11.5, 11.20873786407767)","(26.0, 34.0, 33.567567567567565)","(20.0, 26.0, 24.6734693877551)","(9.0, 11.0, 10.805147058823529)","(101.0, 340.0, 295.2)"
06-01-2023 15:01:43.927814,"(16.0, 18.5, 18.166666666666668)","(8.5, 9.4, 9.233333333333333)","(8.0, 9.4, 9.3359375)","(11.0, 12.5, 12.274580335731414)","(6.5, 7.6, 7.418823529411765)","(5.5, 6.2, 6.165774155995344)","(41.0, 55.0, 52.4)","(11.0, 13.0, 12.860169491525424)","(10.0, 11.5, 11.17741935483871)","(26.0, 34.0, 33.567567567567565)","(20.0, 25.0, 24.6734693877551)","(9.0, 11.0, 10.894736842105264)","(101.0, 340.0, 291.30434782608694)"
06-01-2023 15:01:45.645552,"(16.0, 18.5, 18.166666666666668)","(8.5, 9.4, 9.263636363636364)","(8.0, 9.4, 9.34014598540146)","(11.0, 12.5, 12.278823529411765)","(6.5, 7.6, 7.553333333333333)","(5.5, 6.2, 6.166284403669725)","(41.0, 55.0, 52.17391304347826)","(11.0, 13.0, 12.868)","(10.0, 11.5, 11.2)","(26.0, 34.0, 33.23809523809524)","(20.0, 25.0, 24.69811320754717)","(9.0, 11.0, 10.945945945945946)","(101.0, 340.0, 291.30434782608694)"
06-01-2023 15:01:47.272652,"(16.0, 18.5, 18.181818181818183)","(8.5, 9.4, 9.263636363636364)","(8.0, 9.4, 9.34014598540146)","(11.0, 12.5, 12.278823529411765)","(6.5, 7.6, 7.553333333333333)","(5.5, 6.2, 6.166284403669725)","(41.0, 55.0, 52.17391304347826)","(11.0, 13.0, 12.8625)","(10.0, 11.5, 11.2)","(26.0, 34.0, 33.130434782608695)","(20.0, 25.0, 24.65714285714286)","(9.0, 11.0, 10.945945945945946)","(101.0, 340.0, 291.30434782608694)"
06-01-2023 15:01:48.736398,"(16.0, 18.5, 18.103960396039604)","(8.5, 9.4, 9.263636363636364)","(8.0, 9.4, 9.34014598540146)","(11.0, 12.5, 12.278823529411765)","(6.5, 7.6, 7.530496453900709)","(5.5, 6.2, 6.285623003194888)","(41.0, 55.0, 52.17391304347826)","(11.0, 13.0, 12.8625)","(10.0, 11.5, 11.165289256198347)","(26.0, 34.0, 33.130434782608695)","(20.0, 25.0, 23.776315789473685)","(9.0, 11.0, 10.811111111111112)","(101.0, 340.0, 285.45454545454544)"
06-01-2023 15:01:50.198103,"(16.0, 18.5, 18.142857142857142)","(8.5, 9.4, 9.263636363636364)","(8.0, 9.4, 9.344594594594595)","(11.0, 12.5, 12.259174311926605)","(6.5, 7.6, 7.530496453900709)","(5.5, 6.4, 6.285623003194888)","(41.0, 55.0, 52.17391304347826)","(11.0, 13.0, 12.457186544342507)","(10.0, 11.5, 11.18018018018018)","(26.0, 34.0, 33.285714285714285)","(20.0, 24.0, 24.142857142857142)","(9.0, 11.0, 10.795774647887324)","(101.0, 340.0, 285.45454545454544)"
06-01-2023 15:01:51.828333,"(16.0, 18.5, 18.142857142857142)","(8.5, 9.4, 9.28235294117647)","(8.0, 9.4, 9.344594594594595)","(11.0, 12.5, 12.254672897196262)","(6.5, 7.6, 7.531428571428571)","(5.5, 6.4, 6.285623003194888)","(41.0, 55.0, 52.17391304347826)","(11.0, 12.5, 12.458702064896755)","(10.0, 11.5, 11.18018018018018)","(26.0, 34.0, 33.285714285714285)","(20.0, 25.0, 24.454545454545453)","(9.0, 11.0, 10.795774647887324)","(101.0, 340.0, 285.45454545454544)"
06-01-2023 15:01:53.494855,"(16.0, 18.5, 18.142857142857142)","(8.5, 9.2, 9.091891891891892)","(8.0, 9.4, 9.474509803921569)","(11.0, 12.5, 12.254672897196262)","(6.5, 7.6, 7.395744680851064)","(5.5, 6.4, 6.282622950819673)","(41.0, 55.0, 50.21052631578947)","(11.0, 12.5, 12.9082774049217)","(10.0, 11.5, 11.177272727272728)","(26.0, 34.0, 33.285714285714285)","(20.0, 25.0, 24.333333333333332)","(9.0, 11.0, 10.795774647887324)","(101.0, 340.0, 285.45454545454544)"
06-01-2023 15:01:55.160178,"(16.0, 18.5, 18.1)","(8.5, 9.2, 8.889447236180905)","(8.0, 9.6, 9.479279279279279)","(11.0, 12.5, 12.11111111111111)","(6.5, 7.4, 7.507692307692308)","(5.5, 6.4, 6.3075409836065575)","(41.0, 55.0, 51.1764705882353)","(11.0, 13.0, 12.766666666666667)","(10.0, 11.5, 11.616666666666667)","(26.0, 34.0, 32.94736842105263)","(20.0, 25.0, 24.666666666666668)","(9.0, 11.0, 10.911764705882353)","(101.0, 340.0, 286.6666666666667)"
06-01-2023 15:01:56.802889,"(16.0, 18.5, 18.1)","(8.0, 9.0, 8.715671641791046)","(8.0, 9.6, 9.468627450980392)","(11.0, 12.5, 12.225903614457831)","(6.5, 7.6, 7.536842105263158)","(5.5, 6.4, 6.305050505050505)","(41.0, 55.0, 49.714285714285715)","(11.0, 13.0, 12.73360655737705)","(10.0, 12.0, 11.265384615384615)","(26.0, 34.0, 32.94736842105263)","(20.0, 25.0, 24.82758620689655)","(9.0, 11.0, 10.792)","(101.0, 340.0, 298.51851851851853)"
06-01-2023 15:01:58.429436,"(16.0, 18.5, 18.06)","(8.0, 8.8, 8.712727272727273)","(8.0, 9.6, 9.671830985915493)","(11.0, 12.5, 12.225903614457831)","(6.5, 7.6, 7.508387096774194)","(5.5, 6.4, 6.308441558441559)","(41.0, 55.0, 49.714285714285715)","(11.0, 13.0, 12.73360655737705)","(10.0, 12.0, 11.636842105263158)","(26.0, 34.0, 32.94736842105263)","(20.0, 25.0, 24.871794871794872)","(9.0, 11.0, 10.716911764705882)","(101.0, 340.0, 298.51851851851853)"
06-01-2023 15:02:00.000710,"(16.0, 18.5, 18.06)","(8.0, 8.8, 8.028496042216359)","(8.0, 9.8, 9.887179487179488)","(11.0, 12.5, 12.24671052631579)","(6.5, 7.6, 7.5364238410596025)","(5.5, 6.4, 6.308441558441559)","(41.0, 55.0, 49.714285714285715)","(11.0, 13.0, 12.909883720930232)","(10.0, 12.0, 11.363157894736842)","(26.0, 34.0, 33.09090909090909)","(20.0, 25.0, 24.91891891891892)","(9.0, 11.0, 10.631578947368421)","(101.0, 340.0, 298.51851851851853)"
06-01-2023 15:02:01.617345,"(16.0, 18.5, 18.21794871794872)","(8.0, 8.2, 7.9245283018867925)","(8.0, 10.0, 10.195454545454545)","(11.0, 12.5, 12.297546012269938)","(6.5, 7.6, 7.540136054421769)","(5.5, 6.4, 6.319428571428571)","(41.0, 55.0, 50.595238095238095)","(11.0, 13.0, 13.024163568773234)","(10.0, 12.0, 11.493421052631579)","(26.0, 34.0, 33.4375)","(20.0, 26.0, 25.42622950819672)","(9.0, 11.0, 10.623188405797102)","(101.0, 340.0, 308.8888888888889)"
06-01-2023 15:02:03.405770,"(16.0, 18.5, 18.253731343283583)","(8.0, 8.0, 7.919753086419753)","(8.0, 10.5, 10.195454545454545)","(11.0, 12.5, 12.364661654135338)","(6.5, 7.8, 7.555725190839695)","(5.5, 6.4, 6.191040843214757)","(41.0, 55.0, 50.806451612903224)","(11.0, 13.5, 12.868421052631579)","(10.0, 11.5, 11.557017543859649)","(26.0, 36.0, 33.7037037037037)","(20.0, 26.0, 25.785714285714285)","(9.0, 11.0, 10.655737704918034)","(101.0, 350.0, 340.0)"
06-01-2023 15:02:05.165483,"(16.0, 18.5, 18.29375)","(8.0, 8.0, 7.75)","(8.0, 10.5, 10.199074074074074)","(11.0, 12.5, 12.490654205607477)","(6.5, 7.8, 7.557528957528958)","(5.5, 6.2, 6.281481481481482)","(41.0, 55.0, 52.0)","(11.0, 13.0, 12.848571428571429)","(10.0, 12.0, 11.364077669902912)","(26.0, 36.0, 33.7037037037037)","(20.0, 26.0, 25.916666666666668)","(8.5, 11.0, 10.636363636363637)","(101.0, 350.0, 340.0)"
06-01-2023 15:02:06.981264,"(16.0, 18.5, 18.61842105263158)","(8.0, 7.8, 8.266666666666666)","(8.0, 10.5, 11.791666666666666)","(11.0, 12.5, 12.490654205607477)","(6.5, 7.8, 7.557528957528958)","(5.5, 6.4, 6.330733944954129)","(41.0, 55.0, 51.470588235294116)","(11.0, 13.0, 12.547619047619047)","(10.0, 11.5, 11.466216216216216)","(26.0, 36.0, 33.785714285714285)","(20.0, 26.0, 25.916666666666668)","(8.5, 11.0, 10.641509433962264)","(101.0, 350.0, 332.0)"
06-01-2023 15:02:08.931494,"(16.0, 19.0, 26.304347826086953)","(8.0, 8.6, 7.933333333333334)","(8.0, 12.0, 16.608695652173914)","(11.0, 12.5, 13.777777777777779)","(6.5, 7.8, 9.076923076923077)","(5.5, 6.4, 5.909433962264151)","(41.0, 55.0, 32.05128205128205)","(11.0, 13.0, 16.4)","(10.0, 11.5, 13.125)","(26.0, 36.0, 37.0)","(20.0, 32.0, 26.0)","(8.5, 19.5, 14.833333333333334)","(101.0, 99999, 9645.107142857143)"
06-01-2023 15:02:10.560085,"(16.0, 28.0, 26.304347826086953)","(8.0, 9.4, 7.933333333333334)","(8.0, 17.0, 15.843137254901961)","(11.0, 18.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.4, 7.954545454545453)","(41.0, 34.0, 17.625)","(11.0, 20.0, 16.4)","(10.0, 15.0, 13.125)","(26.0, 48.0, 49.888888888888886)","(20.0, 32.0, 25.714285714285715)","(9.0, 19.5, 14.714285714285714)","(101.0, 99999, 957.8571428571429)"
06-01-2023 15:02:12.125617,"(16.0, 27.0, 26.428571428571427)","(8.0, 9.4, 11.977272727272727)","(8.0, 16.0, 16.807692307692307)","(11.0, 17.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.2, 7.954545454545453)","(41.0, 20.0, 17.666666666666668)","(11.0, 20.0, 17.857142857142858)","(10.0, 15.0, 13.125)","(26.0, 50.0, 63.785714285714285)","(20.0, 32.0, 25.714285714285715)","(9.0, 17.0, 14.714285714285714)","(101.0, 990.0, 9645.107142857143)"
06-01-2023 15:02:13.800950,"(16.0, 27.0, 17.684210526315788)","(8.0, 12.0, 8.64)","(8.0, 17.0, 12.2)","(11.0, 17.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.2, 7.954545454545453)","(41.0, 20.0, 15.6875)","(11.0, 19.0, 17.857142857142858)","(10.0, 15.0, 11.933333333333334)","(26.0, 65.0, 79.47368421052632)","(20.0, 32.0, 25.714285714285715)","(9.0, 17.0, 14.714285714285714)","(101.0, 990.0, 927.9310344827586)"
06-01-2023 15:02:15.375832,"(16.0, 18.0, 17.684210526315788)","(8.0, 12.0, 14.1)","(8.0, 17.0, 13.75)","(11.0, 17.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.2, 7.954545454545453)","(41.0, 18.5, 15.6875)","(11.0, 19.0, 17.857142857142858)","(10.0, 13.0, 8.98)","(26.0, 80.0, 62.0)","(20.0, 32.0, 25.714285714285715)","(9.0, 17.0, 14.714285714285714)","(101.0, 990.0, 882.0)"
06-01-2023 15:02:16.972039,"(16.0, 18.0, 17.684210526315788)","(8.0, 15.0, 14.052631578947368)","(8.0, 16.5, 11.0625)","(11.0, 17.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.2, 7.6187499999999995)","(41.0, 18.5, 13.80952380952381)","(11.0, 19.0, 18.6)","(10.0, 10.0, 12.413333333333334)","(26.0, 80.0, 85.0)","(20.0, 32.0, 25.714285714285715)","(9.0, 17.0, 14.714285714285714)","(101.0, 960.0, 837.1428571428571)"
06-01-2023 15:02:18.428330,"(16.0, 18.0, 17.684210526315788)","(8.0, 15.0, 14.052631578947368)","(8.0, 12.0, 11.009615384615385)","(11.0, 17.5, 16.0)","(6.5, 10.0, 9.076923076923077)","(5.5, 8.2, 7.6187499999999995)","(41.0, 14.0, 16.5)","(11.0, 19.0, 16.918181818181818)","(10.0, 12.5, 12.591752577319587)","(26.0, 100.0, 82.5)","(20.0, 32.0, 25.714285714285715)","(9.0, 17.0, 16.974137931034484)","(101.0, 960.0, 845.7142857142858)"
