,Hayley Shian,Waikarie Peg,Zihuatanejo,Henry Delatt,Lonely Tuna,Our Girl Siara,Long Way Out,Our Turn
08-01-2023 17:09:53.929978,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:55.048783,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:56.116854,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:57.246084,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:58.384811,"(4.0, 8.2, 5.238888888888889)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.235294117647058)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:09:59.537915,"(4.0, 8.2, 7.154901960784313)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.904761904761905)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:00.712160,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.550000000000001)","(9.0, 19.5, 16.904761904761905)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:01.827628,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.559375)","(9.0, 19.5, 16.904761904761905)","(31.0, 110.0, 52.14285714285714)","(31.0, 100.0, 49.285714285714285)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:02.973570,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:04.158402,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:05.235130,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:06.316726,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:07.410066,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:08.511115,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:09.651448,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:10.813662,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:11.959767,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:13.132691,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:14.259583,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:15.331986,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:16.424056,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:17.647964,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:18.812258,"(4.0, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:19.993460,"(4.0, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:21.218659,"(4.0, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:22.481475,"(4.0, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:23.648140,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:24.764335,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:25.879530,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:26.997315,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:28.178079,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:29.357772,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 110.0, 63.714285714285715)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:30.533968,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:31.632199,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:32.660583,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:33.647426,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:34.736574,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:35.762646,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:36.812467,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:37.922086,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:39.075930,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 6.475)","(9.0, 19.0, 13.9)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:40.206880,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:41.307079,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:42.365610,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 13.9)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:43.459386,"(4.2, 8.2, 6.998913043478261)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:44.604557,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:45.795800,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:47.003602,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:48.129183,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:49.264588,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:50.342576,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:51.504918,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:52.718280,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:53.907399,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:55.112344,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4)"
08-01-2023 17:10:56.267830,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 50.54545454545455)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 6.930232558139535)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:10:57.439147,"(4.2, 8.2, 6.763157894736842)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 59.42857142857143)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:10:58.559022,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 100.0, 73.18181818181819)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:10:59.697497,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 73.18181818181819)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:00.847758,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 73.18181818181819)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:02.018215,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 73.18181818181819)","(31.0, 100.0, 39.14285714285714)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:03.239433,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 58.75)","(31.0, 100.0, 43.0)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:04.474947,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 50.36363636363636)","(31.0, 100.0, 43.0)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:05.726016,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 50.36363636363636)","(31.0, 100.0, 43.0)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:06.875669,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 50.36363636363636)","(31.0, 100.0, 43.0)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:08.043278,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 50.36363636363636)","(31.0, 100.0, 43.0)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:09.146682,"(4.2, 8.2, 6.986666666666666)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 17.38947368421053)","(31.0, 110.0, 50.36363636363636)","(31.0, 100.0, 47.05882352941177)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 19.48)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:10.530727,"(4.2, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.0, 16.52777777777778)","(31.0, 110.0, 51.42857142857143)","(31.0, 100.0, 43.2)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:11.851641,"(4.2, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.5, 16.904761904761905)","(31.0, 110.0, 51.42857142857143)","(31.0, 100.0, 43.2)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:13.149050,"(4.2, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.5, 16.904761904761905)","(31.0, 110.0, 51.42857142857143)","(31.0, 100.0, 43.2)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:14.402653,"(4.2, 8.2, 7.041304347826086)","(5.5, 10.0, 9.58529411764706)","(9.0, 19.5, 10.083333333333332)","(31.0, 110.0, 51.42857142857143)","(31.0, 100.0, 43.2)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4954545454545456)"
08-01-2023 17:11:15.594981,"(4.2, 8.2, 7.041304347826086)","(5.5, 10.0, 6.475)","(9.0, 19.5, 10.083333333333332)","(31.0, 110.0, 51.42857142857143)","(31.0, 100.0, 43.2)","(4.6, 8.2, 5.666666666666666)","(10.0, 22.0, 21.015384615384615)","(2.4, 4.0, 3.4954545454545456)"
