,Rothwell Boy,My Bro Jill,Wild Jewel,Pyrenees Chateau,Wild Storms,Cruisy Magic,Bourne Supremacy,Skipper Jack
16-12-2022 13:59:18.144965,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:19.266016,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:20.387309,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:21.500494,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:22.654375,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:23.818074,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:24.917892,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:25.919203,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:26.964730,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:28.041546,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 209.23076923076923)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:29.138125,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:30.167393,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:31.293470,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:32.496023,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:33.616731,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:34.688200,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:35.791368,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:36.839895,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 128.8235294117647)","(31.0, 320.0, 210.0)","(41.0, 310.0, 106.0)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 13.3)"
16-12-2022 13:59:37.988929,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 44.375)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:39.200042,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:40.376172,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:41.567299,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:42.631147,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:43.658099,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:44.644619,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:45.644051,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:46.696291,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:47.747308,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:48.841983,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:49.834094,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:50.943830,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:52.027870,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:53.180326,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:54.274109,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:55.387355,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:56.497483,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:57.686957,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:58.780094,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 13:59:59.833869,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:01.009490,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:02.130489,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:03.234896,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:04.249887,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:05.302326,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
16-12-2022 14:00:06.327713,"(2.5, 4.2, 3.125581395348837)","(2.7, 3.75, 2.7375000000000003)","(21.0, 85.0, 52.25)","(31.0, 240.0, 135.0)","(31.0, 320.0, 177.0)","(41.0, 310.0, 195.83333333333331)","(3.6, 6.6, 4.145833333333333)","(6.5, 19.0, 16.23809523809524)"
