,Vidris Bale,Scarlett Express,Malibu Bale,She Devil,Riverdale Bud,Judys Redeemer,Tiggerlong Egg
10-01-2023 14:23:04.167076,"(3.6, 8.0, 5.800000000000001)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:23:05.568748,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 163.7)","(3.0, 4.1, 3.1885714285714286)","(5.0, 9.0, 6.3999999999999995)"
10-01-2023 14:23:07.103962,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 109.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.828571428571429)"
10-01-2023 14:23:08.701585,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 5.720000000000001)"
10-01-2023 14:23:10.119943,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.04)"
10-01-2023 14:23:11.375845,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 7.15)"
10-01-2023 14:23:12.529350,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:13.740546,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:15.052154,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:16.347432,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
