,On The Fence,Just Too Fancy,Kiah Beach,Iron Lad,More Sensation,Malis Gonzales,Saint Bluey
16-12-2022 13:09:15.728636,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:16.655023,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:17.692713,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:18.714750,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:19.609538,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.8125)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:20.637594,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:21.737402,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:22.742117,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:23.735388,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:24.693078,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:25.680674,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:26.665021,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:27.803997,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:28.858747,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:29.847792,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:30.882509,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:31.959419,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:32.956664,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:33.941577,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:34.962543,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:35.921397,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:36.902730,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:37.955615,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:38.963183,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:39.920785,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:40.934438,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:41.960863,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 12.1)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:43.016718,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.5, 13.475)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:44.082585,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.0, 13.475)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:45.203504,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.0, 13.475)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:46.306242,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.0, 13.475)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:47.293234,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 21.166666666666664)","(8.0, 17.0, 13.475)","(5.5, 10.0, 8.16)","(20.0, 70.0, 37.8125)"
16-12-2022 13:09:48.404900,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 12.399999999999999)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:49.554461,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 12.399999999999999)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:50.598255,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 12.399999999999999)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:51.667932,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 12.399999999999999)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:52.775120,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 12.399999999999999)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:53.786421,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:54.846454,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:55.977082,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:57.147676,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:58.252659,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:09:59.326752,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:00.375934,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:01.481768,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:02.618511,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:03.780739,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 19.0)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:04.922756,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 18.07142857142857)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:06.005802,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 18.07142857142857)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:07.114240,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 18.07142857142857)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:08.215036,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 18.07142857142857)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
16-12-2022 13:10:09.332155,"(6.0, 13.0, 8.942857142857143)","(5.5, 9.0, 8.309090909090909)","(1.9, 2.64, 1.9826086956521738)","(14.0, 32.0, 18.07142857142857)","(8.0, 17.0, 9.95)","(5.5, 10.0, 8.16)","(20.0, 70.0, 32.54545454545455)"
