,Missczech,Curlin Blessing,Taking Charge Desi,Kynlies Empire,Tiz A Macho Girl,Joy In The Battle,Miss Hard Knocks,Lucy K
10-01-2023 08:01:46.315761,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.0)","(31.0, 90.0, 78.5)","(26.0, 90.0, 73.33333333333333)","(2.6, 3.05, 3.0002347417840376)","(4.4, 5.1, 5.0343478260869565)","(2.6, 3.1, 3.052657004830918)","(26.0, 180.0, 110.0)"
10-01-2023 08:01:47.284711,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.0)","(31.0, 90.0, 68.0)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.05, 3.0002347417840376)","(4.4, 5.1, 5.0343478260869565)","(2.6, 3.1, 3.052657004830918)","(26.0, 170.0, 138.33333333333334)"
10-01-2023 08:01:48.345681,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.05, 3.0002347417840376)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.05, 3.036)","(26.0, 170.0, 126.81818181818181)"
10-01-2023 08:01:49.475417,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.05, 2.993358778625954)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.05, 3.004390243902439)","(26.0, 170.0, 145.83333333333331)"
10-01-2023 08:01:50.485598,"(11.0, 14.0, 13.6875)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9865573770491802)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.1, 3.004390243902439)","(26.0, 160.0, 145.83333333333331)"
10-01-2023 08:01:51.556474,"(11.0, 14.0, 13.78125)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9865573770491802)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.1, 3.004390243902439)","(26.0, 160.0, 87.14285714285714)"
10-01-2023 08:01:52.525845,"(11.0, 14.0, 13.825)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9850909090909092)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.1, 3.004390243902439)","(26.0, 160.0, 87.14285714285714)"
10-01-2023 08:01:53.529506,"(11.0, 14.0, 13.825)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9857391304347827)","(4.4, 5.1, 5.045930232558139)","(2.6, 3.1, 3.004390243902439)","(26.0, 160.0, 87.14285714285714)"
10-01-2023 08:01:54.532105,"(11.0, 14.0, 13.825)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9857391304347827)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.1, 3.004390243902439)","(26.0, 160.0, 84.28571428571429)"
10-01-2023 08:01:55.535094,"(11.0, 14.0, 13.866666666666667)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9857391304347827)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.1, 3.004390243902439)","(26.0, 140.0, 84.28571428571429)"
10-01-2023 08:01:56.556044,"(11.0, 14.0, 13.866666666666667)","(16.0, 32.0, 31.4)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9857391304347827)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.1, 3.0048)","(26.0, 140.0, 88.75)"
10-01-2023 08:01:57.570288,"(11.0, 14.5, 14.11111111111111)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9879245283018867)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.1, 3.043956043956044)","(26.0, 130.0, 90.0)"
10-01-2023 08:01:58.577518,"(11.0, 14.5, 14.023809523809524)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9879245283018867)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.05, 3.043956043956044)","(26.0, 120.0, 84.0)"
10-01-2023 08:01:59.557243,"(11.0, 14.5, 14.023809523809524)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.9879245283018867)","(4.4, 5.1, 5.045142857142857)","(2.6, 3.05, 3.043956043956044)","(26.0, 120.0, 92.5)"
10-01-2023 08:02:00.586942,"(11.0, 14.5, 14.023809523809524)","(16.0, 32.0, 31.0)","(31.0, 90.0, 77.42857142857143)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.989375)","(4.4, 5.1, 5.045762711864406)","(2.6, 3.05, 3.022340425531915)","(26.0, 110.0, 92.5)"
10-01-2023 08:02:01.611510,"(11.0, 13.5, 13.01558073654391)","(16.0, 32.0, 31.0)","(31.0, 90.0, 79.0)","(26.0, 90.0, 69.16666666666667)","(2.6, 3.0, 2.989375)","(4.4, 5.1, 5.045762711864406)","(2.6, 3.05, 3.0428571428571427)","(26.0, 110.0, 102.0)"
10-01-2023 08:02:02.644478,"(11.0, 13.5, 12.603626943005182)","(16.0, 32.0, 30.666666666666668)","(31.0, 90.0, 75.33333333333333)","(21.0, 90.0, 69.16666666666667)","(2.7, 3.0, 2.984468085106383)","(4.0, 5.1, 5.123780487804877)","(2.6, 3.05, 3.02027027027027)","(21.0, 110.0, 85.0)"
10-01-2023 08:02:03.704359,"(11.0, 14.0, 13.272727272727273)","(16.0, 34.0, 32.666666666666664)","(31.0, 95.0, 85.2)","(21.0, 90.0, 69.16666666666667)","(2.7, 3.05, 3.0066929133858267)","(4.0, 5.2, 5.148520710059171)","(2.6, 3.05, 3.013541666666667)","(21.0, 110.0, 72.5)"
10-01-2023 08:02:04.714160,"(11.0, 13.5, 13.115384615384615)","(16.0, 32.0, 30.4)","(31.0, 95.0, 83.25)","(21.0, 110.0, 107.22222222222223)","(2.7, 3.05, 2.9893700787401576)","(4.0, 5.3, 5.148520710059171)","(2.6, 3.05, 3.013541666666667)","(21.0, 110.0, 90.76923076923077)"
10-01-2023 08:02:05.710080,"(11.0, 13.5, 13.115384615384615)","(16.0, 30.0, 29.833333333333332)","(31.0, 95.0, 83.25)","(21.0, 110.0, 107.22222222222223)","(2.7, 3.0, 2.991627906976744)","(4.0, 5.4, 5.278048780487805)","(2.6, 3.0, 2.96)","(21.0, 110.0, 90.76923076923077)"
10-01-2023 08:02:06.690052,"(11.0, 13.5, 13.083333333333334)","(16.0, 32.0, 30.5)","(31.0, 95.0, 83.25)","(31.0, 110.0, 107.22222222222223)","(2.6, 3.0, 2.992359550561798)","(4.4, 5.5, 5.430555555555555)","(2.6, 2.98, 2.9744)","(26.0, 110.0, 85.0)"
10-01-2023 08:02:07.657097,"(11.0, 13.5, 13.205882352941176)","(16.0, 32.0, 30.071428571428573)","(31.0, 95.0, 83.75)","(31.0, 110.0, 107.22222222222223)","(2.6, 3.0, 2.9972602739726026)","(4.4, 5.6, 5.473333333333334)","(2.6, 2.98, 2.9744)","(26.0, 110.0, 85.0)"
10-01-2023 08:02:08.627529,"(11.0, 13.5, 13.205882352941176)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 110.0, 107.22222222222223)","(2.6, 3.0, 2.9927272727272727)","(4.4, 5.6, 5.466666666666667)","(2.6, 2.98, 2.9722222222222223)","(26.0, 110.0, 92.6923076923077)"
10-01-2023 08:02:09.744159,"(11.0, 13.5, 13.205882352941176)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 110.0, 107.22222222222223)","(2.6, 3.0, 2.994285714285714)","(4.4, 5.6, 5.58235294117647)","(2.6, 2.98, 2.9857142857142858)","(26.0, 110.0, 92.6923076923077)"
10-01-2023 08:02:10.745522,"(11.0, 13.5, 13.214285714285714)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 110.0, 107.22222222222223)","(2.6, 3.0, 2.995)","(4.4, 5.6, 5.574999999999999)","(2.6, 3.05, 2.9899999999999998)","(26.0, 110.0, 84.28571428571428)"
10-01-2023 08:02:11.752976,"(11.0, 13.5, 13.214285714285714)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 110.0, 100.0)","(2.6, 3.0, 2.995)","(4.4, 5.6, 5.574999999999999)","(2.6, 3.05, 2.9814634146341463)","(26.0, 110.0, 84.28571428571428)"
10-01-2023 08:02:12.762634,"(11.0, 13.5, 13.2)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 110.0, 106.66666666666667)","(2.6, 3.05, 2.9836842105263157)","(4.4, 5.6, 5.574999999999999)","(2.6, 3.0, 2.9392)","(26.0, 110.0, 73.75)"
10-01-2023 08:02:13.752192,"(11.0, 13.5, 13.2)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 130.0, 123.33333333333334)","(2.6, 3.05, 2.98588785046729)","(4.4, 5.6, 5.574999999999999)","(2.6, 3.0, 2.9408695652173913)","(26.0, 100.0, 74.54545454545455)"
10-01-2023 08:02:14.779560,"(11.0, 13.5, 13.2)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 130.0, 123.33333333333334)","(2.6, 3.05, 2.98588785046729)","(4.4, 5.6, 5.574999999999999)","(2.6, 3.0, 2.9408695652173913)","(26.0, 100.0, 83.0)"
10-01-2023 08:02:15.803219,"(11.0, 13.5, 13.2)","(16.0, 32.0, 30.071428571428573)","(31.0, 90.0, 74.0)","(31.0, 130.0, 123.33333333333334)","(2.6, 3.05, 2.983398058252427)","(4.4, 5.8, 5.5574468085106385)","(2.6, 3.0, 2.9408695652173913)","(26.0, 95.0, 83.0)"
10-01-2023 08:02:16.810837,"(11.0, 13.5, 13.226415094339623)","(16.0, 32.0, 29.9375)","(31.0, 90.0, 66.66666666666667)","(31.0, 130.0, 112.5)","(2.6, 3.05, 2.9949586776859505)","(4.4, 5.7, 5.6433333333333335)","(2.6, 2.98, 2.96)","(26.0, 95.0, 76.25)"
10-01-2023 08:02:17.789157,"(11.0, 13.5, 13.210526315789474)","(16.0, 32.0, 29.9375)","(31.0, 90.0, 80.0)","(31.0, 130.0, 125.0)","(2.6, 3.05, 3.005526315789474)","(4.4, 5.8, 5.616149068322981)","(2.6, 2.98, 2.957333333333333)","(26.0, 95.0, 76.25)"
10-01-2023 08:02:18.833960,"(11.0, 13.5, 13.210526315789474)","(16.0, 32.0, 29.9375)","(31.0, 90.0, 80.0)","(31.0, 130.0, 118.33333333333333)","(2.6, 3.05, 2.995121951219512)","(4.4, 5.8, 5.616455696202531)","(2.6, 2.96, 2.9435294117647057)","(26.0, 95.0, 83.75)"
10-01-2023 08:02:19.881034,"(11.0, 13.5, 13.214285714285714)","(16.0, 32.0, 29.9375)","(31.0, 85.0, 80.0)","(31.0, 130.0, 118.33333333333333)","(2.6, 3.0, 3.0022983870967743)","(4.4, 5.8, 5.616455696202531)","(2.6, 2.96, 2.9435294117647057)","(26.0, 90.0, 76.25)"
10-01-2023 08:02:20.851621,"(11.0, 14.0, 13.657894736842104)","(16.0, 32.0, 29.9375)","(31.0, 85.0, 80.0)","(31.0, 130.0, 118.33333333333333)","(2.6, 3.05, 3.0022983870967743)","(4.4, 5.8, 5.616455696202531)","(2.6, 2.96, 2.9654545454545453)","(26.0, 95.0, 80.0)"
10-01-2023 08:02:21.884210,"(11.0, 14.0, 13.444444444444445)","(16.0, 32.0, 29.9375)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 118.33333333333333)","(2.6, 3.0, 2.9966315789473685)","(4.4, 5.7, 5.728571428571429)","(2.6, 3.0, 2.9748571428571426)","(26.0, 85.0, 62.5)"
10-01-2023 08:02:22.901666,"(11.0, 13.5, 13.413793103448276)","(16.0, 32.0, 27.416666666666668)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 3.0, 2.98)","(4.4, 5.9, 5.721875)","(2.6, 3.0, 2.9748571428571426)","(26.0, 75.0, 64.0)"
10-01-2023 08:02:23.917924,"(11.0, 13.5, 13.375)","(16.0, 32.0, 28.5625)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9760975609756097)","(4.4, 5.9, 5.714705882352941)","(2.6, 3.0, 2.9748571428571426)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:25.031414,"(11.0, 14.0, 13.55)","(16.0, 32.0, 28.5625)","(31.0, 95.0, 83.57142857142857)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9760975609756097)","(4.4, 5.9, 5.714705882352941)","(2.6, 3.0, 2.982608695652174)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:26.070125,"(11.0, 14.0, 13.55)","(16.0, 32.0, 28.5625)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9760975609756097)","(4.4, 5.9, 5.76875)","(2.6, 3.0, 2.9785714285714286)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:27.061358,"(11.0, 14.0, 13.535714285714286)","(16.0, 32.0, 28.5625)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9760975609756097)","(4.4, 5.9, 5.76875)","(2.6, 3.0, 2.982608695652174)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:28.016034,"(11.0, 14.0, 13.535714285714286)","(16.0, 32.0, 28.5625)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9695652173913043)","(4.4, 5.9, 5.741666666666667)","(2.6, 3.0, 2.982608695652174)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:28.976464,"(11.0, 14.0, 13.535714285714286)","(16.0, 32.0, 28.5625)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.98, 2.9695652173913043)","(4.4, 5.9, 5.721875)","(2.6, 3.0, 2.9699999999999998)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:29.923879,"(11.0, 14.0, 13.535714285714286)","(16.0, 29.0, 28.0)","(31.0, 90.0, 84.16666666666666)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.96, 2.9506666666666668)","(4.4, 5.9, 5.703448275862069)","(2.6, 2.98, 2.9676923076923076)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:30.909815,"(11.0, 14.0, 13.685714285714285)","(16.0, 29.0, 28.2)","(31.0, 95.0, 88.33333333333334)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.96, 2.9405263157894734)","(4.4, 5.9, 5.768965517241379)","(2.6, 2.98, 2.9676923076923076)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:31.919021,"(11.0, 14.0, 13.685714285714285)","(16.0, 29.0, 28.2)","(31.0, 95.0, 85.0)","(31.0, 130.0, 124.16666666666666)","(2.6, 2.96, 2.9405263157894734)","(4.4, 5.9, 5.790909090909091)","(2.6, 2.98, 2.9146564885496185)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:33.024896,"(11.0, 13.5, 13.357142857142858)","(16.0, 29.0, 28.2)","(31.0, 95.0, 85.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9263636363636363)","(4.4, 5.9, 5.894736842105263)","(2.6, 2.96, 2.9146564885496185)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:34.136944,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 95.0, 85.0)","(31.0, 130.0, 123.0)","(2.6, 2.94, 2.9419310344827587)","(4.4, 6.0, 5.836)","(2.6, 2.96, 2.9172413793103447)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:35.254047,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 95.0, 85.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9444604316546763)","(4.4, 5.9, 5.836)","(2.6, 2.92, 2.9172413793103447)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:36.261965,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 100.0, 86.66666666666667)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9438271604938273)","(4.4, 5.9, 5.836)","(2.6, 2.92, 2.912)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:37.311326,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 100.0, 93.33333333333334)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.943734939759036)","(4.4, 5.9, 5.836)","(2.6, 2.96, 2.9235555555555557)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:38.445863,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 100.0, 90.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.943734939759036)","(4.4, 5.9, 5.847368421052632)","(2.6, 2.96, 2.9235555555555557)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:39.538248,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 100.0, 90.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.943734939759036)","(4.4, 5.9, 5.8375)","(2.6, 2.96, 2.9235555555555557)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:40.551099,"(11.0, 13.5, 13.28125)","(16.0, 29.0, 28.2)","(31.0, 100.0, 90.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9305142857142856)","(4.4, 5.9, 5.86923076923077)","(2.6, 2.96, 2.8615999999999997)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:41.523956,"(11.0, 13.5, 13.3)","(16.0, 29.0, 28.25)","(31.0, 100.0, 90.0)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9305142857142856)","(4.4, 5.9, 5.88)","(2.6, 2.96, 2.9)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:42.513849,"(11.0, 14.0, 13.846153846153847)","(16.0, 29.0, 28.25)","(31.0, 100.0, 88.33333333333333)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9426548672566373)","(4.4, 5.9, 5.88)","(2.6, 2.92, 2.8714285714285714)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:43.486468,"(11.0, 14.0, 13.764705882352942)","(16.0, 29.0, 28.25)","(31.0, 100.0, 91.25)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9426548672566373)","(4.4, 5.9, 5.877777777777778)","(2.6, 2.88, 2.876)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:44.481190,"(11.0, 14.0, 13.764705882352942)","(16.0, 29.0, 28.25)","(31.0, 100.0, 91.25)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9537037037037037)","(4.4, 5.9, 5.877777777777778)","(2.6, 2.88, 2.9026315789473682)","(26.0, 70.0, 64.0)"
10-01-2023 08:02:45.569049,"(11.0, 14.5, 13.973684210526315)","(16.0, 29.0, 28.25)","(31.0, 100.0, 91.25)","(31.0, 130.0, 123.0)","(2.6, 2.96, 2.9521875)","(4.4, 5.9, 5.877777777777778)","(2.6, 2.92, 2.899047619047619)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:46.582955,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.9539285714285715)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:47.606345,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.954237288135593)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:48.633308,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.944444444444444)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:49.658013,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.98, 2.944444444444444)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:50.603504,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.98, 2.944444444444444)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:51.618848,"(11.0, 14.0, 13.954545454545455)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.9498039215686274)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:52.813448,"(11.0, 14.0, 13.973684210526315)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.9566666666666666)","(4.4, 5.9, 5.876470588235295)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:53.880319,"(11.0, 14.0, 13.973684210526315)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.9566666666666666)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.896)","(26.0, 70.0, 61.42857142857143)"
10-01-2023 08:02:54.904161,"(11.0, 14.0, 13.973684210526315)","(16.0, 29.0, 28.125)","(31.0, 100.0, 82.5)","(31.0, 130.0, 118.33333333333333)","(2.6, 2.96, 2.961682242990654)","(4.4, 5.9, 5.883333333333334)","(2.6, 2.92, 2.8927272727272726)","(26.0, 70.0, 61.42857142857143)"
