,Shonas Fury,Blue Bathers,Prince Danube,Last Date,Double Tara,Step Up
06-01-2023 11:01:21.951821,"(4.6, 8.4, 6.0600000000000005)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:22.857015,"(4.6, 8.4, 6.0600000000000005)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 8.566666666666666)"
06-01-2023 11:01:23.740956,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 7.444444444444445)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 8.566666666666666)"
06-01-2023 11:01:24.688331,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 8.566666666666666)"
06-01-2023 11:01:25.635917,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:26.583349,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:27.617691,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:28.541231,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:29.505628,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:30.427010,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:31.398781,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:32.364813,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:33.272477,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:34.119886,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:35.009020,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:35.955974,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:36.885103,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:37.863450,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:38.783085,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:39.679516,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:40.642942,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:41.590353,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:42.511692,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:43.372541,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:44.229359,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.0)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:45.143465,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:46.076657,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:46.991372,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:47.868195,"(4.6, 8.4, 6.9)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:48.706404,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
