,Conumdrum,Creek Lodge,Gee Gees Fifthtest,High Plain Drifta,Rohzhae,Swingapinga,Im Keefe,Muscle Up,Zulu Angel,Weallstuckathome,Barmaid Girl,Ding Ding,Kings On Queens,Millas Ready,Soulita
06-01-2023 13:39:36.442281,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 36.22222222222222)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 55.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:38.133018,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 36.22222222222222)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:39.683653,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 36.22222222222222)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:41.346805,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:42.959948,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 56.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:44.584680,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:46.238317,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:47.914787,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:49.525014,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:51.092410,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:52.877131,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:54.549118,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:56.209737,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 34.888888888888886)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 43.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 52.0)","(21.0, 46.0, 41.75)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:57.869699,"(8.5, 14.5, 13.75)","(91.0, 170.0, 143.33333333333334)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 46.0, 35.5)","(18.0, 25.0, 19.622222222222224)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 50.0, 44.2)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 44.80769230769231)","(21.0, 46.0, 41.27272727272727)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:39:59.672078,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.16)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 37.0)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:01.541194,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.16)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 37.0)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:03.323341,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.16)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 36.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 37.0)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:05.045640,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.89830508474576)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:06.835299,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:08.452433,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 166.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:10.159796,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:12.408713,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:14.349454,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:16.159737,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 140.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 32.8)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:18.097232,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:19.955668,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 42.0)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 65.0, 46.372549019607845)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:21.659593,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:23.425332,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:25.141990,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:26.844557,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:28.590061,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:30.284531,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.146816143497758)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:32.347760,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.1593308550185877)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:34.269595,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.1593308550185877)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:36.178882,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.1593308550185877)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:38.157281,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 173.33333333333331)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.1593308550185877)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
06-01-2023 13:40:40.069848,"(8.5, 14.5, 13.75)","(91.0, 170.0, 120.0)","(101.0, 180.0, 150.0)","(101.0, 210.0, 180.0)","(8.0, 12.0, 11.375)","(21.0, 40.0, 35.14285714285714)","(18.0, 25.0, 20.11111111111111)","(2.0, 2.22, 2.1593308550185877)","(8.0, 12.5, 11.545454545454545)","(21.0, 48.0, 44.4)","(31.0, 48.0, 38.27777777777778)","(6.5, 10.5, 10.09090909090909)","(31.0, 60.0, 50.666666666666664)","(21.0, 44.0, 41.2)","(101.0, 220.0, 166.66666666666666)"
