,Goodtime Libby,Shoobees Spirit,Rocknroll Gronk,Cincinnati,Layden,Starzzz Destiny
14-12-2022 14:08:14.473798,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:15.384857,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:16.310020,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:17.240597,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:18.199625,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:19.204021,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:20.149956,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 30.444444444444443)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:21.120699,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:21.981119,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:22.884721,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:23.832549,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:24.788527,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 10.879999999999999)"
14-12-2022 14:08:25.716126,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:26.634355,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:27.649966,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:28.708526,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.586153846153846)","(2.5, 3.5, 3.08)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:29.714469,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.528571428571429)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:30.730138,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:31.738055,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.296)","(2.5, 3.45, 3.2750000000000004)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:32.733555,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.296)","(2.5, 3.45, 3.2750000000000004)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:33.763936,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.296)","(2.5, 3.45, 3.2750000000000004)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:34.751092,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.296)","(2.5, 3.45, 3.2750000000000004)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:35.650393,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:36.504064,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:37.452793,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:38.423417,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:39.364576,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:40.257161,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:41.093556,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:42.053239,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:42.980350,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:43.877347,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:44.747256,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:45.701250,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:46.628883,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:47.611483,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:48.509105,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:49.400989,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 23.666666666666668)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:50.398396,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 30.555555555555557)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:51.391927,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 30.555555555555557)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:52.362745,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:53.278088,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.545)","(2.5, 3.45, 3.206666666666667)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.963636363636363)"
14-12-2022 14:08:54.162069,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.36, 2.273846153846154)","(2.5, 3.45, 3.31875)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 12.0, 9.966666666666667)"
14-12-2022 14:08:55.074823,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.566666666666667)","(2.5, 3.4, 2.96)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.5, 9.966666666666667)"
14-12-2022 14:08:56.058011,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.566666666666667)","(2.5, 3.4, 2.96)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.5, 9.966666666666667)"
14-12-2022 14:08:57.033608,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.566666666666667)","(2.5, 3.4, 2.96)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.5, 9.966666666666667)"
14-12-2022 14:08:57.982272,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.566666666666667)","(2.5, 3.4, 2.96)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.5, 9.966666666666667)"
14-12-2022 14:08:58.881850,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.566666666666667)","(2.5, 3.4, 2.96)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.5, 9.966666666666667)"
14-12-2022 14:08:59.771931,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.571111111111111)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:00.700478,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.571111111111111)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:01.613866,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.571111111111111)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:02.517252,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.571111111111111)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:03.442484,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.571111111111111)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:04.379794,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.66, 2.5933333333333333)","(2.5, 3.4, 2.973333333333333)","(21.0, 34.0, 24.0)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:05.360317,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:06.351680,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:07.352727,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:08.345226,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:09.274048,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:10.166053,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:11.094095,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:12.092720,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:13.072090,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 10.28)"
14-12-2022 14:09:14.075400,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 9.74)"
14-12-2022 14:09:15.052792,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 9.74)"
14-12-2022 14:09:15.977126,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.526666666666667)","(2.5, 3.4, 2.984)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 11.0, 9.98)"
14-12-2022 14:09:16.886975,"(7.0, 9.2, 8.923076923076923)","(2.0, 2.58, 2.505)","(2.5, 3.4, 3.0)","(21.0, 32.0, 23.333333333333332)","(17.0, 29.0, 20.333333333333332)","(7.5, 10.5, 9.98)"
