,My Legacy,Hurricane Demi,Know Valour,Texas Jewel,Opawa Eric,Tin Lizzy,Idol Tayla,Know Dispute
09-01-2023 10:54:20.808284,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:21.960115,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:23.162166,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:24.381199,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:25.586123,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:26.838915,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:27.992736,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:29.118726,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:30.288944,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:31.356992,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:32.459367,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:33.659350,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:34.821478,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:35.998747,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:37.129761,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:38.319413,"(3.6, 9.0, 5.8)","(10.0, 42.0, 29.46153846153846)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:39.492195,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:40.696238,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:41.901297,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:43.073171,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:44.265843,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:45.429609,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:46.515503,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:47.696236,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:48.825407,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:50.136961,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:51.525489,"(3.6, 9.0, 5.8)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:52.694543,"(3.6, 9.6, 6.057142857142857)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:53.870610,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:55.010409,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:56.181872,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:57.388308,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:58.487725,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:54:59.621332,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:00.764247,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:01.863192,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:03.016222,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:04.132280,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:05.291511,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:06.408560,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:07.531518,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:08.652684,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.050000000000001)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:09.745794,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.4, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:10.875731,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:12.056779,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:13.245331,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:14.407796,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:15.559382,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:16.669539,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:17.800179,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:18.933865,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:20.053695,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:21.175051,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:22.272297,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:23.370538,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:24.437855,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:25.502574,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:26.601991,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
09-01-2023 10:55:27.741473,"(3.6, 5.8, 4.507692307692308)","(10.0, 44.0, 25.682352941176468)","(12.0, 60.0, 53.8125)","(16.0, 170.0, 76.1)","(5.5, 19.0, 13.00625)","(3.7, 9.2, 5.753846153846154)","(10.0, 48.0, 33.15384615384615)","(4.2, 12.0, 7.2)"
