,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:55:20.452504,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.576923076923077)","(26.0, 40.0, 38.0)","(2.7, 3.4, 3.365625)","(3.6, 3.9, 3.888495575221239)","(19.0, 22.0, 21.555555555555557)","(61.0, 100.0, 96.15384615384616)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.525925925925926)"
08-12-2022 12:55:22.069389,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.576923076923077)","(26.0, 40.0, 38.0)","(2.7, 3.4, 3.4009615384615386)","(3.6, 3.9, 3.8933962264150943)","(19.0, 22.0, 21.555555555555557)","(61.0, 100.0, 95.83333333333333)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.525925925925926)"
08-12-2022 12:55:23.568362,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.492307692307692)","(26.0, 40.0, 38.0)","(2.7, 3.45, 3.4009615384615386)","(3.6, 3.95, 3.8933962264150943)","(19.0, 22.0, 21.555555555555557)","(61.0, 100.0, 97.5)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.525925925925926)"
08-12-2022 12:55:25.103293,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.459016393442623)","(26.0, 40.0, 38.0)","(2.7, 3.45, 3.3728571428571428)","(3.6, 3.9, 3.8814814814814813)","(19.0, 22.0, 21.555555555555557)","(61.0, 120.0, 97.5)","(31.0, 65.0, 61.29032258064516)","(4.2, 5.6, 5.525925925925926)"
08-12-2022 12:55:26.635142,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.459016393442623)","(26.0, 40.0, 38.0)","(2.7, 3.45, 3.3836206896551726)","(3.6, 3.9, 3.8802631578947366)","(19.0, 22.0, 21.555555555555557)","(61.0, 120.0, 97.5)","(31.0, 65.0, 61.21212121212121)","(4.2, 5.6, 5.525925925925926)"
08-12-2022 12:55:28.177004,"(10.0, 15.0, 14.522727272727273)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.459016393442623)","(26.0, 40.0, 37.733333333333334)","(2.7, 3.45, 3.3817757009345795)","(3.6, 3.9, 3.8762499999999998)","(19.0, 22.0, 22.304347826086957)","(61.0, 120.0, 97.5)","(31.0, 65.0, 61.666666666666664)","(4.2, 5.6, 5.544444444444444)"
08-12-2022 12:55:29.689074,"(10.0, 15.0, 14.673076923076923)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.459016393442623)","(26.0, 38.0, 37.785714285714285)","(2.7, 3.45, 3.386986301369863)","(3.6, 3.9, 3.8609999999999998)","(19.0, 23.0, 21.956521739130434)","(61.0, 120.0, 97.5)","(31.0, 65.0, 57.64705882352941)","(4.2, 5.6, 5.397222222222222)"
08-12-2022 12:55:31.447644,"(10.0, 15.0, 14.673076923076923)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.459016393442623)","(26.0, 38.0, 37.857142857142854)","(2.7, 3.4, 3.39)","(3.6, 3.9, 3.8469230769230767)","(19.0, 23.0, 21.956521739130434)","(61.0, 120.0, 97.5)","(31.0, 65.0, 56.666666666666664)","(4.2, 5.4, 5.446153846153846)"
08-12-2022 12:55:33.485106,"(10.0, 15.0, 14.85)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.56)","(26.0, 38.0, 37.857142857142854)","(2.7, 3.45, 3.39)","(3.6, 3.9, 3.8469230769230767)","(19.0, 23.0, 22.17241379310345)","(61.0, 120.0, 97.5)","(31.0, 65.0, 56.0)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:35.136008,"(10.0, 15.0, 14.85)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.575)","(26.0, 38.0, 37.85)","(2.7, 3.45, 3.4138655462184873)","(3.6, 3.9, 3.8469230769230767)","(19.0, 23.0, 23.17241379310345)","(61.0, 120.0, 97.5)","(31.0, 65.0, 57.5)","(4.2, 5.5, 5.446153846153846)"
