,Arch Of Titus,Cmon Mate,Clendenning,Decider,Pharoah Magic,Sir Tom,Oakfield Macka,Pudacious,Bubbas Bay,Majeedis,Emphatic Bel,Misty Dreams
15-12-2022 14:40:12.363318,"(12.0, 14.0, 13.923076923076923)","(61.0, 90.0, 85.83333333333333)","(31.0, 48.0, 45.22222222222222)","(31.0, 40.0, 39.8)","(4.6, 5.6, 5.526341463414634)","(8.5, 10.5, 9.916666666666668)","(101.0, 450.0, 372.0)","(19.0, 22.0, 20.333333333333332)","(2.4, 2.8, 2.7239436619718314)","(11.0, 14.0, 13.794117647058824)","(15.0, 18.0, 17.547619047619047)","(17.0, 22.0, 21.696202531645568)"
15-12-2022 14:40:13.852053,"(12.0, 14.0, 12.23076923076923)","(61.0, 90.0, 85.71428571428571)","(31.0, 48.0, 45.82608695652174)","(31.0, 40.0, 39.875)","(4.6, 5.7, 5.624358974358974)","(8.5, 10.5, 10.272727272727273)","(101.0, 450.0, 376.875)","(19.0, 22.0, 21.80952380952381)","(2.4, 2.74, 2.7919634703196343)","(11.0, 14.0, 13.852112676056338)","(15.0, 18.0, 17.685567010309278)","(17.0, 22.0, 21.77358490566038)"
15-12-2022 14:40:15.352680,"(12.0, 12.0, 11.918367346938776)","(61.0, 90.0, 87.27272727272727)","(31.0, 48.0, 46.611111111111114)","(31.0, 40.0, 39.91836734693877)","(4.6, 5.7, 5.624358974358974)","(8.5, 10.5, 10.272727272727273)","(101.0, 450.0, 376.875)","(18.0, 22.0, 21.555555555555557)","(2.4, 2.8, 2.791889400921659)","(11.0, 14.0, 13.571428571428571)","(15.0, 18.0, 17.698924731182796)","(17.0, 22.0, 20.82850241545894)"
15-12-2022 14:40:16.801366,"(12.0, 12.0, 11.966101694915254)","(61.0, 90.0, 87.77777777777777)","(31.0, 48.0, 46.80952380952381)","(31.0, 40.0, 39.92)","(4.6, 5.7, 5.634200743494423)","(8.5, 10.5, 9.442424242424243)","(101.0, 450.0, 381.1764705882353)","(18.0, 22.0, 21.666666666666668)","(2.4, 2.8, 2.79340206185567)","(11.0, 14.0, 13.5625)","(15.0, 18.0, 17.651515151515152)","(17.0, 21.0, 20.82294264339152)"
15-12-2022 14:40:18.311152,"(12.0, 12.0, 11.68705035971223)","(61.0, 90.0, 88.0)","(31.0, 48.0, 46.904761904761905)","(31.0, 40.0, 41.05555555555556)","(4.6, 5.7, 5.7745)","(8.5, 9.6, 9.446315789473685)","(101.0, 450.0, 398.0)","(18.0, 22.0, 21.38235294117647)","(2.4, 2.8, 2.8040506329113923)","(11.0, 14.0, 13.792682926829269)","(15.0, 18.0, 17.776470588235295)","(17.0, 21.0, 20.831265508684865)"
15-12-2022 14:40:19.806070,"(12.0, 12.5, 11.684397163120567)","(61.0, 90.0, 87.72727272727272)","(31.0, 48.0, 46.8)","(31.0, 42.0, 41.15)","(4.6, 5.8, 5.782456140350877)","(8.5, 9.6, 9.464705882352941)","(101.0, 450.0, 398.0)","(18.0, 22.0, 21.36)","(2.4, 2.82, 2.8046341463414635)","(11.0, 14.0, 13.22689075630252)","(15.0, 18.0, 17.776470588235295)","(17.0, 21.0, 20.831265508684865)"
15-12-2022 14:40:21.359543,"(12.0, 12.5, 11.692982456140351)","(61.0, 90.0, 87.72727272727272)","(31.0, 48.0, 46.8)","(31.0, 42.0, 41.15)","(4.6, 5.8, 5.77979274611399)","(8.5, 9.6, 9.464705882352941)","(101.0, 450.0, 398.0)","(18.0, 22.0, 21.36)","(2.4, 2.82, 2.8034482758620687)","(11.0, 13.5, 13.202290076335878)","(15.0, 18.0, 17.771084337349397)","(17.0, 21.0, 20.831265508684865)"
15-12-2022 14:40:22.890522,"(11.0, 12.5, 11.712328767123287)","(61.0, 90.0, 87.91666666666667)","(31.0, 48.0, 47.31578947368421)","(31.0, 42.0, 41.20987654320987)","(4.8, 5.8, 5.880281690140845)","(8.5, 9.6, 9.491764705882353)","(101.0, 450.0, 398.0)","(19.0, 22.0, 21.75)","(2.4, 2.82, 2.8055999999999996)","(11.0, 13.5, 13.217171717171718)","(15.0, 18.0, 17.83478260869565)","(17.0, 21.0, 20.836930455635493)"
15-12-2022 14:40:24.392747,"(11.0, 12.5, 11.74390243902439)","(61.0, 90.0, 87.82608695652173)","(31.0, 50.0, 47.31578947368421)","(31.0, 42.0, 41.20987654320987)","(4.8, 5.9, 5.890311418685122)","(8.5, 9.6, 9.505555555555556)","(101.0, 450.0, 398.0)","(19.0, 22.0, 21.833333333333332)","(2.4, 2.82, 2.8438766519823786)","(11.0, 13.5, 13.188888888888888)","(15.0, 18.0, 17.833333333333332)","(17.0, 21.0, 20.846913580246913)"
15-12-2022 14:40:25.788748,"(11.0, 12.5, 11.74390243902439)","(61.0, 90.0, 87.82608695652173)","(31.0, 50.0, 46.22222222222222)","(31.0, 42.0, 40.11764705882353)","(4.8, 5.9, 5.8927272727272735)","(8.5, 9.6, 9.511688311688312)","(101.0, 450.0, 398.0)","(19.0, 22.0, 23.666666666666668)","(2.4, 2.88, 2.838095238095238)","(11.0, 13.5, 13.162650602409638)","(15.0, 18.0, 17.836206896551722)","(17.0, 21.0, 20.295454545454547)"
15-12-2022 14:40:27.241013,"(11.0, 12.5, 12.01129943502825)","(61.0, 90.0, 87.82608695652173)","(31.0, 50.0, 46.90909090909091)","(31.0, 42.0, 40.11764705882353)","(4.8, 5.9, 5.8927272727272735)","(8.5, 9.6, 9.51392405063291)","(101.0, 450.0, 398.0)","(19.0, 24.0, 23.862068965517242)","(2.4, 2.88, 2.854240837696335)","(11.0, 13.5, 13.162650602409638)","(15.0, 18.0, 17.836206896551722)","(17.0, 21.0, 20.295454545454547)"
15-12-2022 14:40:28.683534,"(11.0, 12.5, 12.01123595505618)","(61.0, 90.0, 87.82608695652173)","(31.0, 50.0, 45.666666666666664)","(31.0, 42.0, 40.111111111111114)","(4.8, 5.9, 5.888439306358382)","(8.5, 9.6, 9.563768115942029)","(101.0, 450.0, 398.0)","(19.0, 24.0, 22.93103448275862)","(2.4, 2.88, 2.8875889328063242)","(11.0, 13.5, 13.158823529411764)","(15.0, 18.0, 17.821739130434782)","(17.0, 21.0, 20.655172413793103)"
15-12-2022 14:40:30.130391,"(11.0, 12.5, 12.015873015873016)","(61.0, 90.0, 87.72727272727272)","(31.0, 46.0, 45.92)","(31.0, 42.0, 40.81481481481482)","(4.8, 5.9, 5.891891891891892)","(8.5, 9.6, 9.462068965517242)","(101.0, 450.0, 398.0)","(19.0, 23.0, 23.06382978723404)","(2.4, 2.9, 2.9029629629629627)","(11.0, 13.5, 13.153846153846153)","(15.0, 18.0, 15.597826086956522)","(17.0, 21.0, 20.678571428571427)"
15-12-2022 14:40:31.560804,"(11.0, 12.5, 11.985232067510548)","(61.0, 90.0, 87.72727272727272)","(31.0, 50.0, 47.10958904109589)","(31.0, 42.0, 41.0)","(4.8, 5.9, 5.891666666666667)","(8.5, 9.6, 9.433333333333334)","(101.0, 450.0, 398.0)","(19.0, 24.0, 23.923076923076923)","(2.4, 2.92, 2.902369337979094)","(11.0, 13.5, 13.17910447761194)","(15.0, 17.5, 15.90909090909091)","(17.0, 21.0, 20.6625)"
15-12-2022 14:40:32.976312,"(11.0, 12.5, 12.015695067264573)","(61.0, 90.0, 87.72727272727272)","(31.0, 55.0, 47.125)","(31.0, 42.0, 40.96774193548387)","(4.8, 5.9, 5.886274509803922)","(8.5, 9.6, 9.5775)","(101.0, 450.0, 398.0)","(19.0, 24.0, 24.666666666666668)","(2.4, 2.92, 2.8972706935123043)","(11.0, 13.5, 13.169230769230769)","(15.0, 16.5, 15.989583333333334)","(17.0, 21.0, 20.6625)"
15-12-2022 14:40:34.431590,"(11.0, 12.5, 12.007177033492823)","(61.0, 90.0, 87.72727272727272)","(31.0, 55.0, 47.125)","(31.0, 42.0, 43.54838709677419)","(4.8, 5.9, 5.737254901960784)","(8.5, 9.6, 9.5775)","(101.0, 450.0, 398.0)","(19.0, 26.0, 24.666666666666668)","(2.4, 2.92, 2.893191489361702)","(11.0, 13.5, 13.169230769230769)","(15.0, 17.5, 15.989583333333334)","(17.0, 21.0, 20.6625)"
15-12-2022 14:40:35.826220,"(11.0, 12.5, 12.007177033492823)","(61.0, 90.0, 87.72727272727272)","(31.0, 55.0, 47.125)","(31.0, 44.0, 43.72549019607843)","(4.8, 5.8, 5.736)","(8.5, 9.6, 9.589333333333332)","(101.0, 450.0, 398.0)","(19.0, 26.0, 24.666666666666668)","(2.4, 2.9, 2.892781954887218)","(11.0, 13.5, 13.241379310344827)","(15.0, 17.5, 15.989583333333334)","(17.0, 21.0, 20.6625)"
15-12-2022 14:40:37.204041,"(11.0, 12.5, 12.007177033492823)","(61.0, 90.0, 87.72727272727272)","(31.0, 55.0, 47.125)","(31.0, 44.0, 43.72549019607843)","(4.8, 5.8, 5.736)","(8.5, 9.6, 9.589333333333332)","(101.0, 450.0, 398.0)","(18.0, 26.0, 24.666666666666668)","(2.5, 2.9, 2.892781954887218)","(11.0, 13.5, 13.241379310344827)","(15.0, 17.5, 15.989583333333334)","(17.0, 21.0, 20.6625)"
15-12-2022 14:40:38.680520,"(11.0, 12.5, 12.024752475247524)","(61.0, 90.0, 87.72727272727272)","(31.0, 55.0, 47.125)","(31.0, 44.0, 43.65853658536585)","(4.8, 5.8, 5.735353535353536)","(8.5, 9.6, 9.578947368421053)","(101.0, 450.0, 398.0)","(18.0, 26.0, 24.379310344827587)","(2.5, 2.9, 2.891634615384615)","(11.0, 13.5, 13.241379310344827)","(15.0, 17.5, 16.15740740740741)","(17.0, 20.0, 19.712290502793294)"
15-12-2022 14:40:40.061314,"(11.0, 12.5, 12.08974358974359)","(61.0, 90.0, 87.72727272727272)","(31.0, 50.0, 49.0)","(31.0, 44.0, 43.65853658536585)","(4.8, 5.8, 5.735353535353536)","(8.5, 9.6, 9.579746835443038)","(101.0, 450.0, 398.0)","(18.0, 25.0, 25.15625)","(2.5, 2.9, 2.888627450980392)","(11.0, 13.5, 13.241379310344827)","(15.0, 17.5, 16.091549295774648)","(17.0, 20.0, 19.712290502793294)"
15-12-2022 14:40:41.700765,"(11.0, 12.5, 12.09322033898305)","(61.0, 90.0, 88.75)","(31.0, 50.0, 48.5)","(31.0, 44.0, 44.51428571428571)","(4.8, 5.8, 5.734020618556701)","(8.0, 9.6, 9.362025316455696)","(101.0, 450.0, 398.0)","(18.0, 26.0, 25.09090909090909)","(2.5, 2.9, 2.888627450980392)","(11.0, 13.5, 13.236842105263158)","(15.0, 17.5, 15.76086956521739)","(17.0, 20.0, 19.7183908045977)"
15-12-2022 14:40:43.618157,"(11.0, 12.5, 12.029126213592233)","(61.0, 90.0, 86.8)","(31.0, 50.0, 48.5)","(31.0, 46.0, 44.666666666666664)","(4.8, 5.8, 5.72)","(8.0, 9.4, 9.353846153846154)","(101.0, 450.0, 398.0)","(18.0, 26.0, 25.09090909090909)","(2.5, 2.9, 2.888627450980392)","(11.0, 13.5, 13.236842105263158)","(15.0, 17.5, 15.86734693877551)","(17.0, 20.0, 19.7183908045977)"
15-12-2022 14:40:45.028624,"(11.0, 12.5, 12.029126213592233)","(61.0, 90.0, 86.8)","(31.0, 50.0, 47.0)","(31.0, 46.0, 44.666666666666664)","(4.8, 5.8, 5.732631578947369)","(8.0, 9.4, 9.353846153846154)","(101.0, 450.0, 398.0)","(18.0, 26.0, 25.09090909090909)","(2.5, 2.9, 2.875798319327731)","(11.0, 13.5, 13.211538461538462)","(15.0, 17.5, 15.86734693877551)","(17.0, 20.0, 19.7183908045977)"
15-12-2022 14:40:46.417166,"(11.0, 12.5, 12.09051724137931)","(61.0, 90.0, 86.92307692307692)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.4)","(4.8, 5.8, 5.767948717948718)","(8.0, 9.4, 9.504)","(101.0, 450.0, 398.0)","(18.0, 26.0, 24.5)","(2.5, 2.9, 2.8736986301369862)","(11.0, 13.5, 13.173913043478262)","(15.0, 17.5, 16.23015873015873)","(17.0, 20.0, 19.740963855421686)"
15-12-2022 14:40:47.892707,"(11.0, 12.5, 12.09051724137931)","(61.0, 90.0, 86.92307692307692)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.22222222222222)","(4.8, 5.8, 5.753703703703704)","(8.0, 9.6, 9.56551724137931)","(101.0, 450.0, 398.0)","(18.0, 26.0, 25.5)","(2.5, 2.9, 2.869090909090909)","(11.0, 13.5, 13.134146341463415)","(15.0, 17.5, 16.37323943661972)","(17.0, 20.0, 19.73391812865497)"
15-12-2022 14:40:49.391854,"(11.0, 12.5, 12.047169811320755)","(61.0, 90.0, 86.92307692307692)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.22222222222222)","(4.8, 5.8, 5.753703703703704)","(8.0, 9.6, 9.587301587301587)","(101.0, 450.0, 398.0)","(18.0, 26.0, 24.818181818181817)","(2.5, 2.88, 2.883917525773196)","(11.0, 13.5, 13.134146341463415)","(15.0, 17.5, 16.44736842105263)","(17.0, 20.0, 19.727272727272727)"
15-12-2022 14:40:50.912588,"(11.0, 13.0, 12.878676470588236)","(61.0, 90.0, 86.92307692307692)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.0)","(4.8, 5.8, 5.836363636363637)","(8.0, 9.6, 9.58655462184874)","(101.0, 450.0, 388.8235294117647)","(18.0, 27.0, 24.1875)","(2.5, 2.9, 2.9048695652173913)","(11.0, 13.5, 13.134146341463415)","(15.0, 17.5, 16.608695652173914)","(17.0, 20.0, 19.735294117647058)"
15-12-2022 14:40:52.418069,"(11.0, 13.0, 12.469696969696969)","(61.0, 90.0, 86.52173913043478)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.142857142857146)","(4.8, 5.9, 5.848148148148148)","(8.0, 9.6, 9.5872)","(101.0, 450.0, 392.0)","(18.0, 25.0, 24.1875)","(2.5, 2.92, 2.853076923076923)","(11.0, 13.5, 13.190721649484535)","(15.0, 17.5, 16.524390243902438)","(17.0, 20.0, 19.735294117647058)"
15-12-2022 14:40:53.941673,"(11.0, 13.0, 12.717391304347826)","(61.0, 90.0, 86.52173913043478)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.142857142857146)","(4.8, 5.9, 5.675373134328359)","(8.0, 9.6, 9.5872)","(101.0, 440.0, 392.0)","(18.0, 25.0, 24.1875)","(2.5, 2.92, 2.8784810126582276)","(11.0, 13.5, 13.227272727272727)","(15.0, 17.5, 16.580459770114942)","(17.0, 20.0, 19.785714285714285)"
15-12-2022 14:40:55.358897,"(11.0, 13.0, 12.717391304347826)","(61.0, 90.0, 86.52173913043478)","(31.0, 50.0, 48.0)","(31.0, 46.0, 43.1764705882353)","(4.8, 5.7, 5.796296296296297)","(8.0, 9.6, 9.5872)","(101.0, 440.0, 423.1578947368421)","(18.0, 25.0, 24.1875)","(2.5, 2.88, 2.837647058823529)","(11.0, 13.5, 13.3)","(15.0, 17.5, 16.580459770114942)","(17.0, 20.0, 19.785714285714285)"
15-12-2022 14:40:56.850106,"(11.0, 13.0, 12.778571428571428)","(61.0, 90.0, 86.66666666666667)","(31.0, 50.0, 46.76056338028169)","(31.0, 46.0, 43.25714285714286)","(4.8, 5.9, 5.824324324324325)","(8.0, 9.6, 9.55)","(101.0, 440.0, 390.0)","(19.0, 25.0, 24.333333333333332)","(2.5, 2.84, 2.816)","(11.0, 13.5, 13.065217391304348)","(14.0, 17.5, 16.25)","(17.0, 20.0, 19.76)"
15-12-2022 14:40:58.258033,"(11.0, 13.0, 12.778571428571428)","(61.0, 90.0, 86.66666666666667)","(31.0, 55.0, 46.76056338028169)","(31.0, 46.0, 43.25714285714286)","(4.8, 5.9, 5.824324324324325)","(8.0, 9.6, 9.55)","(101.0, 440.0, 390.0)","(19.0, 25.0, 24.333333333333332)","(2.5, 2.84, 2.816)","(11.0, 13.5, 13.065217391304348)","(14.0, 17.5, 16.25)","(17.0, 20.0, 19.76)"
