,Heza Western,Always A Celebrity,Pinkie Promise,Fortitudo,Bezzaboma,Classic Reactor,Robert Crocka,Gotonebettor,Jay Miller
10-01-2023 21:03:52.877027,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:54.172774,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:55.518365,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:56.898514,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:58.305063,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:03:59.777810,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:01.216459,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:02.748388,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:03.910279,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:05.452408,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:06.778600,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:08.136729,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:09.466168,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:10.782602,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:12.124766,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:13.407219,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:14.896677,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:16.359150,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:17.818423,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.066666666666666)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:19.186181,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.5, 9.818181818181818)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:20.674366,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 11.6)","(10.0, 18.0, 14.56)","(6.5, 10.0, 9.818181818181818)","(6.5, 10.0, 8.666666666666666)","(3.6, 4.5, 4.29)","(6.5, 9.8, 7.9)"
10-01-2023 21:04:21.930526,"(4.4, 6.4, 5.62)","(11.0, 18.5, 14.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.92)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:23.082740,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.6, 8.92)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:24.415953,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.6, 8.333333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:25.945672,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.333333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:27.352906,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.066666666666666)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:28.737610,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 8.066666666666666)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:30.082435,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 9.64)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:31.558818,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.5, 8.733333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:32.965061,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 9.08)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:34.349161,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.8, 8.466666666666667)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:35.685113,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.6, 8.76)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:37.081949,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.76)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:38.459354,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.44)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:39.736523,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 8.44)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:40.965922,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 7.933333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:42.139474,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 8.8, 7.933333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:43.552003,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 8.8, 8.733333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:45.000358,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.733333333333334)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:46.262249,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 9.08)","(6.5, 10.0, 8.733333333333334)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:47.590848,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 12.066666666666666)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.8, 8.0)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:48.953207,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.6, 8.4)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:50.244857,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.4)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:51.513365,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.4, 8.133333333333333)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:52.849059,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 8.133333333333333)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:54.198280,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 9.0, 7.6000000000000005)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:55.728095,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 8.8, 9.466666666666667)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:56.968359,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 11.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:58.361223,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:04:59.805270,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:01.517205,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 140.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:02.996782,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:04.460917,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:05.945115,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:07.196703,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:08.497925,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:09.715917,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:10.962937,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:12.262608,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:13.551396,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
10-01-2023 21:05:14.866927,"(4.4, 6.4, 5.62)","(11.0, 18.5, 16.5)","(51.0, 160.0, 141.66666666666666)","(8.5, 14.0, 10.266666666666667)","(10.0, 18.0, 16.08888888888889)","(6.5, 10.0, 8.2)","(6.5, 10.0, 8.2)","(3.6, 4.5, 4.357142857142857)","(6.5, 9.8, 8.0)"
