,Idol First,Goldstar Noodle,Know Ego,Broken Bonds,Irish Coffee,Know Will,Infinity One,Got Faith
09-01-2023 10:21:56.255062,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:57.316122,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:58.387297,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:21:59.430394,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:00.394751,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:01.439962,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:02.434832,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:03.461158,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:04.470255,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:05.531099,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
