,In Chevron We Trust Nz,Motu Amethyst Nz,Yogi,Precious Cullen Nz,Lifeinheaven,Miss Pau,Tell Me This Nz,Tracer Bullet,The Harris Hawk
11-01-2023 18:02:26.501750,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 11.0)"
11-01-2023 18:02:27.931563,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 10.914285714285715)"
11-01-2023 18:02:29.351515,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 10.914285714285715)"
11-01-2023 18:02:30.695574,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 10.914285714285715)"
11-01-2023 18:02:32.029844,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 10.914285714285715)"
11-01-2023 18:02:33.349847,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 10.914285714285715)"
11-01-2023 18:02:34.721379,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 12.0, 12.616666666666667)"
11-01-2023 18:02:36.109733,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:37.476026,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:38.827788,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:40.215509,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:41.557493,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:42.931271,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:44.314315,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:45.691196,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:47.060465,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:48.469164,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:49.821343,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:51.066370,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:52.217606,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:53.383059,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:54.556112,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:55.925261,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:57.203005,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:58.462082,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:02:59.815817,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:01.124004,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:02.419907,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 27.57142857142857)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:03.709759,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 34.0, 30.333333333333336)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:05.019814,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 36.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:06.252869,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:07.547039,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:08.854884,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:10.168796,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:11.470423,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:12.723133,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:14.043048,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:15.389629,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:16.818779,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:18.179635,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:19.560455,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:20.898837,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:22.211481,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:23.569357,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:24.898772,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:26.148504,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:27.514393,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:28.793306,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:30.153565,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:31.407755,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:32.622253,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:33.900035,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:35.162991,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 35.8)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:36.551036,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:37.883323,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:39.179727,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:40.537261,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:41.830286,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:43.085255,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:44.386412,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:45.720999,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:47.039949,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:48.317013,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:49.642746,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:50.961172,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:52.281039,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:53.557911,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:54.875508,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:56.158904,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:57.443832,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:58.675592,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
11-01-2023 18:03:59.879168,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.8, 5.571428571428571)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 210.0, 170.0)","(4.6, 99999, 99990)","(19.0, 36.0, 29.666666666666664)","(7.5, 13.5, 12.616666666666667)"
