,Betterthanfederer,Rocktagonal,Despondent,Gottashopearly,Geldof,Surf Ace,Hy Voltage,Boyzhavtime Nz,Portalegre Nz,Johnson Step Nz
10-01-2023 18:57:05.560684,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:06.981433,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:08.290501,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:09.545413,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:10.760457,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:12.048251,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:13.387901,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:14.796884,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:16.222821,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:17.674121,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:19.313384,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:20.855237,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:22.278635,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:23.942897,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:25.477198,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:26.944209,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:28.347534,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:29.755488,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:31.127602,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:32.469236,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:33.743728,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:35.060247,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:36.342068,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:37.659975,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:39.043384,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(20.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:40.449168,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:41.733952,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:43.077963,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:44.438348,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:45.795179,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:47.171655,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:48.471758,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:49.758162,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:51.042241,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:52.314093,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:53.727675,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:55.123214,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:56.482134,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:57.819052,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:57:59.095034,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:00.366531,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:01.647414,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:02.963184,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:04.243939,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:05.570616,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:06.926326,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:08.197181,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:09.474670,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:10.806466,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:12.043858,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:13.326741,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:14.595569,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 28.25)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:15.951997,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:17.319653,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:18.660661,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:19.912208,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:21.156797,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:22.427450,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:23.667738,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:24.888030,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:26.135004,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:27.410469,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(15.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(19.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:28.774189,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(14.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(18.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:30.186766,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(14.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(18.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:31.525064,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(14.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(18.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
10-01-2023 18:58:32.828460,"(31.0, 120.0, 58.75)","(8.5, 14.5, 10.85)","(14.0, 30.0, 27.57142857142857)","(91.0, 220.0, 106.66666666666666)","(18.0, 50.0, 38.0)","(3.8, 8.2, 6.6499999999999995)","(5.5, 12.5, 8.85)","(3.9, 99999, 99990)","(5.5, 99999, 99990)","(6.0, 99999, 99990)"
