,Runaway To Mars,Fix You,Call Me Trinity,Canya Mia,Eugenius,Fortified Mack
07-12-2022 20:28:45.634480,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:46.789548,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:47.863431,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:48.829421,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:49.861228,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:50.904185,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:51.942227,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:52.977711,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:53.883145,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:54.901375,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:56.058201,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:57.237466,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:58.291948,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:28:59.380986,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:00.494106,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:01.587901,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:02.710648,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:03.782611,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:04.856695,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:05.908405,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:06.964313,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:07.939652,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:08.894100,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:09.957558,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:11.042321,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:12.023927,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:12.928196,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:13.877942,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:15.019602,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.253333333333334)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:16.053759,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 700.0, 392.5)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:17.030375,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:18.020446,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:18.996640,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:19.921397,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:20.948500,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:21.905868,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:22.879010,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:23.918500,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.375)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:24.954665,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.37777777777778)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:25.967548,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.37777777777778)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:26.987892,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.37777777777778)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:27.885875,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 20.37777777777778)","(3.1, 5.1, 4.18235294117647)"
07-12-2022 20:29:28.829698,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.1, 4.075)"
07-12-2022 20:29:29.850309,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:30.791495,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:31.695545,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:32.585364,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:33.592638,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:34.585315,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:35.546835,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:36.509063,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:37.406360,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:38.352988,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 226.11111111111111)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:39.293942,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:40.160814,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:41.098774,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:42.031110,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 690.0, 421.11111111111114)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:43.003481,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 700.0, 392.5)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 18.8)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:44.059045,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 700.0, 392.5)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:45.122926,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 700.0, 402.5)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:46.052844,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:46.957159,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:47.965181,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:49.001717,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:49.993960,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:50.998427,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:51.953706,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:52.892981,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:53.924779,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:54.921449,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:55.857602,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:56.859585,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:57.779501,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:58.739172,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:29:59.645527,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:00.624786,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 245.0)","(101.0, 720.0, 390.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:01.629911,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:02.691252,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:03.657170,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:04.556760,"(1.95, 2.64, 2.1974468085106382)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:05.521070,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:06.537854,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.9727272727272727)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:07.589674,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:08.556045,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:09.545019,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:10.538677,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:11.627843,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:12.682139,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 17.333333333333332)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:13.749222,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 14.0)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:14.760361,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 14.0)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:15.748769,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 14.0)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:16.743681,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 14.0)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:17.661180,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 395.0)","(3.2, 5.9, 3.5888888888888886)","(10.0, 21.0, 12.142857142857142)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:18.639259,"(1.95, 2.64, 2.0548571428571427)","(61.0, 440.0, 290.0)","(101.0, 710.0, 330.8333333333333)","(3.2, 5.9, 3.757142857142857)","(10.0, 22.0, 12.142857142857142)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:19.685925,"(1.95, 2.2, 2.066666666666667)","(61.0, 440.0, 290.0)","(101.0, 710.0, 330.8333333333333)","(3.2, 5.9, 3.757142857142857)","(10.0, 22.0, 12.142857142857142)","(3.1, 5.0, 4.075)"
07-12-2022 20:30:20.721303,"(1.95, 2.2, 2.066666666666667)","(61.0, 440.0, 290.0)","(101.0, 710.0, 330.8333333333333)","(3.2, 5.9, 3.757142857142857)","(10.0, 22.0, 16.25)","(3.1, 5.0, 4.075)"
