,Olympic Gaze,Zegalo,Villaden,Shafty,Endorphins,Just Business,Lumber Dream,Real Peace
04-01-2023 14:44:03.297249,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:44:04.506921,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(15.0, 24.0, 19.6)","(6.0, 9.4, 8.566666666666666)"
04-01-2023 14:44:05.769213,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.657142857142858)"
04-01-2023 14:44:07.006348,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.4)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.405714285714286)"
04-01-2023 14:44:08.235854,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.4)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:09.376064,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:10.449025,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:11.539236,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:12.666947,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:13.715771,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:14.783106,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:15.760120,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:16.776701,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:17.797723,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:18.840770,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:19.890477,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:20.936609,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:21.989374,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:23.030584,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:24.118128,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.198787878787879)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:25.183641,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:26.257551,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.25)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:27.272672,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:28.307892,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:29.396429,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:30.464408,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2001626016260163)","(9.0, 15.0, 14.6)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:31.595100,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.604395604395604)","(5.5, 7.6, 7.502325581395349)","(19.0, 24.0, 22.3125)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.49375)"
04-01-2023 14:44:32.721053,"(10.0, 13.0, 11.551724137931034)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.6, 7.206451612903226)","(19.0, 24.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.4, 8.892307692307693)"
04-01-2023 14:44:33.848490,"(10.0, 12.5, 12.071428571428571)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:34.945059,"(10.0, 12.5, 12.071428571428571)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:36.103349,"(10.0, 12.5, 12.3)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:37.238829,"(10.0, 12.5, 12.375)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:38.393932,"(10.0, 12.5, 12.375)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:39.477674,"(10.0, 12.5, 12.375)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:40.606741,"(10.0, 12.5, 12.375)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:41.661139,"(10.0, 12.5, 12.375)","(21.0, 27.0, 23.70886075949367)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:42.738321,"(10.0, 12.5, 12.375)","(21.0, 27.0, 24.36)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:43.764916,"(10.0, 12.5, 12.375)","(21.0, 27.0, 24.555555555555557)","(2.0, 2.22, 2.2039473684210527)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:44.784470,"(10.0, 12.5, 12.375)","(21.0, 27.0, 24.555555555555557)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:45.800207,"(10.0, 12.5, 12.3)","(21.0, 27.0, 24.555555555555557)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:46.844033,"(10.0, 12.5, 12.3)","(21.0, 27.0, 24.555555555555557)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.317073170731707)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:47.886249,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:48.883876,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:49.924784,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:51.007758,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:52.107743,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:53.286416,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:54.524185,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.212244897959184)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:55.554698,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:56.654793,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:57.700838,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.892307692307693)"
04-01-2023 14:44:58.751881,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.678260869565218)"
04-01-2023 14:44:59.770075,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.6)","(6.0, 9.2, 8.678260869565218)"
04-01-2023 14:45:00.829062,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2185687382297554)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.652173913043477)","(6.0, 9.2, 8.678260869565218)"
04-01-2023 14:45:01.906064,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.218603773584906)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.652173913043477)","(6.0, 9.2, 8.637037037037038)"
04-01-2023 14:45:02.964598,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.218603773584906)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.652173913043477)","(6.0, 9.2, 8.637037037037038)"
04-01-2023 14:45:04.002790,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.218603773584906)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.652173913043477)","(6.0, 9.2, 8.637037037037038)"
04-01-2023 14:45:05.028636,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.22, 2.2184710743801657)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 19.652173913043477)","(6.0, 9.2, 8.637037037037038)"
04-01-2023 14:45:06.113319,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2320136518771334)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 24.0, 20.5)","(6.0, 9.2, 8.637037037037038)"
04-01-2023 14:45:07.203468,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2320136518771334)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 20.5)","(6.0, 9.2, 8.496296296296295)"
04-01-2023 14:45:08.211120,"(10.0, 12.5, 12.3)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2320272572402047)","(9.0, 15.0, 14.68421052631579)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 20.5)","(6.0, 9.2, 8.52142857142857)"
04-01-2023 14:45:09.240286,"(10.0, 11.5, 11.277777777777779)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2290109890109893)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 20.5)","(6.0, 9.2, 8.52142857142857)"
04-01-2023 14:45:10.240561,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 20.5)","(6.0, 9.2, 8.52142857142857)"
04-01-2023 14:45:11.251432,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 25.114285714285714)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.52142857142857)"
04-01-2023 14:45:12.567573,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.96923076923077)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.712820512820512)"
04-01-2023 14:45:13.561750,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.96923076923077)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206451612903226)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
04-01-2023 14:45:14.598230,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.870967741935484)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
04-01-2023 14:45:15.751419,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.870967741935484)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
04-01-2023 14:45:16.763945,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.870967741935484)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
04-01-2023 14:45:17.896833,"(10.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.870967741935484)","(2.0, 2.24, 2.2295833333333337)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
04-01-2023 14:45:18.996405,"(9.0, 11.5, 11.288461538461538)","(21.0, 27.0, 24.870967741935484)","(2.0, 2.24, 2.224893617021277)","(9.0, 15.0, 14.723076923076922)","(5.5, 7.4, 7.206060606060606)","(19.0, 23.0, 21.45945945945946)","(14.0, 23.0, 21.0)","(6.0, 9.2, 8.657142857142857)"
