,Evanlee,Mechanics Kismet,Lamont Bale,Our Watto,Forcefully,Sonic Sammy
12-01-2023 15:21:49.292777,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:50.282799,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:51.173680,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:52.148393,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:53.084773,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:54.055365,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:55.013232,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:56.033065,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:57.027602,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:58.021501,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
