,Over The Bridge,Sambuca Talks,Stimulus Package,Influencer,Chief In Charge,Lektra Asha
14-12-2022 14:00:07.355810,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:08.689181,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:09.906222,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:11.081389,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:12.157314,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:13.050302,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:14.324683,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:15.481328,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:16.519632,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:17.484636,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:18.417765,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:19.505631,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:20.537623,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:21.634716,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:22.752485,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:23.818525,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:24.947685,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:25.990962,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:27.048489,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:28.041977,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:28.980613,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:30.016260,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:31.087877,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:32.112168,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:33.214187,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:34.408881,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:35.488154,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:36.604123,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:37.773047,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:38.832978,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:40.029145,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:41.130989,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:42.203389,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:43.406123,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:44.926173,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:46.113488,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:47.325104,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:48.516886,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:49.661756,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:51.011798,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:52.302520,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:53.546482,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:54.644518,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:55.784844,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:57.008935,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:58.178126,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:00:59.598771,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:00.919296,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:02.174118,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:03.435810,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:04.714583,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:05.835959,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:06.898571,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:08.136304,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:09.380237,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:10.486975,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:11.558138,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:12.605080,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:13.711931,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:14.879129,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:15.941889,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:16.955791,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:18.042511,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:19.152165,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:20.278630,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:21.248201,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:22.319443,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:23.421985,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:24.689055,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:25.736457,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:26.736832,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:27.742949,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:28.792533,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:29.831486,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:30.873506,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:32.112925,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:33.030352,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:34.036916,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:34.971295,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:35.997704,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:37.055818,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:38.076390,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:39.098409,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:40.118392,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:41.109705,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:42.035629,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:43.014715,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:43.936586,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:44.894541,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:45.924499,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:46.885225,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:47.916112,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:49.015242,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:50.061482,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:51.118361,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
14-12-2022 14:01:52.025170,"(2.9, 4.4, 3.47)","(4.4, 8.8, 4.652941176470588)","(16.0, 65.0, 49.25)","(2.6, 3.65, 3.022608695652174)","(3.8, 5.9, 4.4222222222222225)","(17.0, 90.0, 71.14285714285714)"
