,Aston Simpkin,Zac The Black,Master Mars,Minnesota Nights,Cockney Sparrow,Frankies Vision,Dixie Zambora,Spot On Ginger
09-01-2023 11:44:05.219825,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:06.372535,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:07.650364,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:09.081289,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:10.370486,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:11.631100,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:12.826639,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:13.929645,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:15.041341,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:16.123960,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:17.255093,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:18.413296,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:19.513102,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:20.707093,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:21.919073,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:23.081869,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:24.226175,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:25.378601,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:26.470949,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:27.557355,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:28.677667,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:29.818333,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:30.952376,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:32.062981,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:33.219692,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:34.359962,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:35.485175,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:36.616873,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:37.752480,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:38.880168,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:40.051695,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:41.214694,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:42.328814,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:43.462499,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:44.596120,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:45.722572,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:46.859109,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:47.906882,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:48.982957,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:50.154382,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:51.329267,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:52.486373,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:53.626146,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:54.780971,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:55.929692,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:57.059647,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:58.177781,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:44:59.307781,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:00.497267,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:01.699368,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:02.917698,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:04.339790,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:05.788833,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:06.969866,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:08.041916,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:09.155565,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:10.295687,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:11.453111,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:12.613147,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:13.727882,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:14.829760,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:15.936821,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:17.026717,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:18.100149,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:19.243951,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:20.417002,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:21.551261,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:22.687071,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:23.801043,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:24.894627,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:26.008015,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:27.070382,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:28.146277,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:29.245142,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
09-01-2023 11:45:30.294238,"(8.5, 17.5, 9.528571428571428)","(8.0, 19.5, 9.916666666666666)","(8.0, 17.0, 8.075)","(16.0, 50.0, 43.51851851851852)","(3.9, 7.2, 5.33)","(101.0, 650.0, 554.1666666666666)","(2.5, 4.1, 3.5075)","(4.4, 8.6, 7.32)"
