,Goldstar Toby,Gitan,Humbling,Goldstar Carlito,Opawa Conan,Opawa Kyle,Zipping Ontario,Epic Cruze
15-12-2022 15:39:46.713027,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:47.924773,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:49.169108,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:50.337058,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:51.592966,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:52.953272,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:54.167094,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:55.521959,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:56.707305,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:57.900806,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:39:59.109071,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:00.225921,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:01.340869,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:02.426734,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:03.477203,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:04.668169,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:05.750932,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:06.872066,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:08.011707,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:09.114908,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:10.169160,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:11.263352,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:12.306491,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:13.542829,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:14.675326,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:15.791832,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:16.933080,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:18.124235,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:19.305600,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:20.475254,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:21.599534,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:22.622916,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:23.718113,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:24.832890,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:25.899963,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:27.039078,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:28.091072,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:29.130197,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:30.155885,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:31.132936,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:32.166238,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:33.313307,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:34.368282,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:35.474728,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:36.673334,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:37.730640,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:38.803479,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
15-12-2022 15:40:39.977126,"(6.0, 11.5, 10.722727272727273)","(3.3, 5.0, 3.93125)","(11.0, 29.0, 26.866666666666667)","(4.4, 14.0, 8.24)","(3.3, 9.4, 5.61875)","(8.5, 15.5, 14.285714285714285)","(31.0, 340.0, 174.13333333333333)","(12.0, 60.0, 57.088235294117645)"
