,Choir Boy,Dixon Bay,Sarodec,Liability,Elected,Hokahey,Ready For Better,Wickedn Lovinit
08-01-2023 13:44:26.354420,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:27.489507,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:28.692616,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:29.799663,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:30.876652,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:31.984939,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:33.094499,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:34.180242,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:35.370751,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 93.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:36.566908,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 93.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:37.689870,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 93.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:38.795165,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 93.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:39.872772,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 93.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
