,Delightful Mia,Jilliby Willow,Ajay Breezy Rose,Story To Tell,Gossip Girl Nz,Lady Lani,Ruby Wingate,Celestialfragrance,Sassyola,Orbie
07-01-2023 17:11:40.218076,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 19.0)"
07-01-2023 17:11:41.503009,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:42.725303,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:44.019595,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:45.399788,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:46.730583,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:48.021645,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:49.416590,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 7.375)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:51.037888,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.8, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:52.509650,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:53.884058,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:55.252759,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
