,Comical Cyndie,Go Hard Son,Thumbs Up,Mahuika,Once Again,Clever Eva,Trinity Ann,Shes A Cracker
11-01-2023 14:16:02.731161,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:03.726708,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:04.791440,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:05.928882,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 48.63636363636363)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:06.940619,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:08.055597,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:09.229916,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:10.369925,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:11.410462,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:12.514076,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:13.554289,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:14.551688,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:15.576686,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:16.599620,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 52.88461538461539)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:17.703369,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:18.830445,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 12.9)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:19.876719,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.883333333333333)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:20.959380,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:22.048662,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:23.092531,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:24.131589,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:25.232414,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:26.361757,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:27.540244,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:28.805274,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:30.041347,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:31.164200,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:32.372181,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:33.441791,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:34.473361,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:35.501290,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:36.602149,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:37.688590,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:38.970393,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
11-01-2023 14:16:40.206509,"(1.35, 1.45, 1.4300896860986547)","(31.0, 230.0, 120.0)","(8.5, 17.0, 11.533333333333333)","(4.6, 7.8, 5.800000000000001)","(18.0, 75.0, 45.75)","(13.0, 36.0, 30.086206896551726)","(101.0, 750.0, 640.0)","(14.0, 60.0, 34.72222222222222)"
