,Scarletts Gem,Raja Ampat,His Keen,Seabrook Baker,Tommy Tuna,Im Full On,Chilli Cherry
12-01-2023 14:09:24.058636,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:25.388039,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:26.568496,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:27.782453,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:28.939220,"(4.6, 9.4, 6.466666666666667)","(51.0, 460.0, 276.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:30.105243,"(4.6, 9.4, 6.466666666666667)","(51.0, 450.0, 382.66666666666663)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:31.350366,"(4.6, 9.4, 6.466666666666667)","(51.0, 450.0, 382.66666666666663)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 11.4)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:32.628068,"(4.6, 9.4, 6.466666666666667)","(51.0, 450.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.0, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:33.921417,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:35.177690,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:36.367999,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:37.609095,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:38.873623,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.266666666666666)"
12-01-2023 14:09:40.067872,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 8.21)"
12-01-2023 14:09:41.324840,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.6499999999999995)"
12-01-2023 14:09:42.559586,"(4.6, 9.4, 6.466666666666667)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 14.100000000000001)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.366666666666667)"
12-01-2023 14:09:43.743400,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 12.66)","(51.0, 390.0, 167.57142857142858)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:45.094453,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 10.766666666666667)","(51.0, 390.0, 177.0769230769231)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:46.368233,"(4.6, 9.4, 6.771428571428571)","(51.0, 400.0, 341.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 558.3333333333334)","(7.5, 15.5, 10.766666666666667)","(51.0, 390.0, 268.0)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:47.690235,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 223.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 10.766666666666667)","(51.0, 380.0, 230.66666666666669)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:49.006927,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 223.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 10.766666666666667)","(51.0, 380.0, 230.66666666666669)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:50.351758,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 223.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 10.766666666666667)","(51.0, 380.0, 230.66666666666669)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:51.572145,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 223.0)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 10.766666666666667)","(51.0, 380.0, 230.66666666666669)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:52.788353,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 15.5, 10.766666666666667)","(51.0, 380.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:54.012163,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 10.766666666666667)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:55.213070,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 15.5, 9.1625)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:56.446816,"(4.6, 9.4, 6.771428571428571)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 9.1625)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:57.721310,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 9.1625)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:09:59.025380,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 9.1625)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:00.260221,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:01.581436,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:02.803390,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:04.005069,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:05.244181,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:06.444722,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:07.719998,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:08.996598,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:10.419748,"(4.6, 9.4, 5.714285714285714)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:12.055374,"(4.6, 9.4, 7.99)","(51.0, 400.0, 266.8)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.954545454545455)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:14.541051,"(4.6, 9.4, 5.371428571428572)","(51.0, 460.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.653846153846153)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:16.333892,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 588.8888888888889)","(7.5, 14.5, 8.590909090909092)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:17.736894,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 10.299999999999999)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:19.000578,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 10.299999999999999)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:20.286756,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.590909090909092)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:21.572491,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.590909090909092)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:22.958877,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:24.255339,"(4.6, 9.4, 6.828571428571429)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:25.600045,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 10.299999999999999)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:28.619465,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.590909090909092)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:30.308068,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.5, 8.590909090909092)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:31.777850,"(4.6, 9.4, 5.8)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 438.46153846153845)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:33.417272,"(4.6, 9.4, 5.8)","(51.0, 400.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:34.940259,"(4.6, 9.4, 5.542857142857144)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:36.344787,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:37.699678,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:39.326760,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:40.704159,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 10.299999999999999)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:41.950311,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 9.807692307692308)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:43.241772,"(4.6, 9.4, 5.8)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 10.299999999999999)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 7.333333333333333)"
12-01-2023 14:10:44.472175,"(4.6, 9.4, 7.99)","(51.0, 450.0, 405.1111111111111)","(1.5, 2.1, 1.5273529411764706)","(91.0, 650.0, 595.0)","(7.5, 14.5, 11.2)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 8.24)"
12-01-2023 14:10:45.737793,"(4.6, 9.4, 5.885714285714285)","(51.0, 450.0, 360.6666666666667)","(1.5, 2.1, 1.8004615384615386)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.3)","(51.0, 390.0, 145.76470588235293)","(4.4, 8.6, 5.525)"
12-01-2023 14:10:47.041609,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.1, 1.9277777777777778)","(91.0, 650.0, 438.46153846153845)","(7.5, 14.0, 11.028571428571428)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:48.318604,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.98, 1.9277777777777778)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.42222222222222)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:49.862691,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.98, 1.9277777777777778)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.42222222222222)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:51.209201,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.98, 1.549247311827957)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.42222222222222)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:52.433112,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.2, 1.548)","(91.0, 650.0, 595.0)","(7.5, 14.0, 11.3)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:53.721849,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.94, 1.675)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.028571428571428)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:55.128378,"(4.6, 9.8, 5.6000000000000005)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.14, 1.6085714285714285)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.028571428571428)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:56.620891,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 2.14, 1.5446666666666666)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 10.8)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:58.201033,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.87, 1.5433333333333334)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.3)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:10:59.560278,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 360.6666666666667)","(1.5, 1.87, 1.542)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.028571428571428)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:01.096823,"(4.6, 9.8, 5.942857142857143)","(51.0, 400.0, 396.22222222222223)","(1.5, 1.85, 1.5413333333333334)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 9.2)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:02.381032,"(4.6, 9.8, 5.942857142857143)","(51.0, 440.0, 396.22222222222223)","(1.5, 1.84, 1.54)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 9.2)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:03.636894,"(4.6, 9.8, 5.942857142857143)","(51.0, 440.0, 396.22222222222223)","(1.5, 1.82, 1.54)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 10.8)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:04.937016,"(4.6, 9.8, 7.057142857142857)","(51.0, 440.0, 396.22222222222223)","(1.5, 1.82, 1.54)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 11.42222222222222)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:06.134325,"(4.6, 9.8, 7.057142857142857)","(51.0, 440.0, 396.22222222222223)","(1.5, 1.82, 1.535774647887324)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 12.133333333333333)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:07.291120,"(4.6, 9.8, 5.942857142857143)","(51.0, 440.0, 396.22222222222223)","(1.5, 1.8, 1.5386666666666666)","(91.0, 650.0, 453.57142857142856)","(7.5, 14.0, 12.133333333333333)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 5.525)"
12-01-2023 14:11:08.508541,"(4.6, 9.8, 5.942857142857143)","(51.0, 440.0, 261.4666666666667)","(1.5, 1.79, 1.5946666666666667)","(91.0, 650.0, 595.0)","(7.5, 14.0, 12.133333333333333)","(51.0, 390.0, 145.76470588235293)","(4.4, 9.2, 7.32)"
