,Divine Flirt,Blue Eyed Girl,Distorted Secrets,Scenic Eclipse,Startedwithakiss,Red Cadillac,See Ya Champ,Lady Tornado,Fire And Gold,Heartly,Luna Nobel
14-12-2022 18:57:05.395461,"(6.0, 7.6, 7.485714285714286)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.3352941176470585)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:07.036916,"(6.0, 7.8, 7.513207547169811)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.141935483870967)","(21.0, 48.0, 38.8)","(5.0, 6.6, 6.3352941176470585)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 210.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:08.541937,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.3, 5.064516129032258)","(21.0, 48.0, 38.8)","(5.0, 6.6, 5.746551724137931)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 255.55555555555554)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:10.056054,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.2, 5.064516129032258)","(21.0, 48.0, 38.8)","(5.0, 6.6, 5.683333333333333)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 255.55555555555554)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:11.587724,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.2, 5.064516129032258)","(21.0, 48.0, 38.8)","(5.0, 6.6, 5.814285714285714)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 255.55555555555554)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:13.065892,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 165.71428571428572)","(4.6, 5.2, 5.064516129032258)","(21.0, 48.0, 36.4)","(5.0, 6.6, 5.822033898305085)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 225.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:14.541779,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 171.25)","(4.6, 5.2, 5.017391304347826)","(21.0, 44.0, 36.4)","(5.0, 6.6, 5.810526315789474)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 225.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:16.038094,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.9)","(21.0, 44.0, 41.46666666666667)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 42.5)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 252.5)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:17.600218,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 252.5)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:19.032636,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 280.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:20.534491,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:22.096339,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:23.739216,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:25.361940,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 36.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:27.264030,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 38.85714285714286)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 38.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 151.875)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:29.055974,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.8499999999999996)","(51.0, 210.0, 171.25)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 35.5)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 112.5)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:30.683455,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.1, 3.85)","(51.0, 210.0, 171.25)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 33.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 112.5)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:32.159680,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7772727272727273)","(51.0, 210.0, 171.25)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 33.8)","(5.0, 6.4, 5.810526315789474)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 124.61538461538461)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:33.668023,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7772727272727273)","(51.0, 210.0, 171.25)","(4.6, 5.2, 4.811111111111111)","(21.0, 44.0, 41.96)","(5.0, 6.4, 5.954545454545455)","(19.0, 46.0, 32.0)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 124.61538461538461)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:35.144018,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7115384615384617)","(51.0, 210.0, 171.25)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.4, 5.95)","(19.0, 46.0, 30.42857142857143)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 120.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:36.632404,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 171.25)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.95)","(19.0, 36.0, 30.42857142857143)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 120.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:38.116635,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 171.25)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 30.42857142857143)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 120.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:39.639755,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 171.25)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 30.42857142857143)","(5.5, 8.2, 7.85)","(101.0, 280.0, 235.0)","(51.0, 270.0, 120.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:41.407857,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.959999999999999)","(101.0, 280.0, 195.0)","(51.0, 270.0, 153.33333333333331)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:43.050018,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.959999999999999)","(101.0, 280.0, 195.0)","(51.0, 270.0, 153.33333333333331)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:44.721677,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.959999999999999)","(101.0, 280.0, 195.0)","(51.0, 270.0, 153.33333333333331)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:46.345614,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.959999999999999)","(101.0, 280.0, 195.0)","(51.0, 270.0, 153.33333333333331)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:47.983097,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 38.857142857142854)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.959999999999999)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.0)"
14-12-2022 18:57:49.516242,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:51.068728,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:52.587697,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.6970588235294115)","(51.0, 210.0, 160.0)","(4.6, 5.2, 5.033333333333333)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:54.069211,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.6970588235294115)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.64)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:55.588907,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.956521739130435)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:57.205520,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.956521739130435)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:57:58.702454,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.956521739130435)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:00.103487,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.956521739130435)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:01.505642,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.72)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:02.818226,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.6970588235294115)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:04.124934,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.6970588235294115)","(51.0, 210.0, 160.0)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:05.478531,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.6970588235294115)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 144.0)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:06.928762,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 270.0, 96.92307692307692)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:08.434666,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 96.92307692307692)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:09.932454,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 96.92307692307692)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:11.431555,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 96.92307692307692)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:12.932253,"(6.0, 7.8, 7.6755555555555555)","(3.0, 3.85, 3.7115384615384617)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 96.92307692307692)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:14.545668,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 4.8307692307692305)","(21.0, 44.0, 36.5)","(5.0, 6.2, 5.8307692307692305)","(19.0, 36.0, 32.75)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:16.179561,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.2, 5.075806451612903)","(21.0, 44.0, 36.0)","(5.0, 6.2, 5.85)","(19.0, 36.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:17.817227,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.075806451612903)","(21.0, 42.0, 36.0)","(5.0, 6.0, 5.85)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:19.448985,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.075806451612903)","(21.0, 42.0, 36.0)","(5.0, 6.0, 5.977611940298507)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:20.941799,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.803125)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.07457627118644)","(21.0, 42.0, 36.0)","(5.0, 6.0, 5.97887323943662)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:22.461352,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.07457627118644)","(21.0, 42.0, 37.2)","(5.0, 6.0, 5.977611940298507)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:23.945777,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.7725)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.07457627118644)","(21.0, 42.0, 37.2)","(5.0, 6.0, 5.977611940298507)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
14-12-2022 18:58:25.512847,"(6.0, 7.8, 7.6755555555555555)","(3.0, 4.0, 3.9999999999999996)","(51.0, 210.0, 113.33333333333334)","(4.6, 5.1, 5.07457627118644)","(21.0, 42.0, 37.2)","(5.0, 6.0, 5.977611940298507)","(19.0, 34.0, 32.42857142857143)","(5.5, 8.2, 7.927272727272727)","(101.0, 280.0, 195.0)","(51.0, 120.0, 88.23529411764706)","(71.0, 95.0, 91.25)"
