,Golden Skyrocket,Deadly Rookie,Egyptian Tiger,Dundee Hornet,Pacific Rock,Bankrupt,Superior Tom,Glyos Move
05-01-2023 15:36:41.776072,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 58.875)"
05-01-2023 15:36:42.801459,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 52.875)"
05-01-2023 15:36:43.841915,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 52.875)"
05-01-2023 15:36:44.995804,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 52.875)"
05-01-2023 15:36:46.056715,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 52.875)"
05-01-2023 15:36:47.100201,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:48.146464,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:49.196936,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:50.205196,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:51.259284,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:52.266351,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:53.344225,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:54.579449,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:55.611106,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:56.697747,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:57.750538,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:58.855419,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:36:59.969620,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:37:01.068967,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 53.0)"
05-01-2023 15:37:02.173170,"(5.0, 9.6, 6.352941176470588)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 8.722222222222221)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:03.272474,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.66796875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 10.5, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:04.429469,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.6678125)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:05.546470,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.6678125)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:06.702476,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.6678125)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:07.748978,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.6678125)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:08.995528,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.6678125)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 49.16666666666667)"
05-01-2023 15:37:10.058229,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 65.0, 45.83333333333333)"
05-01-2023 15:37:11.086510,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 60.0, 45.83333333333333)"
05-01-2023 15:37:12.156979,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.037037037037038)","(12.0, 60.0, 45.83333333333333)"
05-01-2023 15:37:13.166429,"(5.0, 9.6, 6.225)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.107142857142858)","(12.0, 60.0, 49.5)"
05-01-2023 15:37:14.181525,"(5.0, 9.0, 6.074999999999999)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.107142857142858)","(12.0, 60.0, 46.0)"
05-01-2023 15:37:15.185538,"(5.0, 9.0, 6.074999999999999)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.107142857142858)","(12.0, 60.0, 54.07142857142857)"
05-01-2023 15:37:16.209501,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 9.107142857142858)","(12.0, 60.0, 54.07142857142857)"
05-01-2023 15:37:17.223745,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 8.166666666666668)","(12.0, 60.0, 54.07142857142857)"
05-01-2023 15:37:18.252655,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 49.75)"
05-01-2023 15:37:19.217424,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 46.5)"
05-01-2023 15:37:20.204974,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 46.5)"
05-01-2023 15:37:21.203611,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 46.5)"
05-01-2023 15:37:22.220519,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 46.5)"
05-01-2023 15:37:23.208288,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 54.214285714285715)"
05-01-2023 15:37:24.536353,"(5.0, 9.0, 6.15)","(1.6, 1.67, 1.661875)","(14.0, 36.0, 21.666666666666668)","(14.0, 36.0, 21.666666666666668)","(12.0, 26.0, 18.22222222222222)","(31.0, 230.0, 131.0)","(6.0, 11.0, 7.428571428571429)","(12.0, 60.0, 53.5)"
