,Sweet Obsidian,Invisible Light,Team Staffing,Down Under Boy,Awe Shanks,Beans Multi,Dessert Girl,Arkansas Red
11-01-2023 21:31:12.136785,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.5)"
11-01-2023 21:31:13.239371,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:14.297740,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:15.384877,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:16.501231,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 4.031818181818182)","(5.5, 9.6, 6.16)","(31.0, 230.0, 132.0)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:17.671028,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:18.759991,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:19.828966,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 13.8)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:20.935405,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.35)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:22.170928,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:23.340229,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:24.434466,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:25.529696,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:26.632088,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:27.707218,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:28.822995,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:29.909790,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 128.5)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:31.006308,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:32.104465,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:33.166614,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:34.223539,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:35.319359,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:36.320442,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 49.31818181818182)","(12.0, 34.0, 26.142857142857142)"
11-01-2023 21:31:37.367934,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 18.306666666666665)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 40.0)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:38.455496,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 117.77777777777777)","(18.0, 75.0, 40.0)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:39.634642,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 40.0)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:40.752623,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 40.0)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:41.870279,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 40.0)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:43.050078,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:44.161491,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.529411764705884)"
11-01-2023 21:31:45.264635,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:46.408940,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:47.579390,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:48.661250,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:49.677869,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:50.829532,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:51.888797,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:52.895327,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:54.036039,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:55.253202,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:56.279085,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:57.532732,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 20.875)"
11-01-2023 21:31:58.601215,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.94736842105263)"
11-01-2023 21:31:59.739640,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.94736842105263)"
11-01-2023 21:32:01.040198,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 3.6999999999999997)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.94736842105263)"
11-01-2023 21:32:02.401618,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.94736842105263)"
11-01-2023 21:32:03.737154,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:04.843545,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:05.950990,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:07.097025,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:08.167173,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.45)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 6.16)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:09.340787,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:10.407249,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 90.15384615384616)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:11.516211,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:12.672852,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:13.837862,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:15.002023,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:16.183306,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:17.395315,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 16.4)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:18.505004,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 11.719999999999999)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:19.590188,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 19.0, 11.719999999999999)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:20.699891,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:21.804162,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:22.830336,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:23.939545,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:25.022796,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:26.037114,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
11-01-2023 21:32:27.094205,"(3.9, 6.0, 5.189473684210526)","(3.4, 5.2, 4.06)","(9.0, 17.5, 13.94)","(3.2, 5.4, 3.4957142857142856)","(5.5, 9.6, 8.761904761904763)","(31.0, 230.0, 123.58823529411765)","(18.0, 75.0, 34.27272727272727)","(12.0, 34.0, 27.61111111111111)"
