,Big Brew,Smiling Spaniard,Jaggers Lady,Myola Red Boy,All Inn Maggie,Mr Deeds,Speedy Muffin,Slingshot Bruno
09-01-2023 16:12:17.698757,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:18.759534,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:19.821255,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:20.892287,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:21.979641,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 29.375)","(2.6, 4.3, 2.74375)"
09-01-2023 16:12:23.200243,"(3.4, 6.4, 3.5975)","(6.5, 14.5, 7.237500000000001)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 32.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:24.376720,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:25.777330,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:26.969603,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:28.180013,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:29.335752,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:30.562631,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:31.936524,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:33.100202,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 15.5, 8.4125)","(61.0, 520.0, 442.5)","(18.0, 44.0, 29.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:34.317218,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:35.451274,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:36.634721,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:37.744488,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:38.839852,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:39.936314,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:40.979397,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:42.058640,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:43.242483,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:44.369447,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:45.505208,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:46.602311,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:47.741957,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:48.894562,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:50.004470,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:51.164611,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:52.362890,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:53.927264,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:55.455358,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:56.941783,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:58.299670,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:12:59.512052,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:00.668977,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:01.765130,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:02.845853,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:03.971362,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:05.001676,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:06.127778,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:07.290024,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:08.580907,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:09.872843,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:11.066764,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:12.243460,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:13.405782,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:14.657093,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:15.888645,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:17.099136,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:18.449553,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:19.753162,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:21.085181,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:22.465195,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:23.697597,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:24.866615,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:25.974006,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:27.162464,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:28.320960,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:29.497214,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:30.828247,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:32.015875,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:33.135167,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:34.297535,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:35.482411,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:36.704978,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:37.939261,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:39.164782,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:40.389766,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:41.654813,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:42.950597,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:44.269060,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:45.529191,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:46.756505,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:48.031844,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
09-01-2023 16:13:49.324372,"(3.4, 4.9, 3.611111111111111)","(6.5, 11.0, 7.4)","(8.0, 16.5, 8.5375)","(61.0, 520.0, 442.5)","(18.0, 50.0, 32.75)","(4.8, 8.4, 7.257142857142857)","(12.0, 29.0, 28.5)","(2.6, 4.3, 2.703846153846154)"
