,Rachmaninov,Jesper Fast,Vertigo,Annas Boy,Sonoma Tyron,Martha Stuart,Lauries Legacy,Salvo,Boss Kenny
16-12-2022 15:02:08.351458,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:09.689240,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:10.904436,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:12.119425,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:13.336737,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:14.473764,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:15.735633,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:17.008647,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 22.714285714285715)","(3.5, 4.8, 4.7)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:18.242602,"(14.0, 48.0, 31.25)","(20.0, 140.0, 115.8)","(12.0, 24.0, 21.75)","(3.5, 4.8, 4.7)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.742857142857142)"
16-12-2022 15:02:19.451149,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 23.25)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:20.647994,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 21.0)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.125)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:21.808226,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 21.0)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.125)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:22.997081,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 21.0)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.125)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 8.799999999999999)"
