,Cousteau,Chanelle,Diamond Blanco,Impressive Mario,Romeo,Fly High Buddy,Homebush Dove,Harry Baxter
06-01-2023 10:41:13.674821,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:14.770867,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:15.854516,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:16.965860,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:18.015014,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:19.105521,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:20.119214,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.403846153846153)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:21.148819,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:22.198331,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:23.271818,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:24.438861,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:25.580559,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:26.715348,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:27.839230,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:28.914653,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:29.988901,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:31.072349,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:32.106463,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:33.166139,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:34.171223,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:35.227559,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:36.278383,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:37.386541,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:38.479557,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:39.619920,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:40.767674,"(3.5, 7.8, 6.520588235294118)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:41.916196,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:43.048613,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:44.124367,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:45.181842,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 48.0)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:46.229249,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 55.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:47.305999,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:48.336218,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.416666666666667)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:49.353268,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:50.393172,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:51.410645,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:52.449693,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:53.642662,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:54.660779,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:55.692087,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:56.710933,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:57.758915,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:58.857604,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.555)"
06-01-2023 10:41:59.926678,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:01.033925,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:02.107627,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:03.174864,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:04.187549,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:05.235853,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:06.233157,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:07.330696,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:08.431562,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.42948717948718)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:09.583073,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:10.713110,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:11.864369,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 31.07142857142857)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
06-01-2023 10:42:13.003292,"(3.5, 8.0, 5.55)","(6.5, 13.5, 12.617647058823529)","(3.7, 5.3, 4.933333333333334)","(15.0, 34.0, 32.785714285714285)","(3.7, 8.0, 7.685810810810812)","(18.0, 150.0, 105.16666666666667)","(15.0, 60.0, 52.166666666666664)","(6.0, 11.5, 10.654545454545454)"
