,Buddys Tale,Harmony Nation,Damreel,Chayse N Storms,Renault,Friend Of God,The Houseman,Hes Viral,It Must Be Love,Alaltun,Nitroglycerine,The Angels Kiss
12-01-2023 16:45:38.750019,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.25)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:40.422427,"(10.0, 17.0, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.25)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:42.110761,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 25.833333333333332)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:43.901781,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.357142857142857)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 29.0, 23.75)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:45.602977,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0749999999999997)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 28.0, 21.625)","(41.0, 65.0, 56.5)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:47.336643,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 28.0, 21.625)","(41.0, 65.0, 60.0)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:48.962373,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 28.0, 21.625)","(41.0, 65.0, 60.0)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:50.370897,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 28.0, 21.625)","(41.0, 65.0, 60.0)","(8.0, 12.5, 11.75)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:51.797793,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 28.0, 21.625)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:53.305550,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:54.888341,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:56.526620,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:45:58.322621,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:00.073349,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:01.760182,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:03.390126,"(10.0, 16.5, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.5)","(41.0, 65.0, 60.0)","(8.0, 13.0, 12.071428571428571)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:05.127065,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 20.5)","(41.0, 65.0, 60.0)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:07.188793,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 20.5)","(41.0, 65.0, 60.0)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:09.082076,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 20.5)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:11.155796,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 20.5)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:13.063539,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.71875)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.5)","(21.0, 32.0, 31.0)","(18.0, 27.0, 24.0)","(41.0, 65.0, 62.27272727272727)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:14.772053,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 8.0, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.0)","(41.0, 65.0, 62.27272727272727)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:16.554763,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.0)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:18.150589,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0734375000000003)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 22.833333333333332)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:19.700120,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.1, 3.0734375000000003)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.07142857142857)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:21.339606,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.1, 3.0734375000000003)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.07142857142857)","(41.0, 65.0, 62.14285714285714)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:22.899767,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.1, 3.0734375000000003)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.07142857142857)","(41.0, 65.0, 61.25)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:24.447461,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.1, 3.0734375000000003)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.07142857142857)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:26.190692,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.1, 3.0679190751445087)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 24.07142857142857)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:27.911206,"(10.0, 17.0, 15.666666666666666)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.0679190751445087)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 25.0, 21.5)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 12.071428571428571)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:29.521001,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 24.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.4)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:31.123432,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.4)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:32.753983,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.064705882352941)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:35.093059,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.707692307692308)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.25, 3.1375)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:36.726342,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.557575757575758)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:38.438851,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:40.094764,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 28.8)"
12-01-2023 16:46:41.672305,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:43.659578,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:45.436561,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:47.383084,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:49.197735,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 13.0, 11.476190476190476)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:51.117840,"(10.0, 16.5, 15.25)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:52.665999,"(10.0, 16.5, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.092156862745098)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:54.248386,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:55.858407,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:57.384429,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:46:58.882570,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:47:00.448858,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
12-01-2023 16:47:01.981359,"(10.0, 17.0, 16.4)","(17.0, 25.0, 21.0)","(6.5, 7.8, 7.4941176470588236)","(8.5, 12.5, 11.5)","(21.0, 70.0, 60.769230769230774)","(2.6, 3.2, 3.088888888888889)","(7.0, 8.8, 8.551724137931036)","(21.0, 32.0, 31.0)","(18.0, 23.0, 22.2)","(41.0, 65.0, 62.1875)","(8.0, 12.5, 11.833333333333334)","(21.0, 32.0, 30.4)"
