,Idealrockidealroll,Southshore Nz,Stormy Sanz,Military Man Nz,Kenya Nz,Cheddar Valley Nz,Sharmey,Rocks Arnt Pets,Kiavino Stride,Where Ya Bin Nz,Believe In Forever
08-01-2023 18:21:40.064605,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:41.410460,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:42.876463,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:44.225043,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:45.550976,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:46.879441,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:48.238123,"(1.1, 1.5, 1.43625)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:49.799044,"(1.1, 1.5, 1.4929530201342283)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:51.073179,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:52.475544,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:53.826473,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:55.212339,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:56.661881,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 58.714285714285715)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:58.105992,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:21:59.519110,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:00.934880,"(1.1, 1.51, 1.4980794701986755)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:02.400069,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:03.791623,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:05.178232,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:06.513641,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:07.881687,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:09.297894,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:10.665817,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:11.981190,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:13.332776,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:14.693135,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:16.119403,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:17.507780,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:18.905803,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:20.264812,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:21.689603,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:23.155270,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:24.575258,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:25.940875,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 44.0)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 53.75)","(16.0, 50.0, 41.75)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:27.309527,"(1.1, 1.51, 1.4912987012987013)","(21.0, 99999, 99990)","(19.0, 48.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 65.0, 44.0)","(16.0, 50.0, 35.6)","(71.0, 210.0, 186.66666666666666)","(18.0, 99999, 99990)","(18.0, 55.0, 45.75)"
08-01-2023 18:22:28.728161,"(1.1, 1.5, 1.4963917525773196)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 210.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 55.0, 37.2)"
08-01-2023 18:22:30.147691,"(1.1, 1.51, 1.4917708333333333)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:31.574673,"(1.1, 1.51, 1.4917708333333333)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:32.954873,"(1.1, 1.51, 1.4917708333333333)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:34.364427,"(1.1, 1.51, 1.4917708333333333)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:35.714874,"(1.1, 1.51, 1.4917708333333333)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:37.106544,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:38.506937,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:39.933704,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:41.301250,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:42.674266,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:44.128558,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:45.576739,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:46.998831,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:48.382110,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:49.860003,"(1.1, 1.51, 1.4817171717171718)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:51.673354,"(1.1, 1.51, 1.496)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 44.0)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:53.274050,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:54.823102,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:56.236093,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:57.617388,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:22:58.982568,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:23:00.360678,"(1.1, 1.51, 1.4976106194690266)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:23:01.724904,"(1.1, 1.51, 1.4877777777777776)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
08-01-2023 18:23:03.096677,"(1.1, 1.51, 1.4877777777777776)","(21.0, 99999, 99990)","(19.0, 46.0, 39.333333333333336)","(71.0, 99999, 99990)","(31.0, 99999, 99990)","(51.0, 99999, 99990)","(21.0, 60.0, 48.57142857142857)","(16.0, 48.0, 35.6)","(71.0, 200.0, 162.85714285714286)","(18.0, 99999, 99990)","(18.0, 50.0, 37.2)"
