,Birdbrook,Rothwell Random,Willy Can Do,Moo Star,Low Planes,Premier Slice
14-12-2022 14:39:24.416257,"(4.0, 9.0, 8.306451612903226)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.384375)","(5.0, 9.8, 8.25)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:25.549049,"(4.0, 9.0, 7.805555555555555)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.384375)","(5.0, 10.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:26.683186,"(4.0, 9.0, 7.517241379310345)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.384375)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:27.723803,"(4.0, 9.0, 6.2)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.384375)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:28.895828,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:30.003037,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:31.137822,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:32.287342,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:33.383770,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:34.456662,"(4.0, 9.0, 7.586206896551724)","(2.2, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(14.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:35.611140,"(4.0, 9.0, 6.947368421052632)","(2.25, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(13.0, 55.0, 49.875)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:36.825543,"(4.0, 9.0, 6.947368421052632)","(2.25, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(13.0, 55.0, 49.214285714285715)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:37.927189,"(4.0, 9.0, 6.947368421052632)","(2.25, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.441666666666666)","(5.0, 11.0, 10.35)","(13.0, 55.0, 50.0)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:38.931542,"(4.0, 9.0, 6.947368421052632)","(2.25, 2.7, 2.3175000000000003)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 55.0, 50.0)","(19.0, 230.0, 159.66666666666666)"
14-12-2022 14:39:40.004153,"(4.0, 9.0, 5.96)","(2.25, 2.7, 2.241)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 55.0, 31.916666666666664)","(19.0, 230.0, 84.79545454545455)"
14-12-2022 14:39:41.068904,"(4.0, 9.0, 7.052631578947368)","(2.25, 2.7, 2.241)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:42.218031,"(4.0, 9.0, 7.052631578947368)","(2.25, 2.7, 2.241)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:43.350028,"(4.0, 9.0, 7.052631578947368)","(2.25, 2.7, 2.241)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:44.395784,"(4.0, 9.0, 7.052631578947368)","(2.25, 2.7, 2.241)","(3.9, 5.9, 5.846153846153846)","(5.0, 11.0, 9.7)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:45.578582,"(4.0, 9.0, 6.5)","(2.25, 2.7, 2.226)","(3.9, 5.9, 5.76)","(5.0, 11.0, 7.12)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:46.870431,"(4.0, 9.0, 8.846153846153847)","(2.25, 2.38, 2.2929411764705883)","(3.9, 5.9, 5.76)","(5.0, 8.0, 7.425)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:48.131751,"(4.0, 9.0, 8.846153846153847)","(2.25, 2.4, 2.2929411764705883)","(3.9, 5.9, 5.76)","(5.0, 8.0, 7.425)","(13.0, 44.0, 31.916666666666664)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:49.364956,"(4.0, 9.0, 8.846153846153847)","(2.25, 2.4, 2.448888888888889)","(3.9, 5.9, 5.316666666666667)","(5.0, 8.0, 9.214285714285715)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:50.509964,"(4.0, 9.0, 8.857142857142858)","(2.25, 2.56, 2.448888888888889)","(3.9, 5.9, 5.316666666666667)","(5.0, 9.8, 9.214285714285715)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:51.648649,"(4.0, 9.0, 8.869565217391305)","(2.25, 2.56, 2.448888888888889)","(3.9, 5.9, 5.316666666666667)","(5.0, 9.8, 9.214285714285715)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:52.870789,"(4.0, 9.0, 8.869565217391305)","(2.25, 2.56, 2.448888888888889)","(3.9, 5.9, 5.316666666666667)","(5.0, 9.8, 9.214285714285715)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 84.79545454545455)"
14-12-2022 14:39:54.097707,"(4.0, 9.0, 8.869565217391305)","(2.25, 2.56, 2.448888888888889)","(3.9, 5.9, 5.316666666666667)","(5.0, 9.8, 9.214285714285715)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 71.5)"
14-12-2022 14:39:55.321512,"(4.0, 9.0, 8.869565217391305)","(2.25, 2.56, 2.394)","(3.9, 5.9, 5.316666666666667)","(5.0, 9.8, 10.242857142857144)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 71.5)"
14-12-2022 14:39:56.501550,"(4.0, 9.0, 6.529411764705882)","(2.25, 2.7, 2.394)","(3.9, 5.9, 5.316666666666667)","(5.0, 11.0, 8.35)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 71.5)"
14-12-2022 14:39:57.711504,"(4.0, 9.0, 6.529411764705882)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 11.0, 8.35)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 71.5)"
14-12-2022 14:39:58.790622,"(4.0, 9.0, 6.529411764705882)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 11.0, 8.35)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 63.400000000000006)"
14-12-2022 14:39:59.781940,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 11.0, 8.35)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 63.400000000000006)"
14-12-2022 14:40:01.014547,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 11.0, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:02.242823,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:03.282925,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:04.340261,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:05.629768,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:06.835857,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:07.884785,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:08.996942,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 7.142857142857142)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.125)"
14-12-2022 14:40:10.263502,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 8.15)","(13.0, 44.0, 32.84615384615385)","(19.0, 130.0, 47.5)"
14-12-2022 14:40:11.352945,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.5, 8.15)","(13.0, 44.0, 30.384615384615387)","(19.0, 130.0, 36.5)"
14-12-2022 14:40:12.596402,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.0, 10.0, 7.709090909090909)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:13.740072,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.5, 10.0, 7.709090909090909)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:14.818875,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.5, 10.0, 7.709090909090909)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:15.821473,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.316666666666667)","(5.5, 10.0, 7.709090909090909)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:16.877281,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 10.0, 7.709090909090909)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:17.972958,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.163157894736843)","(5.5, 10.0, 8.022222222222222)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:18.967349,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 7.466666666666667)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 36.5)"
14-12-2022 14:40:20.009016,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.2827272727272727)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.852631578947369)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 47.5)"
14-12-2022 14:40:21.106364,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.4000000000000004)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.852631578947369)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 47.5)"
14-12-2022 14:40:22.178916,"(4.0, 9.6, 7.9)","(2.25, 2.64, 2.4000000000000004)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.3875)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:23.134847,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.3875)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:24.150140,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:25.222724,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:26.301148,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:27.348356,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:28.253909,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:29.251757,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:30.301362,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:31.309127,"(4.0, 9.6, 7.9)","(2.25, 2.62, 2.39)","(3.9, 5.9, 5.83)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:32.298010,"(4.0, 9.6, 7.9)","(2.25, 2.64, 2.4733333333333336)","(3.9, 5.9, 5.735294117647059)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:33.339564,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:34.326756,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 45.38461538461539)"
14-12-2022 14:40:35.258661,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 75.0, 41.42857142857143)"
14-12-2022 14:40:36.301022,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 41.42857142857143)"
14-12-2022 14:40:37.336372,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.8, 6.926315789473684)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 41.42857142857143)"
14-12-2022 14:40:38.353219,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.6, 6.8)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 44.400000000000006)"
14-12-2022 14:40:39.343631,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.4, 6.523076923076923)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:40.242432,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.4, 6.523076923076923)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:41.136018,"(4.0, 9.6, 7.9)","(2.25, 2.7, 2.3474074074074074)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.4, 6.523076923076923)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:42.158442,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.347692307692308)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.2, 6.533333333333333)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:43.235948,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.347692307692308)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.2, 6.533333333333333)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:44.213265,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.347692307692308)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.2, 6.533333333333333)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:45.153889,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.347692307692308)","(3.9, 5.9, 5.163157894736843)","(5.5, 9.2, 6.533333333333333)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:46.010508,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.283809523809524)","(3.9, 5.9, 5.163157894736843)","(5.5, 8.8, 7.866666666666667)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:46.905592,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.283809523809524)","(3.9, 5.9, 5.163157894736843)","(5.5, 8.8, 7.866666666666667)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
14-12-2022 14:40:47.853781,"(4.0, 9.6, 7.9)","(2.25, 2.68, 2.283809523809524)","(3.9, 5.9, 5.163157894736843)","(5.5, 8.8, 7.866666666666667)","(13.0, 40.0, 30.384615384615387)","(19.0, 70.0, 47.411764705882355)"
