,Weblec Star,Windy Storm,Fernandos Quest,Beatrix Bale,Extreme Rock,Black Compass
11-01-2023 11:57:00.963061,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:02.037339,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:02.981780,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:03.894427,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:05.076658,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.714285714285715)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:06.303605,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.92857142857143)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:07.408183,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.92857142857143)","(31.0, 290.0, 118.64)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:08.424529,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 30.0, 22.92857142857143)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:09.530180,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:10.661693,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:11.612269,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:12.624180,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:13.682578,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:14.669729,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:15.624828,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:16.519749,"(3.2, 7.0, 5.6000000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:17.579841,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:18.650852,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:19.778782,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:20.819525,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:21.834854,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:22.736953,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:23.926498,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:25.038379,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:26.127347,"(3.2, 7.2, 5.027777777777779)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:27.048412,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:27.923853,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:28.938568,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:29.955527,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:30.994710,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:31.947727,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:32.857184,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:33.825655,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:34.732974,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:35.798186,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:36.929766,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:38.046565,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:39.046376,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:39.999141,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:40.942101,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:41.865176,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:42.851512,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:43.740449,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:44.712796,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:45.678125,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:46.666811,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:47.572287,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:48.534149,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:49.458911,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:50.443012,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:51.408462,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:52.380176,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 24.200000000000003)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:53.385201,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.499170124481328)","(14.0, 29.0, 27.0)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:54.313644,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 27.0, 25.25)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:55.279883,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:56.221789,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:57.219546,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:58.287218,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:57:59.414119,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:00.470319,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:01.553036,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:02.602051,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:03.556071,"(3.2, 7.2, 5.122222222222222)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 28.0, 21.75)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:04.478750,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:05.506001,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:06.429536,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:07.439119,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:08.595900,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.699999999999999)"
11-01-2023 11:58:09.634939,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 4.911764705882352)"
11-01-2023 11:58:10.545775,"(3.2, 7.0, 5.1625000000000005)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 24.9)","(31.0, 290.0, 111.5)","(4.6, 8.6, 6.0)"
11-01-2023 11:58:11.437299,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 111.5)","(4.6, 8.4, 5.4)"
11-01-2023 11:58:12.347119,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 111.5)","(4.6, 8.4, 6.5)"
11-01-2023 11:58:13.327371,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 111.5)","(4.6, 8.2, 5.7)"
11-01-2023 11:58:14.399764,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 111.5)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:15.460762,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:16.466973,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:17.483781,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:18.401043,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:19.381344,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:20.328746,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:21.341916,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:22.297799,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:23.256046,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
11-01-2023 11:58:24.256524,"(3.2, 7.0, 5.090909090909091)","(4.6, 6.8, 6.0)","(2.35, 2.5, 2.4956)","(14.0, 30.0, 22.153846153846153)","(31.0, 290.0, 118.64)","(4.6, 8.4, 5.7)"
