,Pokerjack,Pretty Woman,Valiant,Proverbial,Ticket To Anywhere,Auzstar,Vilified,Hardy,Volterra,Iconic Dame,Overextend,Our Boy Ollie,Behind The Storm,Devine Miss
07-01-2023 09:28:40.443122,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:42.006300,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:43.786366,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:45.321301,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:46.844875,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:48.446282,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:50.020289,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:51.617840,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:53.122684,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:54.716685,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:56.260704,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:57.788386,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:28:59.452033,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:01.048954,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:02.747666,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:04.433442,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:06.044480,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:07.694036,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 12.5)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:09.355347,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:11.041754,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:12.681474,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:14.284903,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:15.910514,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:17.578073,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:19.306906,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:20.861493,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:22.433691,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:24.073769,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:25.756342,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:27.304285,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:28.874598,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:30.507640,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:32.093852,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:33.755672,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:35.278126,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:36.871262,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:38.500021,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
07-01-2023 09:29:40.133982,"(12.0, 15.0, 14.583333333333334)","(11.0, 19.5, 13.5)","(31.0, 140.0, 133.14285714285714)","(4.4, 5.4, 5.254545454545455)","(9.0, 14.0, 12.0)","(26.0, 32.0, 30.0)","(21.0, 46.0, 31.454545454545453)","(26.0, 48.0, 44.0)","(20.0, 38.0, 31.214285714285715)","(6.5, 8.2, 8.196428571428571)","(5.5, 7.4, 6.9)","(9.0, 15.5, 15.094594594594595)","(31.0, 38.0, 34.4)","(19.0, 32.0, 30.18181818181818)"
