,Our Patchy,Quimby Bale,Taking A Toll,Spolly Rock,Be Charming,Paris Designer
09-01-2023 16:28:30.797649,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:31.724986,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:32.734630,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:33.760692,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:34.704166,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:35.569678,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:36.494843,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:37.471836,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:38.394441,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:39.335917,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:40.283493,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:41.288243,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:42.174620,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:43.090581,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:44.079886,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:44.958989,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:45.877615,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:46.844920,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:47.834501,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:48.873190,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:49.813858,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:50.656940,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:51.597251,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:52.615447,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:53.611399,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:54.561975,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:55.492230,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:56.404087,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:57.330833,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:58.278040,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:28:59.131475,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:00.148935,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:01.091019,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:02.022380,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:02.989638,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:03.988990,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:04.962956,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:05.951134,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:06.909270,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:07.960165,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:09.192059,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:10.226918,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:11.274418,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:12.243772,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:13.210204,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:14.123424,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:15.087609,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:16.031514,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:16.989521,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:17.938858,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:18.847014,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:19.828745,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:20.775229,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:21.629981,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:22.533569,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:23.509763,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:24.483874,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:25.429202,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:26.370732,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:27.267690,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:28.202470,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:29.184413,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:30.067109,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:30.940202,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:31.918475,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:32.898219,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:33.843958,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:34.712866,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:35.608794,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:36.490014,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:37.404213,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:38.320700,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:39.177567,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:40.069922,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
09-01-2023 16:29:40.968884,"(3.0, 4.8, 4.376470588235294)","(5.0, 9.0, 7.524324324324324)","(4.8, 9.4, 8.83030303030303)","(13.0, 28.0, 26.590909090909093)","(3.7, 7.2, 5.059259259259259)","(4.8, 8.4, 7.035897435897436)"
