,Another Spirit,Flash Point,Miss Arizona,Superstasia,Upside,All Beans,Timely Bel
09-01-2023 12:32:03.258118,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:04.237915,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:05.155657,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:06.115333,"(5.5, 7.0, 6.48)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059259259259259)"
09-01-2023 12:32:07.185281,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.42)"
09-01-2023 12:32:08.204690,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.42)"
09-01-2023 12:32:09.270717,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:10.367780,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:11.437437,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:12.529148,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:13.622772,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:14.625070,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:15.593385,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:16.552193,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:17.493123,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:18.475791,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:19.438789,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:20.496420,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:21.550772,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.5)"
09-01-2023 12:32:22.626818,"(5.5, 7.0, 6.863157894736842)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:23.675013,"(5.5, 7.0, 6.92)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:24.680995,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:25.672264,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:26.629677,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:27.581685,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.059090909090909)"
09-01-2023 12:32:28.597148,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.1, 5.059090909090909)"
09-01-2023 12:32:29.639959,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.1, 5.059090909090909)"
09-01-2023 12:32:30.655588,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.1, 5.124)"
09-01-2023 12:32:31.705260,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:32.789358,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:33.854898,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.124)"
09-01-2023 12:32:34.882105,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.154545454545454)"
09-01-2023 12:32:35.925420,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.2, 5.154545454545454)"
09-01-2023 12:32:36.902724,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.2, 5.154545454545454)"
09-01-2023 12:32:37.836693,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.6375)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.2, 5.124)"
09-01-2023 12:32:38.870613,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.9)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 4.58)"
09-01-2023 12:32:39.903805,"(5.5, 7.0, 6.5600000000000005)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.15)"
09-01-2023 12:32:40.922231,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.15)"
09-01-2023 12:32:42.012269,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.15)"
09-01-2023 12:32:43.107524,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:44.211488,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:45.289257,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:46.326107,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:47.398095,"(5.5, 7.0, 6.8)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:48.326556,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:49.264760,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:50.305086,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:51.389097,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:52.467307,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:53.560534,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:54.620208,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:55.740760,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:56.847737,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:57.984048,"(5.5, 7.0, 6.43)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:32:59.053139,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:00.015961,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:01.035522,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:01.974489,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:02.958534,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:03.999675,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:05.040918,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:06.132171,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:07.159043,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:08.168890,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:09.161349,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:10.109864,"(5.5, 7.0, 6.32)","(11.0, 21.0, 19.736842105263158)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.3, 5.153061224489796)"
09-01-2023 12:33:10.999150,"(5.5, 7.0, 6.32)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 5.254166666666667)"
09-01-2023 12:33:11.971024,"(5.5, 7.0, 5.866666666666666)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 5.254166666666667)"
09-01-2023 12:33:12.948691,"(5.5, 7.0, 6.463157894736842)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 6.088888888888889)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 5.254166666666667)"
09-01-2023 12:33:14.032188,"(5.5, 7.0, 6.463157894736842)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.2)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.7)"
09-01-2023 12:33:15.107783,"(5.5, 7.0, 6.463157894736842)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5636363636363635)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:16.199610,"(5.5, 7.0, 6.4)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:17.250761,"(5.5, 7.0, 6.4)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:18.314437,"(5.5, 7.0, 6.4)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:19.288617,"(5.5, 7.0, 6.4)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:20.245498,"(5.5, 7.0, 6.842105263157895)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5636363636363635)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:21.204714,"(5.5, 7.0, 6.842105263157895)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5636363636363635)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:22.209633,"(5.5, 7.0, 6.842105263157895)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.5636363636363635)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
09-01-2023 12:33:23.278836,"(5.5, 7.0, 6.842105263157895)","(11.0, 21.0, 20.294117647058826)","(4.8, 6.2, 5.842857142857143)","(6.0, 7.4, 7.015384615384615)","(4.2, 6.2, 5.2)","(9.0, 13.5, 13.34090909090909)","(3.9, 5.4, 4.5600000000000005)"
