,Safe Hustle,If I Din Havadime,More Special,Fine Line,Kamaka
07-01-2023 14:19:11.862636,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:12.738415,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:13.651780,"(9.0, 13.0, 12.4)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:14.640993,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:15.534722,"(9.0, 13.0, 12.666666666666666)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:16.471176,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:17.374548,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:18.216296,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:19.183015,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:20.285861,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:21.418426,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:22.435780,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
