,Namakwa,Hostage Of War,Ostermeier,By The Law,Lets Torque A Deel,Tea Leaves,Lucamour
07-01-2023 14:30:37.041437,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:38.109841,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:39.205947,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:40.245198,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:41.199011,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:42.276994,"(2.0, 2.54, 2.4505882352941177)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:43.388004,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:44.524248,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:45.669008,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:46.883673,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:47.822352,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:49.049002,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:50.152799,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:51.160675,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:52.241093,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:53.353793,"(2.0, 2.52, 2.42)","(3.7, 5.0, 4.618181818181818)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:54.361244,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:55.387456,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:56.461693,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:57.519745,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:58.591723,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:30:59.674965,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:00.764462,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:01.891893,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:03.028814,"(2.0, 2.52, 2.42)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 9.1)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:04.173432,"(2.0, 2.5, 2.41)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 63.333333333333336)","(7.0, 9.2, 9.08)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:05.268191,"(2.0, 2.5, 2.41)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 63.333333333333336)","(7.0, 9.2, 9.08)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:06.185233,"(2.0, 2.5, 2.41)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 63.333333333333336)","(7.0, 9.2, 9.08)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:07.241929,"(2.0, 2.3, 2.270833333333333)","(3.7, 4.9, 4.65)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 18.0, 15.0)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:08.380441,"(2.0, 2.3, 2.2774193548387096)","(3.7, 4.9, 4.62)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 18.0, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:09.461253,"(2.0, 2.3, 2.28)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:10.649880,"(2.0, 2.3, 2.2333333333333334)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:11.745364,"(2.0, 2.3, 2.2333333333333334)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:12.682699,"(2.0, 2.3, 2.25)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:13.703050,"(2.0, 2.3, 2.225)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:14.774438,"(2.0, 2.3, 2.225)","(3.7, 4.9, 4.5)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:15.902563,"(2.0, 2.3, 2.225)","(3.7, 4.9, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:16.975143,"(2.0, 2.3, 2.225)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:18.060966,"(2.0, 2.3, 2.225)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:19.083742,"(2.0, 2.3, 2.225)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:20.136922,"(2.0, 2.3, 2.225)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:21.198902,"(2.0, 2.3, 2.225)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:22.289602,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:23.284185,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:24.253729,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:25.403583,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:26.539144,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:27.666337,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:28.743795,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:29.867094,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:30.838845,"(2.0, 2.3, 2.2781249999999997)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 14.863636363636363)","(9.0, 13.5, 13.115384615384615)"
07-01-2023 14:31:31.789692,"(2.0, 2.3, 2.256923076923077)","(3.7, 5.0, 4.455555555555556)","(10.0, 14.0, 13.5)","(26.0, 70.0, 54.8)","(7.0, 9.2, 8.95)","(9.0, 16.5, 15.0)","(9.0, 13.5, 13.423076923076923)"
07-01-2023 14:31:32.854700,"(2.0, 2.3, 2.2557894736842106)","(3.7, 5.3, 4.3769230769230765)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 17.5, 14.3)","(9.0, 14.0, 13.423076923076923)"
07-01-2023 14:31:33.954570,"(2.0, 2.3, 2.2557894736842106)","(3.7, 5.3, 4.3769230769230765)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 17.0, 14.3)","(9.0, 14.0, 13.423076923076923)"
07-01-2023 14:31:34.959731,"(2.0, 2.3, 2.2557894736842106)","(3.7, 5.3, 4.3769230769230765)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 17.0, 14.3)","(9.0, 14.0, 13.423076923076923)"
07-01-2023 14:31:36.057819,"(2.0, 2.3, 2.2557894736842106)","(3.7, 5.3, 4.3769230769230765)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 17.0, 13.357142857142858)","(9.0, 14.0, 13.423076923076923)"
07-01-2023 14:31:37.053080,"(2.0, 2.3, 2.2557894736842106)","(3.7, 5.3, 4.5)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.423076923076923)"
07-01-2023 14:31:38.020176,"(2.0, 2.52, 2.506666666666667)","(3.7, 5.3, 4.3769230769230765)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:39.047688,"(2.0, 2.52, 2.408571428571429)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:40.104440,"(2.0, 2.52, 2.367272727272727)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:41.119101,"(2.0, 2.5, 2.4225806451612906)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:42.150885,"(2.0, 2.5, 2.4225806451612906)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:43.363944,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:44.510021,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:45.534210,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:46.610744,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:47.631250,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:48.579131,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:49.610465,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:50.760640,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
07-01-2023 14:31:51.806942,"(2.0, 2.5, 2.402941176470588)","(3.7, 5.3, 4.52)","(10.0, 15.0, 13.970588235294118)","(26.0, 70.0, 60.5)","(7.0, 9.2, 8.95)","(9.0, 15.5, 13.357142857142858)","(9.0, 14.0, 13.25)"
